period_end,revenue_jpy_thousand,perf_fee_jpy_thousand,ordinary_jpy_thousand,opex_sga_jpy_million,headcount,incremental_margin,comp_ratio_proxy,tag
2020-09-30,3074713,,1653517,,,0.5377792984255766,,[Filing]
2021-03-31,8990383,,4729255,,,0.5260348752661594,,[Filing]
2021-09-30,3526469,,1958008,,50.0,0.5552318764180261,,[Filing]
2022-03-31,4302709,,1187392,,47.0,0.27596381721376,,[Filing]
2022-09-30,3319298,,1926574,,49.0,0.5804161000307897,,[Filing]
2023-03-31,5586426,,2236419,4811.0,49.0,0.40033090924322634,,[Filing]
2023-09-30,3804623,932000.0,2488758,,49.0,0.6541405022258447,,[Filing]
2024-03-31,11162336,,6321019,6293.0,51.0,0.5662810185968242,,[Filing]
2024-09-30,5353003,1996000.0,3810200,,51.0,0.7117873836424153,,[Filing]
2025-03-31,10901498,,5638399,6916.0,55.0,0.5172132306954512,,[Filing]
2025-09-30,5577537,1713000.0,3974829,,58.0,0.7126495081968977,,[Filing]
2026-03-31,16934463,,9995171,8542.0,55.0,0.5902266283849685,,[Filing]
