date,ticker,shares,nav_jpy,aum_jpym,aum_method,tag,creation_unit_shares,redemption_unit_shares
2019-09-02,1321.T,,19110.080078125,21515.509145742926,[Filing/Derived],[Filing/Derived],29320,29770
2019-09-03,1321.T,,19110.080078125,21515.509145742926,[Filing/Derived],[Filing/Derived],29320,29770
2019-09-04,1321.T,,19155.408203125,21566.54282451402,[Filing/Derived],[Filing/Derived],29320,29770
2019-09-05,1321.T,,19545.2265625,22005.42850380073,[Filing/Derived],[Filing/Derived],29320,29770
2019-09-06,1321.T,,19608.681640625,22076.87081634787,[Filing/Derived],[Filing/Derived],29320,29770
2019-09-09,1321.T,,19735.599609375,22219.764237319218,[Filing/Derived],[Filing/Derived],29320,29770
2019-09-10,1321.T,,19808.123046875,22301.416364177552,[Filing/Derived],[Filing/Derived],29320,29770
2019-09-11,1321.T,,19989.43359375,22505.548880292656,[Filing/Derived],[Filing/Derived],29320,29770
2019-09-12,1321.T,,20179.80859375,22719.886812780413,[Filing/Derived],[Filing/Derived],29320,29770
2019-09-13,1321.T,,20370.185546875,22934.226944237438,[Filing/Derived],[Filing/Derived],29320,29770
2019-09-17,1321.T,,20370.185546875,22934.226944237438,[Filing/Derived],[Filing/Derived],29320,29770
2019-09-18,1321.T,,20342.990234375,22903.6084961502,[Filing/Derived],[Filing/Derived],29320,29770
2019-09-19,1321.T,,20424.580078125,22995.468238350455,[Filing/Derived],[Filing/Derived],29320,29770
2019-09-20,1321.T,,20433.64453125,23005.673654723116,[Filing/Derived],[Filing/Derived],29320,29770
2019-09-24,1321.T,,20478.97265625,23056.707333494207,[Filing/Derived],[Filing/Derived],29320,29770
2019-09-25,1321.T,,20397.3828125,22964.847591293947,[Filing/Derived],[Filing/Derived],29320,29770
2019-09-26,1321.T,,20406.4453125,22975.050808697335,[Filing/Derived],[Filing/Derived],29320,29770
2019-09-27,1321.T,,20388.31640625,22954.639975952017,[Filing/Derived],[Filing/Derived],29320,29770
2019-09-30,1321.T,,20261.3984375,22811.746554980666,[Filing/Derived],[Filing/Derived],29320,29770
2019-10-01,1321.T,,20424.580078125,22995.468238350455,[Filing/Derived],[Filing/Derived],29320,29770
2019-10-02,1321.T,,20324.85546875,22883.19106649708,[Filing/Derived],[Filing/Derived],29320,29770
2019-10-03,1321.T,,19907.845703125,22413.691337061664,[Filing/Derived],[Filing/Derived],29320,29770
2019-10-04,1321.T,,19980.369140625,22495.34346392,[Filing/Derived],[Filing/Derived],29320,29770
2019-10-07,1321.T,,19944.107421875,22454.51740049083,[Filing/Derived],[Filing/Derived],29320,29770
2019-10-08,1321.T,,20161.6796875,22699.475980035095,[Filing/Derived],[Filing/Derived],29320,29770
2019-10-09,1321.T,,20025.697265625,22546.377142691086,[Filing/Derived],[Filing/Derived],29320,29770
2019-10-10,1321.T,,20107.28515625,22638.234685922078,[Filing/Derived],[Filing/Derived],29320,29770
2019-10-11,1321.T,,20324.85546875,22883.19106649708,[Filing/Derived],[Filing/Derived],29320,29770
2019-10-15,1321.T,,20705.609375,23311.871329411133,[Filing/Derived],[Filing/Derived],29320,29770
2019-10-16,1321.T,,20950.375,23587.446158073373,[Filing/Derived],[Filing/Derived],29320,29770
2019-10-17,1321.T,,20950.375,23587.446158073373,[Filing/Derived],[Filing/Derived],29320,29770
