as_of,fund_id,mandate_id,nav_jpy,aum_jpym,month_ret,benchmark,perf_rate,high_water_mark_jpy,source,source_url,tag,cum
2023-09-30,etf_2080,mandate_value_pbr,958.8463134765625,,0.01400001729831546,value_pbr,0.2,,yfinance_etf,https://finance.yahoo.com/quote/2080.T,[Market],
2023-10-31,etf_2080,mandate_value_pbr,937.0972900390625,,-0.023645376020231423,value_pbr,0.2,,yfinance_etf,https://finance.yahoo.com/quote/2080.T,[Market],
2023-11-30,etf_2080,mandate_value_pbr,956.0094604492188,,-0.005899703329784289,value_pbr,0.2,,yfinance_etf,https://finance.yahoo.com/quote/2080.T,[Market],
2023-12-31,etf_2080,mandate_value_pbr,938.0429077148438,,-0.027450952350276503,value_pbr,0.2,,yfinance_etf,https://finance.yahoo.com/quote/2080.T,[Market],
2024-01-31,etf_2080,mandate_value_pbr,1024.0931396484375,,0.07227715445131278,value_pbr,0.2,,yfinance_etf,https://finance.yahoo.com/quote/2080.T,[Market],
2024-02-29,etf_2080,mandate_value_pbr,1066.6456298828125,,0.04930229731941571,value_pbr,0.2,,yfinance_etf,https://finance.yahoo.com/quote/2080.T,[Market],
2024-03-31,etf_2080,mandate_value_pbr,1134.729248046875,,0.05078805978922518,value_pbr,0.2,,yfinance_etf,https://finance.yahoo.com/quote/2080.T,[Market],
2024-04-30,etf_2080,mandate_value_pbr,1137.566162109375,,0.027327024843962544,value_pbr,0.2,,yfinance_etf,https://finance.yahoo.com/quote/2080.T,[Market],
2024-05-31,etf_2080,mandate_value_pbr,1166.8800048828125,,0.03436712179588586,value_pbr,0.2,,yfinance_etf,https://finance.yahoo.com/quote/2080.T,[Market],
2024-06-30,etf_2080,mandate_value_pbr,1168.7711181640625,,-0.008025766164617254,value_pbr,0.2,,yfinance_etf,https://finance.yahoo.com/quote/2080.T,[Market],
2024-07-31,etf_2080,mandate_value_pbr,1172.5535888671875,,-0.0064103233803957105,value_pbr,0.2,,yfinance_etf,https://finance.yahoo.com/quote/2080.T,[Market],
2024-08-31,etf_2080,mandate_value_pbr,1098.7962646484375,,-0.03887513439064827,value_pbr,0.2,,yfinance_etf,https://finance.yahoo.com/quote/2080.T,[Market],
2024-09-30,etf_2080,mandate_value_pbr,1078.7113037109375,,-0.02332208973722616,value_pbr,0.2,,yfinance_etf,https://finance.yahoo.com/quote/2080.T,[Market],
