period_end,half,mandate_id,structural_perf_drive_jpym,fund_count,tag
2023-03-31,H2,mandate_japan_equity,0.0,1.0,[Derived]
2023-03-31,H2,mandate_other,0.0,1.0,[Derived]
2023-03-31,H2,mandate_value_pbr,0.0,1.0,[Derived]
2023-09-30,H1,mandate_value_pbr,0.0,4.0,[Derived]
2023-09-30,H1,_actual_total,932.0,,[Filing]
2024-03-31,H2,mandate_japan_equity,0.0,1.0,[Derived]
2024-03-31,H2,mandate_other,0.0,1.0,[Derived]
2024-03-31,H2,mandate_value_pbr,3324.77,5.0,[Derived]
2024-09-30,H1,mandate_japan_equity,1837.92,1.0,[Derived]
2024-09-30,H1,mandate_other,0.0,1.0,[Derived]
2024-09-30,H1,mandate_value_pbr,378.77,5.0,[Derived]
2024-09-30,H1,_actual_total,1996.0,,[Filing]
2025-03-31,H2,mandate_japan_equity,11679.02,1.0,[Derived]
2025-03-31,H2,mandate_other,607.92,1.0,[Derived]
2025-03-31,H2,mandate_value_pbr,1137.63,5.0,[Derived]
2025-09-30,H1,mandate_value_pbr,2918.55,4.0,[Derived]
2025-09-30,H1,_actual_total,1713.0,,[Filing]
2026-03-31,H2,mandate_other,0.0,1.0,[Derived]
2026-03-31,H2,mandate_value_pbr,0.0,4.0,[Derived]
