period_end,label,target,actual,fitted,residual,is_oos
2020-09-30,FY2021H1,revenue_total,3074.713,200.0,-2874.713,0
2020-09-30,FY2021H1,ordinary_profit,1653.517,446.283,-1207.234,0
2020-09-30,FY2021H1,net_income,1178.219,328.343,-849.876,0
2021-03-31,FY2021H2,revenue_total,8990.383,200.0,-8790.383,0
2021-03-31,FY2021H2,ordinary_profit,4729.255,446.283,-4282.972,0
2021-03-31,FY2021H2,net_income,3452.871,328.343,-3124.528,0
2021-09-30,FY2022H1,revenue_total,3526.469,200.0,-3326.469,0
2021-09-30,FY2022H1,ordinary_profit,1958.008,446.283,-1511.725,0
2021-09-30,FY2022H1,net_income,1423.167,328.343,-1094.824,0
2022-03-31,FY2022H2,revenue_total,4302.709,200.0,-4102.709,0
2022-03-31,FY2022H2,ordinary_profit,1187.392,446.283,-741.109,0
2022-03-31,FY2022H2,net_income,880.648,328.343,-552.305,0
2022-09-30,FY2023H1,revenue_total,3319.298,200.0,-3119.298,0
2022-09-30,FY2023H1,ordinary_profit,1926.574,446.283,-1480.291,0
2022-09-30,FY2023H1,net_income,1358.671,328.343,-1030.328,0
2023-03-31,FY2023H2,revenue_total,5586.426,200.0,-5386.426,0
2023-03-31,FY2023H2,ordinary_profit,2236.419,446.283,-1790.136,0
2023-03-31,FY2023H2,net_income,1662.698,328.343,-1334.355,0
2023-09-30,FY2024H1,revenue_total,3804.623,200.0,-3604.623,0
2023-09-30,FY2024H1,perf_fee,932.0,0.0,-932.0,0
2023-09-30,FY2024H1,ordinary_profit,2488.758,446.283,-2042.475,0
2023-09-30,FY2024H1,net_income,1791.219,328.343,-1462.876,0
2024-03-31,FY2024H2,revenue_total,11162.336,200.0,-10962.336,0
2024-03-31,FY2024H2,perf_fee,7975.0,0.0,-7975.0,0
2024-03-31,FY2024H2,ordinary_profit,6321.019,446.283,-5874.736,0
2024-03-31,FY2024H2,net_income,4817.973,328.343,-4489.63,0
2024-09-30,FY2025H1,revenue_total,5353.003,3753.454,-1599.549,0
2024-09-30,FY2025H1,base_fee,3266.0,3553.454,287.454,0
2024-09-30,FY2025H1,perf_fee,1996.0,0.0,-1996.0,0
2024-09-30,FY2025H1,ordinary_profit,3810.2,2035.92,-1774.28,0
2024-09-30,FY2025H1,net_income,2799.791,1497.886,-1301.905,0
2025-03-31,FY2025H2,revenue_total,10901.498,3738.587,-7162.911,0
2025-03-31,FY2025H2,base_fee,3454.0,3538.587,84.587,0
2025-03-31,FY2025H2,perf_fee,7324.0,0.0,-7324.0,0
2025-03-31,FY2025H2,ordinary_profit,5638.399,2029.269,-3609.13,0
2025-03-31,FY2025H2,net_income,4256.431,1492.993,-2763.438,0
2025-09-30,FY2026H1,revenue_total,5577.537,5623.598,46.061,0
2025-09-30,FY2026H1,base_fee,3711.0,3710.598,-0.402,0
2025-09-30,FY2026H1,perf_fee,1713.0,1713.0,0.0,0
2025-09-30,FY2026H1,ordinary_profit,3974.829,3120.794,-854.035,0
2025-09-30,FY2026H1,net_income,2861.532,2296.06,-565.472,0
2026-03-31,FY2026H2,revenue_total,16934.463,16566.952,-367.511,0
2026-03-31,FY2026H2,base_fee,4158.0,3763.952,-394.048,0
2026-03-31,FY2026H2,perf_fee,12603.0,12603.0,-0.0,0
2026-03-31,FY2026H2,ordinary_profit,9995.171,9594.588,-400.583,0
2026-03-31,FY2026H2,net_income,7769.468,7059.021,-710.447,0
,FY2022H2,revenue_total,4302.709,3074.713,-1227.996,1
,FY2023H1,revenue_total,3319.298,3074.713,-244.585,1
,FY2023H2,revenue_total,5586.426,4931.225,-655.201,1
,FY2024H1,revenue_total,3804.623,3076.374,-728.249,1
,FY2024H2,revenue_total,11162.336,9382.224,-1780.112,1
,FY2025H1,revenue_total,5353.003,3074.713,-2278.29,1
,FY2025H2,revenue_total,10901.498,3074.713,-7826.785,1
,FY2026H1,revenue_total,5577.537,3357.99,-2219.547,1
,FY2026H2,revenue_total,16934.463,7334.718,-9599.745,1
2025-03-31,FY2025H2,perf_fee,7324.0,0.0,-7324.0,1
2025-09-30,FY2026H1,perf_fee,1713.0,0.0,-1713.0,1
2026-03-31,FY2026H2,perf_fee,12603.0,0.0,-12603.0,1
2025-09-30,FY2026H1,base_fee,3711.0,3516.165,-194.835,1
2026-03-31,FY2026H2,base_fee,4158.0,3632.602,-525.398,1
