2026-07-02T10:35:30.822286 Starting download for ASPN
2026-07-02T10:35:43.479675 IR PDF URLs found: 131
2026-07-02T10:35:44.435965 OK 574,363 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\0ba76759-ce48-4088-ab66-751b76a7b852.pdf
2026-07-02T10:35:44.987920 OK 485,444 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\94b505d0-90b5-48fa-b37b-3539d3aa4c95.pdf
2026-07-02T10:35:45.746978 OK 821,035 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ec315bd6-cccf-4eb0-82c0-b9d4aedbe296.pdf
2026-07-02T10:35:47.148769 OK 1,930,475 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ec87c42a-2ef4-4ef8-a4a2-db75a9e231e3.pdf
2026-07-02T10:35:47.668727 OK 103,750 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\09_06_22-ASPN-Cowen-Conference.pdf
2026-07-02T10:35:49.040715 OK 2,678,181 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN_Q3-FY-2023-Earnings-FINAL_2-for-Website.pdf
2026-07-02T10:35:54.124218 OK 3,020,373 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN-1Q26-Earnings-Transcript.pdf
2026-07-02T10:35:54.547505 OK 58,148 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Aspen-Aerogels-Q2_14-Earnings-Call-Transcript_v001_o604h2.pdf
2026-07-02T10:35:55.064615 OK 111,283 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Aspen-Aerogels-Q2_14-Earnings-Release_v001_k2lymp.pdf
2026-07-02T10:35:55.904659 OK 1,110,803 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\2020-Aspen-Aerogels-Combined-Proxy-Materials.pdf
2026-07-02T10:35:57.639399 OK 3,983,523 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN_Q3-2024-Earnings-v1.pdf
2026-07-02T10:35:58.345389 OK 1,173,989 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\AR2014.pdf
2026-07-02T10:35:58.894922 OK 656,371 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\1ff3ee3b-42c1-4938-beb4-065a913af1e9.pdf
2026-07-02T10:35:59.566735 OK 705,738 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\b40031f2-8dd8-4967-ba32-2b56421f0644.pdf
2026-07-02T10:36:00.327507 OK 1,173,989 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\2095e368-e6b7-489c-b450-0a27e251a30b.pdf
2026-07-02T10:36:01.509307 OK 1,149,672 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\AR2015.pdf
2026-07-02T10:36:02.380485 OK 270,444 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\16a85265-c7cb-4ee9-9d2f-8de26cfe63b3.pdf
2026-07-02T10:36:02.972249 OK 333,900 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\4b93edfd-2562-41b3-b3ef-24a64d838330.pdf
2026-07-02T10:36:04.767468 OK 1,149,672 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\47ab8236-0f4a-45ca-bb30-4955b6481813.pdf
2026-07-02T10:36:05.907099 OK 437,566 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\16q1-10q.pdf
2026-07-02T10:36:07.141067 OK 390,519 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\16q1-transcript.pdf
2026-07-02T10:36:08.252246 OK 807,516 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\AR2016.pdf
2026-07-02T10:36:08.947271 OK 725,354 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\16q2-10q.pdf
2026-07-02T10:36:09.544523 OK 450,279 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\16q2-transcript.pdf
2026-07-02T10:36:10.099027 OK 393,418 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\16q3-10q.pdf
2026-07-02T10:36:10.804670 OK 495,463 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\16q3-transcript.pdf
2026-07-02T10:36:14.788301 OK 807,516 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\614de5ba-0e1d-444f-879b-95e313d2f67b.pdf
2026-07-02T10:36:15.650159 OK 429,561 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\17Q1-Transcript.pdf
2026-07-02T10:36:16.603008 OK 839,121 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\AR2017.pdf
2026-07-02T10:36:17.174530 OK 427,809 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\17q2-10q.pdf
2026-07-02T10:36:17.682153 OK 203,998 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\final-080317-aspen-aerogels-q2-2017-results-51875379.pdf
2026-07-02T10:36:18.322735 OK 473,315 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Aspen-Aerogels-Q3-3017-10Q.pdf
2026-07-02T10:36:18.845676 OK 195,012 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\final-110217-aspen-aerogels-q3-2017-earnings-call-96670526.pdf
2026-07-02T10:36:19.610830 OK 839,121 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\0b379eb1-c6b7-44f2-b558-2b6c13276ad9.pdf
2026-07-02T10:36:20.585355 OK 208,406 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\final-022218-aspen-aerogels-inc.-q4-and-fiscal-year-2017-earnings-call-4284079-_1_.pdf
2026-07-02T10:36:21.205347 OK 880,438 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\AR2018.pdf
2026-07-02T10:36:21.981847 OK 608,178 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\FirstQtrs2018.pdf
2026-07-02T10:36:22.405875 OK 158,522 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\final-050318-aspen-aerogels-q1-2018-earnings-8883209.pdf
2026-07-02T10:36:22.943761 OK 309,578 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Aspen-Aerogels-Q2-2018-Earnings-Call_Corrected-Transcript_2018-08-03-10-46-03-_2_.pdf
2026-07-02T10:36:23.673414 OK 490,156 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\SecondQtrs2018.pdf
2026-07-02T10:36:24.104962 OK 303,786 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN-Q3-2018-Earnings-Call_Corrected-Transcript_2018-11-02-17-28-02.pdf
2026-07-02T10:36:24.990663 OK 562,986 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ThirdQtrs2018.pdf
2026-07-02T10:36:25.866551 OK 880,438 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\6b7e7789-4e83-403c-bf89-f412c5cc5961.pdf
2026-07-02T10:36:26.537886 OK 346,834 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Q4-2018-Earnings-Call_Corrected-Transcript_2019-02-22-03-22-07.pdf
2026-07-02T10:36:29.635013 OK 949,541 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\19-ar.pdf
2026-07-02T10:36:42.667107 OK 293,686 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Q1-2019-Earnings-Call_Corrected-Transcript_2019-05-03-10-12-09.pdf
2026-07-02T10:36:56.928467 OK 475,336 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Aspen2019SecondQtr.pdf
2026-07-02T10:36:57.712472 OK 296,180 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Q2-2019-Earnings-Call_Corrected-Transcript_2019-08-02-11-04-07.pdf
2026-07-02T10:37:01.735741 OK 472,380 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Aspen2019ThirdQtr.pdf
2026-07-02T10:37:07.149059 OK 949,541 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\6c869d76-033a-48f4-8192-5f8e1062f313.pdf
2026-07-02T10:37:14.277836 OK 8,141,653 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspn-10k_2020_AR.pdf
2026-07-02T10:37:15.045999 OK 555,918 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\6481ebe6-e520-45fc-983a-764ff8e1c3d8.pdf
2026-07-02T10:37:15.732460 OK 335,218 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspen-aerogels-inc.-q1-2020-earnings-call-apr-30-2020.pdf
2026-07-02T10:37:16.555267 OK 472,997 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\20q2-10q.pdf
2026-07-02T10:37:17.628800 OK 354,907 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspen-aerogels-inc.-q2-2020-earnings-call-jul-30-2020.pdf
2026-07-02T10:37:18.361260 OK 697,106 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\20q3-10q.pdf
2026-07-02T10:37:19.092694 OK 355,167 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspen-aerogels-inc.-q3-2020-earnings-call-oct-29-2020.pdf
2026-07-02T10:37:19.851799 OK 334,513 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\Aspen-Aerogels_-Inc._-Q4-2020-Earnings-Call_-Feb-18_-2021.pdf
2026-07-02T10:37:23.413081 OK 8,354,016 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspn-10k_20201231.htm.pdf
2026-07-02T10:37:24.076912 OK 614,604 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\ASPN-2021-Shareholder-Letter.pdf
2026-07-02T10:37:24.640087 OK 508,241 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\21Q1-10Q.pdf
2026-07-02T10:37:25.298578 OK 339,687 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspen-aerogels-inc.-q1-2021-earnings-call-apr-29-2021-_1_.pdf
2026-07-02T10:37:25.978786 OK 516,491 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\28b7b35f-b455-48a6-a7bd-93cbb9694719.pdf
2026-07-02T10:37:26.567050 OK 323,519 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\aspen-aerogels-inc.-q2-2021-earnings-call-jul-29-2021.pdf
2026-07-02T10:37:27.120572 OK 350,315 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\10_28_21-aspn-q3-2021-transcript.pdf
2026-07-02T10:37:27.683123 OK 521,469 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\e06966d6-c886-44e2-905a-369e399d1976.pdf
2026-07-02T10:37:28.163929 OK 110,717 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\ASPN\investor-documents\ir-aspn\02_17_22-aspn-q4_21-transcript-_standard_.pdf
