path,filename,date,type,bytes
.onboard_status.json,.onboard_status.json,2026-09-09,json,193
investor-documents/DOWNLOAD_MANIFEST.json,DOWNLOAD_MANIFEST.json,2026-09-09,json,103
investor-documents/ir-dnp.wa/23-Dino-AUDITORS-REPORT-Dino-Polska-Consolidated-Financial-Statements.pdf,23-Dino-AUDITORS-REPORT-Dino-Polska-Consolidated-Financial-Statements.pdf,2026-09-09,pdf,201342
investor-documents/ir-dnp.wa/23-Dino-AUDITORS-REPORT-Dino-Polska-Financial-Statements.pdf,23-Dino-AUDITORS-REPORT-Dino-Polska-Financial-Statements.pdf,2026-09-09,pdf,205712
investor-documents/ir-dnp.wa/23-Dino-HY-Review-Report-Consolidated-IFRS-ENG.pdf,23-Dino-HY-Review-Report-Consolidated-IFRS-ENG.pdf,2026-09-09,pdf,167223
investor-documents/ir-dnp.wa/23-Dino-HY-Review-Report-Standalone-PAR-ENG.pdf,23-Dino-HY-Review-Report-Standalone-PAR-ENG.pdf,2026-09-09,pdf,174838
investor-documents/ir-dnp.wa/DINO-POLSKA-Auditors-Report-on-Review-of-Consolidated-Financial-Statements-for-1H-2024.pdf,DINO-POLSKA-Auditors-Report-on-Review-of-Consolidated-Financial-Statements-for-1H-2024.pdf,2026-09-09,pdf,167897
investor-documents/ir-dnp.wa/DINO-POLSKA-Auditors-Report-on-Review-of-Financial-Statements-for-1H-2024.pdf,DINO-POLSKA-Auditors-Report-on-Review-of-Financial-Statements-for-1H-2024.pdf,2026-09-09,pdf,165837
investor-documents/ir-dnp.wa/DINO-POLSKA-Consolidated-Financial-Statements-for-1H-2023.pdf,DINO-POLSKA-Consolidated-Financial-Statements-for-1H-2023.pdf,2026-09-09,pdf,459455
investor-documents/ir-dnp.wa/DINO-POLSKA-Consolidated-Financial-Statements-for-1H-2024.pdf,DINO-POLSKA-Consolidated-Financial-Statements-for-1H-2024.pdf,2026-09-09,pdf,550435
investor-documents/ir-dnp.wa/DINO-POLSKA-Consolidated-Financial-Statements-for-1H-2025.pdf,DINO-POLSKA-Consolidated-Financial-Statements-for-1H-2025.pdf,2026-09-09,pdf,469883
investor-documents/ir-dnp.wa/DINO-POLSKA-Financial-Statements-for-1H-2023.pdf,DINO-POLSKA-Financial-Statements-for-1H-2023.pdf,2026-09-09,pdf,613519
investor-documents/ir-dnp.wa/DINO-POLSKA-Financial-Statements-for-1H-2024.pdf,DINO-POLSKA-Financial-Statements-for-1H-2024.pdf,2026-09-09,pdf,593294
investor-documents/ir-dnp.wa/DINO-POLSKA-Financial-Statements-for-1H-2025.pdf,DINO-POLSKA-Financial-Statements-for-1H-2025.pdf,2026-09-09,pdf,608968
investor-documents/ir-dnp.wa/DINO-POLSKA-Management-Report-for-1H-2023.pdf,DINO-POLSKA-Management-Report-for-1H-2023.pdf,2026-09-09,pdf,1072316
investor-documents/ir-dnp.wa/DINO-POLSKA-Management-Report-for-1H-2024.pdf,DINO-POLSKA-Management-Report-for-1H-2024.pdf,2026-09-09,pdf,947002
investor-documents/ir-dnp.wa/DINO-POLSKA-Management-Report-for-1H-2025-.pdf,DINO-POLSKA-Management-Report-for-1H-2025-.pdf,2026-09-09,pdf,912934
investor-documents/ir-dnp.wa/DINO-POLSKA-S.A.-Group-preliminary-2024-results.pdf,DINO-POLSKA-S.A.-Group-preliminary-2024-results.pdf,2026-09-09,pdf,651187
investor-documents/ir-dnp.wa/DINO-POLSKA-S.A.-_-report-for-Q3-2024.pdf,DINO-POLSKA-S.A.-_-report-for-Q3-2024.pdf,2026-09-09,pdf,1205501
investor-documents/ir-dnp.wa/DINO-POLSKA-S.A.-_-report-for-Q3-2025.pdf,DINO-POLSKA-S.A.-_-report-for-Q3-2025.pdf,2026-09-09,pdf,1162736
investor-documents/ir-dnp.wa/DINO-POLSKA-SA-H1-2022-results-presentation.pdf,DINO-POLSKA-SA-H1-2022-results-presentation.pdf,2026-09-09,pdf,732105
investor-documents/ir-dnp.wa/DINO-POLSKA-SA-H1-2023-results-presentation.pdf,DINO-POLSKA-SA-H1-2023-results-presentation.pdf,2026-09-09,pdf,740168
investor-documents/ir-dnp.wa/DINO-POLSKA-SA-H1-2024-results-presentation-.pdf,DINO-POLSKA-SA-H1-2024-results-presentation-.pdf,2026-09-09,pdf,773985
investor-documents/ir-dnp.wa/DINO-POLSKA-SA-H1-2025-results-presentation.pdf,DINO-POLSKA-SA-H1-2025-results-presentation.pdf,2026-09-09,pdf,747210
investor-documents/ir-dnp.wa/DINO-POLSKA-SA-INTERIM-CONDENSED-CONSOLIDATED-FINANCIAL-STATEMENTS-for-1H-2022.pdf,DINO-POLSKA-SA-INTERIM-CONDENSED-CONSOLIDATED-FINANCIAL-STATEMENTS-for-1H-2022.pdf,2026-09-09,pdf,527298
investor-documents/ir-dnp.wa/DINO-POLSKA-SA-INTERIM-CONDENSED-FINANCIAL-STATEMENTS-for-1H-2022.pdf,DINO-POLSKA-SA-INTERIM-CONDENSED-FINANCIAL-STATEMENTS-for-1H-2022.pdf,2026-09-09,pdf,574836
investor-documents/ir-dnp.wa/DINO-POLSKA-SA-Q3-2023-results-presentation.pdf,DINO-POLSKA-SA-Q3-2023-results-presentation.pdf,2026-09-09,pdf,800908
investor-documents/ir-dnp.wa/DINO-POLSKA-SA-Q3-2024-results-presentation.pdf,DINO-POLSKA-SA-Q3-2024-results-presentation.pdf,2026-09-09,pdf,1011570
investor-documents/ir-dnp.wa/DINO-POLSKA-SA-Q3-2025-results-presentation.pdf,DINO-POLSKA-SA-Q3-2025-results-presentation.pdf,2026-09-09,pdf,685052
investor-documents/ir-dnp.wa/DINO-POLSKA-SA-_-report-for-Q3-2023.pdf,DINO-POLSKA-SA-_-report-for-Q3-2023.pdf,2026-09-09,pdf,1246261
investor-documents/ir-dnp.wa/DINO-POLSKA-SA-management-report-for-1H-2022.pdf,DINO-POLSKA-SA-management-report-for-1H-2022.pdf,2026-09-09,pdf,1123026
investor-documents/ir-dnp.wa/DINO-POLSKA-SA-report-for-Q1-2022.pdf,DINO-POLSKA-SA-report-for-Q1-2022.pdf,2026-09-09,pdf,3471559
investor-documents/ir-dnp.wa/DPSA-1H-2022-CONSOLIDATED-IFRS-AUDITORS-REPORT.pdf,DPSA-1H-2022-CONSOLIDATED-IFRS-AUDITORS-REPORT.pdf,2026-09-09,pdf,126288
investor-documents/ir-dnp.wa/DPSA-1H-2022-PAR-AUDITORS-REPORT.pdf,DPSA-1H-2022-PAR-AUDITORS-REPORT.pdf,2026-09-09,pdf,127730
investor-documents/ir-dnp.wa/Dino-FY-2017-financial-results-EN.pdf,Dino-FY-2017-financial-results-EN.pdf,2026-09-09,pdf,1579734
investor-documents/ir-dnp.wa/Dino-Polska-1H-2017-press-release.pdf,Dino-Polska-1H-2017-press-release.pdf,2026-09-09,pdf,501175
investor-documents/ir-dnp.wa/Dino-Polska-1Q-2017-press-release-23-05-2017-en.pdf,Dino-Polska-1Q-2017-press-release-23-05-2017-en.pdf,2026-09-09,pdf,465329
investor-documents/ir-dnp.wa/Dino-Polska-1Q-2018-financial-results-EN.pdf,Dino-Polska-1Q-2018-financial-results-EN.pdf,2026-09-09,pdf,844239
investor-documents/ir-dnp.wa/Dino-Polska-2016-FINANCIAL-STATEMENTS.pdf,Dino-Polska-2016-FINANCIAL-STATEMENTS.pdf,2026-09-09,pdf,2024387
investor-documents/ir-dnp.wa/Dino-Polska-2017-FINANCIAL-STATEMENTS.pdf,Dino-Polska-2017-FINANCIAL-STATEMENTS.pdf,2026-09-09,pdf,2212857
investor-documents/ir-dnp.wa/Dino-Polska-2017FY-audit-report.pdf,Dino-Polska-2017FY-audit-report.pdf,2026-09-09,pdf,391000
investor-documents/ir-dnp.wa/Dino-Polska-2018-FINANCIAL-STATEMENTS.pdf,Dino-Polska-2018-FINANCIAL-STATEMENTS.pdf,2026-09-09,pdf,1417947
investor-documents/ir-dnp.wa/Dino-Polska-2018-audit-report.pdf,Dino-Polska-2018-audit-report.pdf,2026-09-09,pdf,476907
investor-documents/ir-dnp.wa/Dino-Polska-2019-FINANCIAL-STATEMENTS.pdf,Dino-Polska-2019-FINANCIAL-STATEMENTS.pdf,2026-09-09,pdf,1526556
investor-documents/ir-dnp.wa/Dino-Polska-2019-audit-report.pdf,Dino-Polska-2019-audit-report.pdf,2026-09-09,pdf,429747
investor-documents/ir-dnp.wa/Dino-Polska-2020-FINANCIAL-STATEMENTS_PDFNOT-SIGNED.pdf,Dino-Polska-2020-FINANCIAL-STATEMENTS_PDFNOT-SIGNED.pdf,2026-09-09,pdf,1396710
investor-documents/ir-dnp.wa/Dino-Polska-2020-audit-report.pdf,Dino-Polska-2020-audit-report.pdf,2026-09-09,pdf,632731
investor-documents/ir-dnp.wa/Dino-Polska-2021-FINANCIAL-STATEMENTS.pdf,Dino-Polska-2021-FINANCIAL-STATEMENTS.pdf,2026-09-09,pdf,1286507
investor-documents/ir-dnp.wa/Dino-Polska-2021-audit-report.pdf,Dino-Polska-2021-audit-report.pdf,2026-09-09,pdf,242923
investor-documents/ir-dnp.wa/Dino-Polska-2022-Financial-Statements.pdf,Dino-Polska-2022-Financial-Statements.pdf,2026-09-09,pdf,891589
investor-documents/ir-dnp.wa/Dino-Polska-2022-audit-report.pdf,Dino-Polska-2022-audit-report.pdf,2026-09-09,pdf,192404
investor-documents/ir-dnp.wa/Dino-Polska-2023-Financial-Statements.pdf,Dino-Polska-2023-Financial-Statements.pdf,2026-09-09,pdf,883315
investor-documents/ir-dnp.wa/Dino-Polska-2024-Financial-Statements.pdf,Dino-Polska-2024-Financial-Statements.pdf,2026-09-09,pdf,1467143
investor-documents/ir-dnp.wa/Dino-Polska-2024-SFS-audit-report.pdf,Dino-Polska-2024-SFS-audit-report.pdf,2026-09-09,pdf,421349
investor-documents/ir-dnp.wa/Dino-Polska-2024-preliminary-results-presentation.pdf,Dino-Polska-2024-preliminary-results-presentation.pdf,2026-09-09,pdf,839595
investor-documents/ir-dnp.wa/Dino-Polska-2025-Financial-Statements.pdf,Dino-Polska-2025-Financial-Statements.pdf,2026-09-09,pdf,987444
investor-documents/ir-dnp.wa/Dino-Polska-2025-SFS-audit-report.pdf,Dino-Polska-2025-SFS-audit-report.pdf,2026-09-09,pdf,288665
investor-documents/ir-dnp.wa/Dino-Polska-2025-results-presentation-.pdf,Dino-Polska-2025-results-presentation-.pdf,2026-09-09,pdf,1013199
investor-documents/ir-dnp.wa/Dino-Polska-3Q-2017-press-release.pdf,Dino-Polska-3Q-2017-press-release.pdf,2026-09-09,pdf,506446
investor-documents/ir-dnp.wa/Dino-Polska-FY-2018-results-presentation.pdf,Dino-Polska-FY-2018-results-presentation.pdf,2026-09-09,pdf,1378533
