2026-06-06T23:35:01.181423 Starting download for LMNR
2026-06-06T23:35:01.181529 IR PDF URLs found: 0
2026-06-06T23:35:01.181662 Done LMNR. SEC=0 IR=0/0
2026-06-06T23:36:11.628662 Starting download for LMNR
2026-06-06T23:36:11.628715 IR PDF URLs found: 0
2026-06-06T23:36:11.628876 Done LMNR. SEC=0 IR=0/0
2026-06-06T23:36:25.666578 Starting download for LMNR
2026-06-06T23:36:26.046365 OK 2,775,487 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-K_20251223_rpt20251031_acc0001342423_25_000039.htm
2026-06-06T23:36:26.223272 OK 2,683,015 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-K_20241223_rpt20241031_acc0001342423_24_000035.htm
2026-06-06T23:36:26.386960 OK 2,662,815 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-K_20231221_rpt20231031_acc0001342423_23_000037.htm
2026-06-06T23:36:26.629899 OK 3,650,453 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-K_20221222_rpt20221031_acc0001342423_22_000038.htm
2026-06-06T23:36:26.838155 OK 3,737,849 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-K_20220110_rpt20211031_acc0001342423_22_000009.htm
2026-06-06T23:36:27.003492 OK 1,484,459 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-Q_20260312_rpt20260131_acc0001342423_26_000013.htm
2026-06-06T23:36:27.198853 OK 1,981,769 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-Q_20250909_rpt20250731_acc0001342423_25_000027.htm
2026-06-06T23:36:27.428519 OK 1,858,744 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-Q_20250609_rpt20250430_acc0001342423_25_000019.htm
2026-06-06T23:36:27.602959 OK 1,321,785 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-Q_20250312_rpt20250131_acc0001342423_25_000009.htm
2026-06-06T23:36:27.770921 OK 2,064,159 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-Q_20240909_rpt20240731_acc0001342423_24_000026.htm
2026-06-06T23:36:28.005910 OK 1,976,563 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-Q_20240606_rpt20240430_acc0001342423_24_000015.htm
2026-06-06T23:36:28.238218 OK 1,422,128 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-Q_20240307_rpt20240131_acc0001342423_24_000006.htm
2026-06-06T23:36:28.436574 OK 2,048,782 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-Q_20230907_rpt20230731_acc0001342423_23_000028.htm
2026-06-06T23:36:28.615141 OK 2,485,154 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-Q_20230606_rpt20230430_acc0001342423_23_000019.htm
2026-06-06T23:36:28.789363 OK 1,790,512 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-Q_20230309_rpt20230131_acc0001342423_23_000010.htm
2026-06-06T23:36:29.018758 OK 2,621,026 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-Q_20220908_rpt20220731_acc0001342423_22_000028.htm
2026-06-06T23:36:29.231627 OK 2,529,915 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-Q_20220607_rpt20220430_acc0001342423_22_000014.htm
2026-06-06T23:36:29.417894 OK 1,836,568 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-Q_20220310_rpt20220131_acc0001342423_22_000012.htm
2026-06-06T23:36:29.592867 OK 2,688,204 bytes -> /workspace/LMNR/investor-documents/sec-edgar/10-Q_20210908_rpt20210731_acc0001342423_21_000024.htm
2026-06-06T23:36:29.771481 OK 1,158,098 bytes -> /workspace/LMNR/investor-documents/sec-edgar/DEF 14A_20260218_rpt20260218_acc0001174947_26_000188.htm
2026-06-06T23:36:29.926359 OK 1,240,086 bytes -> /workspace/LMNR/investor-documents/sec-edgar/DEF 14A_20250227_rpt20250409_acc0001839882_25_011833.htm
2026-06-06T23:36:30.116571 OK 1,910,280 bytes -> /workspace/LMNR/investor-documents/sec-edgar/DEF 14A_20240212_rpt20240326_acc0001999371_24_001908.htm
2026-06-06T23:36:30.373110 OK 1,302,424 bytes -> /workspace/LMNR/investor-documents/sec-edgar/DEF 14A_20230213_rpt20230321_acc0001839882_23_003612.htm
2026-06-06T23:36:30.590045 OK 1,910,063 bytes -> /workspace/LMNR/investor-documents/sec-edgar/PRE 14A_20240202_rpt20240326_acc0001839882_24_003315.htm
2026-06-06T23:36:30.753531 OK 1,302,067 bytes -> /workspace/LMNR/investor-documents/sec-edgar/PRE 14A_20230203_rpt20230321_acc0001839882_23_002935.htm
2026-06-06T23:36:30.969712 OK 262,686 bytes -> /workspace/LMNR/investor-documents/sec-edgar/S-3_20200610_rpt_acc0001104659_20_071534.htm
2026-06-06T23:36:31.184759 OK 453,318 bytes -> /workspace/LMNR/investor-documents/sec-edgar/424B5_20180622_rpt_acc0001571049_18_000367.htm
2026-06-06T23:36:31.372290 OK 455,316 bytes -> /workspace/LMNR/investor-documents/sec-edgar/424B5_20180620_rpt_acc0001571049_18_000360.htm
2026-06-06T23:36:31.521160 OK 26,762 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20260420_rpt20260414_acc0001104659_26_045476.htm
2026-06-06T23:36:31.723825 OK 35,294 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20260415_rpt20260414_acc0001104659_26_043817.htm
2026-06-06T23:36:31.915116 OK 14,303 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20260415_exhibit_tm2611893d1_ex99-1.htm_acc0001104659_26_043817.htm
2026-06-06T23:36:32.095328 OK 3,408 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20260415_exhibit_tm2611893d1_ex99-1img001.jpg_acc0001104659_26_043817.jpg
2026-06-06T23:36:32.257211 OK 35,133 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20260327_rpt20260325_acc0001104659_26_036074.htm
2026-06-06T23:36:32.461960 OK 24,809 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20260323_rpt20260323_acc0001104659_26_033330.htm
2026-06-06T23:36:32.658299 OK 22,502 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20260323_exhibit_tm269601d1_ex99-1.htm_acc0001104659_26_033330.htm
2026-06-06T23:36:32.864493 OK 28,250 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20260312_rpt20260312_acc0001342423_26_000011.htm
2026-06-06T23:36:33.093157 OK 276,976 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20260312_exhibit_lmnr13126erex991.htm_acc0001342423_26_000011.htm
2026-06-06T23:36:33.237020 OK 24,923 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20260212_rpt20260212_acc0001104659_26_014399.htm
2026-06-06T23:36:33.468954 OK 28,523 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20260205_rpt20260201_acc0001104659_26_010937.htm
2026-06-06T23:36:33.666584 OK 30,653 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20260128_rpt20260122_acc0001104659_26_007452.htm
2026-06-06T23:36:33.872211 OK 10,708 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20260128_exhibit_tm264339d1_ex99-1.htm_acc0001104659_26_007452.htm
2026-06-06T23:36:34.183805 OK 3,951 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20260128_exhibit_tm264339d1_ex99-1img001.jpg_acc0001104659_26_007452.jpg
2026-06-06T23:36:34.327925 OK 28,276 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20251223_rpt20251223_acc0001342423_25_000038.htm
2026-06-06T23:36:34.572673 OK 338,593 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20251223_exhibit_lmnr103125erex991.htm_acc0001342423_25_000038.htm
2026-06-06T23:36:34.721394 OK 27,584 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20251216_rpt20251212_acc0001104659_25_121572.htm
2026-06-06T23:36:34.955967 OK 24,175 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20251121_rpt20251117_acc0001104659_25_115058.htm
2026-06-06T23:36:35.176638 OK 28,980 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20251113_rpt20251107_acc0001104659_25_110919.htm
2026-06-06T23:36:35.423786 OK 12,288 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20251113_exhibit_tm2530989d1_ex99-1.htm_acc0001104659_25_110919.htm
2026-06-06T23:36:36.033953 OK 3,418 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20251113_exhibit_tm2530989d1_ex99-1.jpg_acc0001104659_25_110919.jpg
2026-06-06T23:36:36.212551 OK 26,471 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20251022_rpt20251020_acc0001104659_25_101544.htm
2026-06-06T23:36:36.457999 OK 28,272 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250909_rpt20250909_acc0001342423_25_000026.htm
2026-06-06T23:36:36.691327 OK 307,871 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250909_exhibit_lmnr73125erex991.htm_acc0001342423_25_000026.htm
2026-06-06T23:36:36.850240 OK 22,753 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250805_rpt20250804_acc0001104659_25_073963.htm
2026-06-06T23:36:37.052222 OK 33,505 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250702_rpt20250626_acc0001104659_25_065035.htm
2026-06-06T23:36:37.231951 OK 27,328 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250609_rpt20250606_acc0001104659_25_057828.htm
2026-06-06T23:36:37.426230 OK 12,459 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250609_exhibit_tm2517481d1_ex99-1.htm_acc0001104659_25_057828.htm
2026-06-06T23:36:37.586173 OK 28,713 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250609_rpt20250609_acc0001342423_25_000018.htm
2026-06-06T23:36:37.766768 OK 305,448 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250609_exhibit_lmnr43025erex991.htm_acc0001342423_25_000018.htm
2026-06-06T23:36:37.913758 OK 36,935 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250410_rpt20250409_acc0001104659_25_033784.htm
2026-06-06T23:36:38.105763 OK 26,746 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_rpt20250409_acc0001104659_25_033241.htm
2026-06-06T23:36:38.302185 OK 48,923 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1.htm_acc0001104659_25_033241.htm
2026-06-06T23:36:38.657973 OK 1,200,953 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img001.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:39.047968 OK 898,914 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img002.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:39.442270 OK 516,778 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img003.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:39.887156 OK 1,202,182 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img004.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:40.246007 OK 1,094,219 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img005.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:40.581764 OK 463,288 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img006.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:40.946601 OK 578,919 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img007.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:41.253205 OK 700,460 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img008.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:41.580389 OK 1,152,823 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img009.jpg_acc0001104659_25_033241.jpg
2026-06-06T23:36:41.899277 OK 731,042 bytes -> /workspace/LMNR/investor-documents/sec-edgar/8-K_20250409_exhibit_tm2511872d1_ex99-1img010.jpg_acc0001104659_25_033241.jpg
