2026-07-02T01:39:20.137949 Starting download for MCO
2026-07-02T01:39:20.558093 OK 4,798,420 bytes -> /workspace/MCO/investor-documents/sec-edgar/10-K_20260218_rpt20251231_acc0001628280_26_009136.htm
2026-07-02T01:39:20.809935 OK 4,499,662 bytes -> /workspace/MCO/investor-documents/sec-edgar/10-K_20250214_rpt20241231_acc0001059556_25_000025.htm
2026-07-02T01:39:21.062436 OK 4,540,233 bytes -> /workspace/MCO/investor-documents/sec-edgar/10-K_20240214_rpt20231231_acc0001059556_24_000017.htm
2026-07-02T01:39:21.407564 OK 6,077,699 bytes -> /workspace/MCO/investor-documents/sec-edgar/10-K_20230215_rpt20221231_acc0001059556_23_000016.htm
2026-07-02T01:39:21.708012 OK 6,209,290 bytes -> /workspace/MCO/investor-documents/sec-edgar/10-K_20220222_rpt20211231_acc0001059556_22_000012.htm
2026-07-02T01:39:21.934623 OK 3,055,142 bytes -> /workspace/MCO/investor-documents/sec-edgar/10-Q_20260423_rpt20260331_acc0001628280_26_026848.htm
2026-07-02T01:39:22.178280 OK 4,196,373 bytes -> /workspace/MCO/investor-documents/sec-edgar/10-Q_20251023_rpt20250930_acc0001628280_25_046118.htm
2026-07-02T01:39:22.408671 OK 4,189,177 bytes -> /workspace/MCO/investor-documents/sec-edgar/10-Q_20250724_rpt20250630_acc0001059556_25_000169.htm
2026-07-02T01:39:22.578349 OK 2,746,776 bytes -> /workspace/MCO/investor-documents/sec-edgar/10-Q_20250423_rpt20250331_acc0001059556_25_000121.htm
2026-07-02T01:39:23.274628 OK 3,710,860 bytes -> /workspace/MCO/investor-documents/sec-edgar/10-Q_20241023_rpt20240930_acc0001059556_24_000184.htm
2026-07-02T01:39:23.458182 OK 3,690,575 bytes -> /workspace/MCO/investor-documents/sec-edgar/10-Q_20240724_rpt20240630_acc0001059556_24_000128.htm
2026-07-02T01:39:23.653947 OK 2,561,545 bytes -> /workspace/MCO/investor-documents/sec-edgar/10-Q_20240502_rpt20240331_acc0001059556_24_000090.htm
2026-07-02T01:39:23.848663 OK 3,879,975 bytes -> /workspace/MCO/investor-documents/sec-edgar/10-Q_20231026_rpt20230930_acc0001059556_23_000102.htm
