path,filename,date,type,bytes
.onboard_status.json,.onboard_status.json,2026-07-05,json,190
investor-documents/DOWNLOAD_MANIFEST.json,DOWNLOAD_MANIFEST.json,2026-07-05,json,3223
investor-documents/sec-edgar/20-F_20240426_rpt20231231_acc0001558370_24_005891.htm,20-F_20240426_rpt20231231_acc0001558370_24_005891.htm,2026-07-05,htm,4676609
investor-documents/sec-edgar/20-F_20250430_rpt20241231_acc0001558370_25_005991.htm,20-F_20250430_rpt20241231_acc0001558370_25_005991.htm,2026-07-05,htm,3973014
investor-documents/sec-edgar/20-F_20260430_rpt20251231_acc0001104659_26_052948.htm,20-F_20260430_rpt20251231_acc0001104659_26_052948.htm,2026-07-05,htm,4251816
investor-documents/sec-edgar/424B5_20200625_rpt_acc0001047469_20_003860.htm,424B5_20200625_rpt_acc0001047469_20_003860.htm,2026-07-05,htm,661609
investor-documents/sec-edgar/424B5_20250910_rpt_acc0001104659_25_088885.htm,424B5_20250910_rpt_acc0001104659_25_088885.htm,2026-07-05,htm,777368
investor-documents/sec-edgar/424B5_20250912_rpt_acc0001410578_25_002147.htm,424B5_20250912_rpt_acc0001410578_25_002147.htm,2026-07-05,htm,781320
investor-documents/sec-edgar/424B5_20251112_rpt_acc0001104659_25_110025.htm,424B5_20251112_rpt_acc0001104659_25_110025.htm,2026-07-05,htm,615205
third-party-analyses/activist_reports/long/SC-13G/A_20180214_acc0001062993_18_000730.htm,A_20180214_acc0001062993_18_000730.htm,2026-07-05,htm,29951
third-party-analyses/activist_reports/long/SC-13G/A_20190214_acc0001062993_19_000901.htm,A_20190214_acc0001062993_19_000901.htm,2026-07-05,htm,17050
third-party-analyses/activist_reports/long/SC-13G/A_20200128_acc0000902219_20_000260.htm,A_20200128_acc0000902219_20_000260.htm,2026-07-05,htm,35217
third-party-analyses/activist_reports/long/SC-13G/A_20200214_acc0001085146_20_000812.htm,A_20200214_acc0001085146_20_000812.htm,2026-07-05,htm,26028
third-party-analyses/activist_reports/long/SC-13G/A_20210212_acc0000914208_21_000207.htm,A_20210212_acc0000914208_21_000207.htm,2026-07-05,htm,18220
third-party-analyses/activist_reports/long/SC-13G/A_20210216_acc0001085146_21_000961.htm,A_20210216_acc0001085146_21_000961.htm,2026-07-05,htm,26030
third-party-analyses/activist_reports/long/SC-13G/A_20220210_acc0000914208_22_000198.htm,A_20220210_acc0000914208_22_000198.htm,2026-07-05,htm,18199
third-party-analyses/activist_reports/long/SC-13G/A_20230210_acc0000914208_23_000238.htm,A_20230210_acc0000914208_23_000238.htm,2026-07-05,htm,17902
third-party-analyses/activist_reports/long/SC-13G/A_20230213_acc0001422848_23_000074.htm,A_20230213_acc0001422848_23_000074.htm,2026-07-05,htm,17889
third-party-analyses/activist_reports/long/SC-13G/A_20240201_acc0000914208_24_000085.htm,A_20240201_acc0000914208_24_000085.htm,2026-07-05,htm,17418
third-party-analyses/activist_reports/long/SC-13G/A_20240209_acc0001422848_24_000026.htm,A_20240209_acc0001422848_24_000026.htm,2026-07-05,htm,17812
third-party-analyses/activist_reports/long/SC-13G_20190114_acc0000728889_19_000058.htm,SC-13G_20190114_acc0000728889_19_000058.htm,2026-07-05,htm,26797
third-party-analyses/activist_reports/long/SC-13G_20190212_acc0000902219_19_000078.htm,SC-13G_20190212_acc0000902219_19_000078.htm,2026-07-05,htm,35238
third-party-analyses/activist_reports/long/SC-13G_20190214_acc0001085146_19_000910.htm,SC-13G_20190214_acc0001085146_19_000910.htm,2026-07-05,htm,25975
third-party-analyses/activist_reports/long/SC-13G_20200213_acc0000914208_20_000173.htm,SC-13G_20200213_acc0000914208_20_000173.htm,2026-07-05,htm,17787
third-party-analyses/activist_reports/long/SC-13G_20220211_acc0001422848_22_000182.htm,SC-13G_20220211_acc0001422848_22_000182.htm,2026-07-05,htm,17832
third-party-analyses/activist_reports_index.json,activist_reports_index.json,2026-07-05,json,85
third-party-analyses/source_inventory_2026-06-07.json,source_inventory_2026-06-07.json,2026-07-05,json,190
third-party-analyses/source_inventory_2026-06-18.json,source_inventory_2026-06-18.json,2026-07-05,json,780
third-party-analyses/source_inventory_2026-07-01.json,source_inventory_2026-07-01.json,2026-07-05,json,1270
third-party-analyses/source_inventory_2026-07-02.json,source_inventory_2026-07-02.json,2026-07-05,json,484
third-party-analyses/source_inventory_2026-07-03.json,source_inventory_2026-07-03.json,2026-07-05,json,484
third-party-analyses/source_inventory_2026-07-04.json,source_inventory_2026-07-04.json,2026-07-05,json,484
third-party-analyses/source_inventory_2026-07-05.json,source_inventory_2026-07-05.json,2026-07-06,json,484
third-party-analyses/source_inventory_2026-07-06.json,source_inventory_2026-07-06.json,2026-07-06,json,484
third-party-analyses/source_inventory_2026-07-07.json,source_inventory_2026-07-07.json,2026-07-07,json,484
third-party-analyses/source_inventory_2026-07-08.json,source_inventory_2026-07-08.json,2026-07-08,json,484
third-party-analyses/source_inventory_2026-07-09.json,source_inventory_2026-07-09.json,2026-07-09,json,484
third-party-analyses/vic/vic_pdf_2026-06-18_nbis-vic-pdf_37a4141be0.pdf,vic_pdf_2026-06-18_nbis-vic-pdf_37a4141be0.pdf,2026-07-05,pdf,1270744
