2026-07-10T10:30:20.041885 Starting download for XEL
2026-07-10T10:30:20.041885 IR PDF URLs found: 0
2026-07-10T10:30:20.042879 Done XEL. SEC=0 IR=0/0
2026-07-10T17:32:38.288192 Starting download for XEL
2026-07-10T17:32:39.334906 OK 5,225,223 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-K_20260225_rpt20251231_acc0000072903_26_000009.htm
2026-07-10T17:32:40.154042 OK 5,043,744 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-K_20250227_rpt20241231_acc0000072903_25_000029.htm
2026-07-10T17:32:40.935855 OK 4,977,750 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-K_20240221_rpt20231231_acc0000072903_24_000034.htm
2026-07-10T17:32:41.426239 OK 6,500,863 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-K_20230223_rpt20221231_acc0000072903_23_000007.htm
2026-07-10T17:32:41.971465 OK 6,752,221 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-K_20220223_rpt20211231_acc0000072903_22_000010.htm
2026-07-10T17:32:42.348683 OK 1,879,153 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-Q_20260430_rpt20260331_acc0000072903_26_000073.htm
2026-07-10T17:32:42.977483 OK 2,444,971 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-Q_20251030_rpt20250930_acc0000072903_25_000257.htm
2026-07-10T17:32:43.265281 OK 2,313,038 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-Q_20250731_rpt20250630_acc0000072903_25_000225.htm
2026-07-10T17:32:43.631601 OK 1,842,060 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-Q_20250424_rpt20250331_acc0000072903_25_000088.htm
2026-07-10T17:32:44.033573 OK 2,331,232 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-Q_20241031_rpt20240930_acc0000072903_24_000199.htm
2026-07-10T17:32:44.390274 OK 2,250,421 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-Q_20240801_rpt20240630_acc0000072903_24_000172.htm
2026-07-10T17:32:44.630440 OK 1,788,603 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-Q_20240425_rpt20240331_acc0000072903_24_000096.htm
2026-07-10T17:32:44.945947 OK 2,342,609 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-Q_20231027_rpt20230930_acc0000072903_23_000161.htm
2026-07-10T17:32:45.223269 OK 2,259,668 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-Q_20230727_rpt20230630_acc0000072903_23_000113.htm
2026-07-10T17:32:45.506466 OK 2,328,408 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-Q_20230427_rpt20230331_acc0000072903_23_000026.htm
2026-07-10T17:32:45.990284 OK 3,117,401 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-Q_20221027_rpt20220930_acc0000072903_22_000063.htm
2026-07-10T17:32:46.249646 OK 3,038,244 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-Q_20220728_rpt20220630_acc0000072903_22_000053.htm
2026-07-10T17:32:46.496150 OK 2,423,931 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-Q_20220428_rpt20220331_acc0000072903_22_000027.htm
2026-07-10T17:32:46.801500 OK 3,264,939 bytes -> /workspace/XEL/investor-documents/sec-edgar/10-Q_20211028_rpt20210930_acc0000072903_21_000084.htm
2026-07-10T17:32:47.034597 OK 1,693,304 bytes -> /workspace/XEL/investor-documents/sec-edgar/DEF 14A_20260407_rpt20260520_acc0000072903_26_000063.htm
2026-07-10T17:32:47.331054 OK 1,758,235 bytes -> /workspace/XEL/investor-documents/sec-edgar/DEF 14A_20250408_rpt20250521_acc0000072903_25_000078.htm
2026-07-10T17:32:47.607958 OK 2,062,817 bytes -> /workspace/XEL/investor-documents/sec-edgar/DEF 14A_20240409_rpt20240522_acc0000072903_24_000082.htm
2026-07-10T17:32:48.311623 OK 1,809,959 bytes -> /workspace/XEL/investor-documents/sec-edgar/DEF 14A_20230411_rpt_acc0000072903_23_000017.htm
2026-07-10T17:32:48.581184 OK 250,376 bytes -> /workspace/XEL/investor-documents/sec-edgar/S-3ASR_20260226_rpt_acc0001193125_26_077453.htm
2026-07-10T17:32:48.878599 OK 1,292,211 bytes -> /workspace/XEL/investor-documents/sec-edgar/S-3ASR_20240418_rpt_acc0001193125_24_100820.htm
2026-07-10T17:32:49.085811 OK 100,572 bytes -> /workspace/XEL/investor-documents/sec-edgar/S-3ASR_20231031_rpt_acc0001193125_23_267196.htm
