insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
WADDELL FREDERICK H,,2026-05-08,2026-05-12,1118,0.0,0.0,A,A,30076,False,False,False,0001223690-26-000004,https://www.sec.gov/Archives/edgar/data/1551152/000122369026000004/0001223690-26-000004.txt
Roberts Rebecca B,,2026-05-08,2026-05-12,1118,0.0,0.0,A,A,14846,False,False,False,0001355580-26-000002,https://www.sec.gov/Archives/edgar/data/1551152/000135558026000002/0001355580-26-000002.txt
RAPP EDWARD J,,2026-05-08,2026-05-12,1118,0.0,0.0,A,A,45964,False,False,False,0001171780-26-000010,https://www.sec.gov/Archives/edgar/data/1551152/000117178026000010/0001171780-26-000010.txt
Quaggin Susan E,,2026-05-08,2026-05-12,1118,0.0,0.0,A,A,3643,False,False,False,0001997505-26-000006,https://www.sec.gov/Archives/edgar/data/1551152/000199750526000006/0001997505-26-000006.txt
MEYER MELODY B,,2026-05-08,2026-05-12,1118,0.0,0.0,A,A,17616,False,False,False,0001706126-26-000002,https://www.sec.gov/Archives/edgar/data/1551152/000170612626000002/0001706126-26-000002.txt
Hart Brett J,,2026-05-08,2026-05-12,1118,0.0,0.0,A,A,20590,False,False,False,0001466338-26-000003,https://www.sec.gov/Archives/edgar/data/1551152/000146633826000003/0001466338-26-000003.txt
FREYMAN THOMAS C,,2026-05-08,2026-05-12,1118,0.0,0.0,A,A,127869,False,False,False,0001239126-26-000002,https://www.sec.gov/Archives/edgar/data/1551152/000123912626000002/0001239126-26-000002.txt
FALK THOMAS J,,2026-05-08,2026-05-12,1118,0.0,0.0,A,A,2321,False,False,False,0001222890-26-000003,https://www.sec.gov/Archives/edgar/data/1551152/000122289026000003/0001222890-26-000003.txt
Davis Jennifer L.,,2026-05-08,2026-05-12,1118,0.0,0.0,A,A,3643,False,False,False,0001916665-26-000002,https://www.sec.gov/Archives/edgar/data/1551152/000191666526000002/0001916665-26-000002.txt
BURNSIDE WILLIAM H.L.,,2026-05-08,2026-05-12,1118,0.0,0.0,A,A,28076,False,False,False,0001563579-26-000002,https://www.sec.gov/Archives/edgar/data/1551152/000156357926000002/0001563579-26-000002.txt
