insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Morrone Louis H.,EXECUTIVE VICE PRESIDENT,2026-06-30,2026-07-01,269,92.71,24938.99,D,F,76574,False,False,False,0001867666-26-000009,https://www.sec.gov/Archives/edgar/data/1800/000186766626000009/0001867666-26-000009.txt
Cushman Elizabeth C.,"EVP, GC AND SECRETARY",2026-06-27,2026-06-29,560,94.12,52707.2,D,F,38013,False,False,False,0002075371-26-000009,https://www.sec.gov/Archives/edgar/data/1800/000207537126000009/0002075371-26-000009.txt
Stratton John G,,2026-05-07,2026-06-18,2000,86.82,173640.0,A,P,23319,False,False,False,0001385262-26-000017,https://www.sec.gov/Archives/edgar/data/1800/000138526226000017/0001385262-26-000017.txt
Moreland Mary K,EXECUTIVE VICE PRESIDENT,2026-04-28,2026-04-29,5314,94.41,501694.74,A,I,17159,False,False,False,0001783147-26-000009,https://www.sec.gov/Archives/edgar/data/1800/000178314726000009/0001783147-26-000009.txt
STARKS DANIEL J,,2026-04-27,2026-04-28,10000,92.6537,926537.0,A,P,6751103,False,False,False,0000902132-26-000005,https://www.sec.gov/Archives/edgar/data/1800/000090213226000005/0000902132-26-000005.txt
Stratton John G,,2026-04-24,2026-04-28,2286,0.0,0.0,A,A,21319,False,False,False,0001385262-26-000012,https://www.sec.gov/Archives/edgar/data/1800/000138526226000012/0001385262-26-000012.txt
STARKS DANIEL J,,2026-04-24,2026-04-28,2286,0.0,0.0,A,A,6741103,False,False,False,0000902132-26-000005,https://www.sec.gov/Archives/edgar/data/1800/000090213226000005/0000902132-26-000005.txt
Roman Michael F,,2026-04-24,2026-04-28,2286,0.0,0.0,A,A,10764,False,False,False,0001577544-26-000006,https://www.sec.gov/Archives/edgar/data/1800/000157754426000006/0001577544-26-000006.txt
O'Grady Michael,,2026-04-24,2026-04-28,2286,0.0,0.0,A,A,7603,False,False,False,0001527742-26-000012,https://www.sec.gov/Archives/edgar/data/1800/000152774226000012/0001527742-26-000012.txt
McKinstry Nancy,,2026-04-24,2026-04-28,2286,0.0,0.0,A,A,41010,False,False,False,0001294731-26-000004,https://www.sec.gov/Archives/edgar/data/1800/000129473126000004/0001294731-26-000004.txt
