insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Walsh John F,CEO-The Americas,2026-09-05,2026-09-08,146,189.095,27607.87,A,A,26256,False,False,True,0001792845-26-000017,https://www.sec.gov/Archives/edgar/data/1467373/000179284526000017/0001792845-26-000017.txt
Unruch Joel,General Counsel/Corp Secretary,2026-09-05,2026-09-08,145,189.095,27418.78,A,A,18130,False,False,True,0001783059-26-000017,https://www.sec.gov/Archives/edgar/data/1467373/000178305926000017/0001783059-26-000017.txt
Sweet Julie Spellman,Chair and CEO,2026-09-05,2026-09-08,205,189.095,38764.47,A,A,16999,False,True,True,0001487630-26-000018,https://www.sec.gov/Archives/edgar/data/1467373/000148763026000018/0001487630-26-000018.txt
Sharma Manish,Chief Strategy & Services Ofcr,2026-09-05,2026-09-08,97,189.095,18342.22,A,A,5901,False,False,True,0001911109-26-000017,https://www.sec.gov/Archives/edgar/data/1467373/000191110926000017/0001911109-26-000017.txt
Park Angie Y,Chief Financial Officer,2026-09-05,2026-09-08,145,189.095,27418.78,A,A,13650,False,False,True,0002028611-26-000015,https://www.sec.gov/Archives/edgar/data/1467373/000202861126000015/0002028611-26-000015.txt
Hogan Catherine Kiernan,Chief Operating Officer,2026-09-05,2026-09-08,113,189.095,21367.74,A,A,13767,False,False,True,0002080406-26-000015,https://www.sec.gov/Archives/edgar/data/1467373/000208040626000015/0002080406-26-000015.txt
Clifford Katherine Lee,Chief Leadership & HR Officer,2026-09-05,2026-09-08,92,189.095,17396.74,A,A,6904,False,False,True,0002080407-26-000018,https://www.sec.gov/Archives/edgar/data/1467373/000208040726000018/0002080407-26-000018.txt
Burgum Melissa A,Chief Accounting Officer,2026-09-05,2026-09-08,106,189.095,20044.07,A,A,10006,False,False,True,0001455134-26-000020,https://www.sec.gov/Archives/edgar/data/1467373/000145513426000020/0001455134-26-000020.txt
Walsh John F,CEO-The Americas,2026-08-14,2026-08-17,24,0.0,0.0,A,A,26110,False,False,True,0001792845-26-000016,https://www.sec.gov/Archives/edgar/data/1467373/000179284526000016/0001792845-26-000016.txt
Uotani Masahiko,,2026-08-14,2026-08-17,9,0.0,0.0,A,A,1258,False,True,False,0002052025-26-000005,https://www.sec.gov/Archives/edgar/data/1467373/000205202526000005/0002052025-26-000005.txt
Unruch Joel,General Counsel/Corp Secretary,2026-08-14,2026-08-17,88,0.0,0.0,A,A,17985,False,False,True,0001783059-26-000016,https://www.sec.gov/Archives/edgar/data/1467373/000178305926000016/0001783059-26-000016.txt
Travis Tracey Thomas,,2026-08-14,2026-08-17,15,0.0,0.0,A,A,9829,False,True,False,0001258930-26-000005,https://www.sec.gov/Archives/edgar/data/1467373/000125893026000005/0001258930-26-000005.txt
Sweet Julie Spellman,Chair and CEO,2026-08-14,2026-08-17,47,0.0,0.0,A,A,16794,False,True,True,0001487630-26-000017,https://www.sec.gov/Archives/edgar/data/1467373/000148763026000017/0001487630-26-000017.txt
Sharma Manish,Chief Strategy & Services Ofcr,2026-08-14,2026-08-17,17,0.0,0.0,A,A,5804,False,False,True,0001911109-26-000016,https://www.sec.gov/Archives/edgar/data/1467373/000191110926000016/0001911109-26-000016.txt
Sarin Arun,,2026-08-14,2026-08-17,13,0.0,0.0,A,A,9627,False,True,False,0001188405-26-000009,https://www.sec.gov/Archives/edgar/data/1467373/000118840526000009/0001188405-26-000009.txt
RENDUCHINTALA VENKATA S M,,2026-08-14,2026-08-17,9,0.0,0.0,A,A,4419,False,True,False,0001559658-26-000005,https://www.sec.gov/Archives/edgar/data/1467373/000155965826000005/0001559658-26-000005.txt
Price Paula A,,2026-08-14,2026-08-17,14,0.0,0.0,A,A,8561,False,True,False,0001369240-26-000010,https://www.sec.gov/Archives/edgar/data/1467373/000136924026000010/0001369240-26-000010.txt
