insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
DeSilva Joseph,Executive VP,2026-09-03,2026-09-04,631,282.87,178490.97,D,S,18824,True,False,True,0001225208-26-007685,https://www.sec.gov/Archives/edgar/data/8670/000122520826007685/0001225208-26-007685.txt
Foskett David,Corp. VP,2026-09-02,2026-09-03,1529,283.0,432707.0,D,S,14146,True,False,True,0001225208-26-007606,https://www.sec.gov/Archives/edgar/data/8670/000122520826007606/0001225208-26-007606.txt
DeSilva Joseph,Executive VP,2026-09-02,2026-09-03,6512,283.0,1842896.0,D,S,19455,True,False,True,0001225208-26-007605,https://www.sec.gov/Archives/edgar/data/8670/000122520826007605/0001225208-26-007605.txt
D'Ambrosio Christopher,Corp. VP,2026-09-02,2026-09-03,1872,283.0,529776.0,D,S,9927,True,False,True,0001225208-26-007604,https://www.sec.gov/Archives/edgar/data/8670/000122520826007604/0001225208-26-007604.txt
Black Maria,President & CEO,2026-09-02,2026-09-03,214,279.2119,59751.35,D,S,110220,True,False,True,0001225208-26-007601,https://www.sec.gov/Archives/edgar/data/8670/000122520826007601/0001225208-26-007601.txt
Black Maria,President & CEO,2026-09-02,2026-09-03,256,279.4446,71537.82,D,S,109964,True,False,True,0001225208-26-007601,https://www.sec.gov/Archives/edgar/data/8670/000122520826007601/0001225208-26-007601.txt
Black Maria,President & CEO,2026-09-02,2026-09-03,559,279.9339,156483.05,D,S,109405,True,False,True,0001225208-26-007601,https://www.sec.gov/Archives/edgar/data/8670/000122520826007601/0001225208-26-007601.txt
Black Maria,President & CEO,2026-09-02,2026-09-03,610,281.8625,171936.12,D,S,108795,True,False,True,0001225208-26-007601,https://www.sec.gov/Archives/edgar/data/8670/000122520826007601/0001225208-26-007601.txt
Black Maria,President & CEO,2026-09-02,2026-09-03,700,278.5886,195012.02,D,S,108095,True,False,True,0001225208-26-007601,https://www.sec.gov/Archives/edgar/data/8670/000122520826007601/0001225208-26-007601.txt
Black Maria,President & CEO,2026-09-02,2026-09-03,760,281.6961,214089.04,D,S,107335,True,False,True,0001225208-26-007601,https://www.sec.gov/Archives/edgar/data/8670/000122520826007601/0001225208-26-007601.txt
Black Maria,President & CEO,2026-09-02,2026-09-03,786,280.2682,220290.81,D,S,106549,True,False,True,0001225208-26-007601,https://www.sec.gov/Archives/edgar/data/8670/000122520826007601/0001225208-26-007601.txt
Black Maria,President & CEO,2026-09-02,2026-09-03,1018,281.5993,286668.09,D,S,105531,True,False,True,0001225208-26-007601,https://www.sec.gov/Archives/edgar/data/8670/000122520826007601/0001225208-26-007601.txt
Black Maria,President & CEO,2026-09-02,2026-09-03,1018,280.5952,285645.91,D,S,104513,True,False,True,0001225208-26-007601,https://www.sec.gov/Archives/edgar/data/8670/000122520826007601/0001225208-26-007601.txt
Black Maria,President & CEO,2026-09-02,2026-09-03,1193,280.9598,335185.04,D,S,103320,True,False,True,0001225208-26-007601,https://www.sec.gov/Archives/edgar/data/8670/000122520826007601/0001225208-26-007601.txt
Black Maria,President & CEO,2026-09-02,2026-09-03,1483,281.1319,416918.61,D,S,101837,True,False,True,0001225208-26-007601,https://www.sec.gov/Archives/edgar/data/8670/000122520826007601/0001225208-26-007601.txt
Black Maria,President & CEO,2026-09-02,2026-09-03,2898,279.7355,810673.48,D,S,98939,True,False,True,0001225208-26-007601,https://www.sec.gov/Archives/edgar/data/8670/000122520826007601/0001225208-26-007601.txt
Black Maria,President & CEO,2026-09-02,2026-09-03,7724,281.6597,2175539.52,D,S,91215,True,False,True,0001225208-26-007601,https://www.sec.gov/Archives/edgar/data/8670/000122520826007601/0001225208-26-007601.txt
Black Maria,President & CEO,2026-09-02,2026-09-03,10591,280.8179,2974142.38,D,S,80624,True,False,True,0001225208-26-007601,https://www.sec.gov/Archives/edgar/data/8670/000122520826007601/0001225208-26-007601.txt
Rodriguez Carlos A,,2026-09-01,2026-09-03,13471,283.49,3818893.79,D,F,34178,False,True,False,0001225208-26-007614,https://www.sec.gov/Archives/edgar/data/8670/000122520826007614/0001225208-26-007614.txt
Orihuela Samantha D,Chief Marketing Officer,2026-09-01,2026-09-03,1163,0.0,0.0,A,A,6454,False,False,True,0001225208-26-007613,https://www.sec.gov/Archives/edgar/data/8670/000122520826007613/0001225208-26-007613.txt
Orihuela Samantha D,Chief Marketing Officer,2026-09-01,2026-09-03,154,283.49,43657.46,D,F,295,False,False,True,0001225208-26-007613,https://www.sec.gov/Archives/edgar/data/8670/000122520826007613/0001225208-26-007613.txt
Michaud Brian L.,Executive VP,2026-09-01,2026-09-03,2683,0.0,0.0,A,A,21124,False,False,True,0001225208-26-007612,https://www.sec.gov/Archives/edgar/data/8670/000122520826007612/0001225208-26-007612.txt
Michaud Brian L.,Executive VP,2026-09-01,2026-09-03,2281,283.49,646640.69,D,F,18843,False,False,True,0001225208-26-007612,https://www.sec.gov/Archives/edgar/data/8670/000122520826007612/0001225208-26-007612.txt
Magliulo Virginia,Executive VP,2026-09-01,2026-09-03,2858,0.0,0.0,A,A,20500,False,False,True,0001225208-26-007611,https://www.sec.gov/Archives/edgar/data/8670/000122520826007611/0001225208-26-007611.txt
Magliulo Virginia,Executive VP,2026-09-01,2026-09-03,2708,283.49,767690.92,D,F,17792,False,False,True,0001225208-26-007611,https://www.sec.gov/Archives/edgar/data/8670/000122520826007611/0001225208-26-007611.txt
Lehberger Jonathan S,Corp. VP,2026-09-01,2026-09-03,903,0.0,0.0,A,A,6137,False,False,True,0001225208-26-007610,https://www.sec.gov/Archives/edgar/data/8670/000122520826007610/0001225208-26-007610.txt
Lehberger Jonathan S,Corp. VP,2026-09-01,2026-09-03,406,283.49,115096.94,D,F,5731,False,False,True,0001225208-26-007610,https://www.sec.gov/Archives/edgar/data/8670/000122520826007610/0001225208-26-007610.txt
Kwon David,Corp VP,2026-09-01,2026-09-03,1763,0.0,0.0,A,A,14955,False,False,True,0001225208-26-007609,https://www.sec.gov/Archives/edgar/data/8670/000122520826007609/0001225208-26-007609.txt
Kwon David,Corp VP,2026-09-01,2026-09-03,1969,283.49,558191.81,D,F,12986,False,False,True,0001225208-26-007609,https://www.sec.gov/Archives/edgar/data/8670/000122520826007609/0001225208-26-007609.txt
KUTAM SREENIVASA,Corp VP,2026-09-01,2026-09-03,5259,0.0,0.0,A,A,57028,False,False,True,0001225208-26-007608,https://www.sec.gov/Archives/edgar/data/8670/000122520826007608/0001225208-26-007608.txt
KUTAM SREENIVASA,Corp VP,2026-09-01,2026-09-03,7328,283.49,2077414.72,D,F,49699,False,False,True,0001225208-26-007608,https://www.sec.gov/Archives/edgar/data/8670/000122520826007608/0001225208-26-007608.txt
Hadley Peter J,CFO,2026-09-01,2026-09-03,6464,0.0,0.0,A,A,18864,False,False,True,0001225208-26-007607,https://www.sec.gov/Archives/edgar/data/8670/000122520826007607/0001225208-26-007607.txt
Hadley Peter J,CFO,2026-09-01,2026-09-03,1650,283.49,467758.5,D,F,17213,False,False,True,0001225208-26-007607,https://www.sec.gov/Archives/edgar/data/8670/000122520826007607/0001225208-26-007607.txt
Foskett David,Corp. VP,2026-09-01,2026-09-03,4006,0.0,0.0,A,A,17655,True,False,True,0001225208-26-007606,https://www.sec.gov/Archives/edgar/data/8670/000122520826007606/0001225208-26-007606.txt
Foskett David,Corp. VP,2026-09-01,2026-09-03,1980,283.49,561310.2,D,F,15675,True,False,True,0001225208-26-007606,https://www.sec.gov/Archives/edgar/data/8670/000122520826007606/0001225208-26-007606.txt
DeSilva Joseph,Executive VP,2026-09-01,2026-09-03,5089,0.0,0.0,A,A,33449,True,False,True,0001225208-26-007605,https://www.sec.gov/Archives/edgar/data/8670/000122520826007605/0001225208-26-007605.txt
DeSilva Joseph,Executive VP,2026-09-01,2026-09-03,7482,283.49,2121072.18,D,F,25967,True,False,True,0001225208-26-007605,https://www.sec.gov/Archives/edgar/data/8670/000122520826007605/0001225208-26-007605.txt
D'Ambrosio Christopher,Corp. VP,2026-09-01,2026-09-03,2565,0.0,0.0,A,A,13535,True,False,True,0001225208-26-007604,https://www.sec.gov/Archives/edgar/data/8670/000122520826007604/0001225208-26-007604.txt
D'Ambrosio Christopher,Corp. VP,2026-09-01,2026-09-03,1735,283.49,491855.15,D,F,11799,True,False,True,0001225208-26-007604,https://www.sec.gov/Archives/edgar/data/8670/000122520826007604/0001225208-26-007604.txt
Bonarti Michael A,Corporate Vice President,2026-09-01,2026-09-03,5076,0.0,0.0,A,A,97063,False,False,True,0001225208-26-007603,https://www.sec.gov/Archives/edgar/data/8670/000122520826007603/0001225208-26-007603.txt
Bonarti Michael A,Corporate Vice President,2026-09-01,2026-09-03,7726,283.49,2190243.74,D,F,89336,False,False,True,0001225208-26-007603,https://www.sec.gov/Archives/edgar/data/8670/000122520826007603/0001225208-26-007603.txt
Boland Paul,Corp. VP,2026-09-01,2026-09-03,3634,0.0,0.0,A,A,15467,False,False,True,0001225208-26-007602,https://www.sec.gov/Archives/edgar/data/8670/000122520826007602/0001225208-26-007602.txt
Boland Paul,Corp. VP,2026-09-01,2026-09-03,3133,283.49,888174.17,D,F,12333,False,False,True,0001225208-26-007602,https://www.sec.gov/Archives/edgar/data/8670/000122520826007602/0001225208-26-007602.txt
Black Maria,President & CEO,2026-09-01,2026-09-03,21689,0.0,0.0,A,A,141649,True,False,True,0001225208-26-007601,https://www.sec.gov/Archives/edgar/data/8670/000122520826007601/0001225208-26-007601.txt
Black Maria,President & CEO,2026-09-01,2026-09-03,31215,283.49,8849140.35,D,F,110434,True,False,True,0001225208-26-007601,https://www.sec.gov/Archives/edgar/data/8670/000122520826007601/0001225208-26-007601.txt
Michaud Brian L.,Executive VP,2026-08-21,2026-08-24,120,279.7,33564.0,D,S,18441,True,False,True,0001225208-26-007307,https://www.sec.gov/Archives/edgar/data/8670/000122520826007307/0001225208-26-007307.txt
Kwon David,Corp VP,2026-08-20,2026-08-24,967,169.84,164235.28,A,M,13990,True,False,True,0001225208-26-007306,https://www.sec.gov/Archives/edgar/data/8670/000122520826007306/0001225208-26-007306.txt
Kwon David,Corp VP,2026-08-20,2026-08-24,798,280.0,223440.0,D,S,13192,True,False,True,0001225208-26-007306,https://www.sec.gov/Archives/edgar/data/8670/000122520826007306/0001225208-26-007306.txt
Rodriguez Carlos A,,2026-08-05,2026-08-06,24921,0.0,0.0,A,A,47650,False,True,False,0001225208-26-007018,https://www.sec.gov/Archives/edgar/data/8670/000122520826007018/0001225208-26-007018.txt
Michaud Brian L.,Executive VP,2026-08-05,2026-08-06,4049,0.0,0.0,A,A,18561,False,False,True,0001225208-26-007016,https://www.sec.gov/Archives/edgar/data/8670/000122520826007016/0001225208-26-007016.txt
Magliulo Virginia,Executive VP,2026-08-05,2026-08-06,4049,0.0,0.0,A,A,17642,False,False,True,0001225208-26-007015,https://www.sec.gov/Archives/edgar/data/8670/000122520826007015/0001225208-26-007015.txt
Lehberger Jonathan S,Corp. VP,2026-08-05,2026-08-06,746,0.0,0.0,A,A,5234,False,False,True,0001225208-26-007014,https://www.sec.gov/Archives/edgar/data/8670/000122520826007014/0001225208-26-007014.txt
Kwon David,Corp VP,2026-08-05,2026-08-06,3114,0.0,0.0,A,A,13023,False,False,True,0001225208-26-007013,https://www.sec.gov/Archives/edgar/data/8670/000122520826007013/0001225208-26-007013.txt
KUTAM SREENIVASA,Corp VP,2026-08-05,2026-08-06,11083,0.0,0.0,A,A,51769,False,False,True,0001225208-26-007012,https://www.sec.gov/Archives/edgar/data/8670/000122520826007012/0001225208-26-007012.txt
Hadley Peter J,CFO,2026-08-05,2026-08-06,1479,0.0,0.0,A,A,12400,False,False,True,0001225208-26-007011,https://www.sec.gov/Archives/edgar/data/8670/000122520826007011/0001225208-26-007011.txt
Foskett David,Corp. VP,2026-08-05,2026-08-06,2646,0.0,0.0,A,A,13649,False,False,True,0001225208-26-007010,https://www.sec.gov/Archives/edgar/data/8670/000122520826007010/0001225208-26-007010.txt
DeSilva Joseph,Executive VP,2026-08-05,2026-08-06,10902,0.0,0.0,A,A,28360,False,False,True,0001225208-26-007009,https://www.sec.gov/Archives/edgar/data/8670/000122520826007009/0001225208-26-007009.txt
D'Ambrosio Christopher,Corp. VP,2026-08-05,2026-08-06,2601,0.0,0.0,A,A,10970,False,False,True,0001225208-26-007008,https://www.sec.gov/Archives/edgar/data/8670/000122520826007008/0001225208-26-007008.txt
Bonarti Michael A,Corporate Vice President,2026-08-05,2026-08-06,11572,0.0,0.0,A,A,91987,False,False,True,0001225208-26-007007,https://www.sec.gov/Archives/edgar/data/8670/000122520826007007/0001225208-26-007007.txt
Boland Paul,Corp. VP,2026-08-05,2026-08-06,4671,0.0,0.0,A,A,11833,False,False,True,0001225208-26-007006,https://www.sec.gov/Archives/edgar/data/8670/000122520826007006/0001225208-26-007006.txt
Black Maria,President & CEO,2026-08-05,2026-08-06,44859,0.0,0.0,A,A,119960,False,False,True,0001225208-26-007005,https://www.sec.gov/Archives/edgar/data/8670/000122520826007005/0001225208-26-007005.txt
Kwon David,Corp VP,2026-07-31,2026-08-04,250,138.53,34632.5,A,M,9909,True,False,True,0001225208-26-006922,https://www.sec.gov/Archives/edgar/data/8670/000122520826006922/0001225208-26-006922.txt
Kwon David,Corp VP,2026-07-30,2026-07-31,887,138.53,122876.11,A,M,12073,True,False,True,0001225208-26-006860,https://www.sec.gov/Archives/edgar/data/8670/000122520826006860/0001225208-26-006860.txt
Kwon David,Corp VP,2026-07-30,2026-07-31,474,265.62,125903.88,D,S,11599,True,False,True,0001225208-26-006860,https://www.sec.gov/Archives/edgar/data/8670/000122520826006860/0001225208-26-006860.txt
Kwon David,Corp VP,2026-07-30,2026-07-31,887,265.62,235604.94,D,S,10712,True,False,True,0001225208-26-006860,https://www.sec.gov/Archives/edgar/data/8670/000122520826006860/0001225208-26-006860.txt
Kwon David,Corp VP,2026-07-30,2026-07-31,1053,265.62,279697.86,D,S,9659,True,False,True,0001225208-26-006860,https://www.sec.gov/Archives/edgar/data/8670/000122520826006860/0001225208-26-006860.txt
Michaud Brian L.,Executive VP,2026-07-01,2026-07-02,49,223.94,10973.06,A,I,14511,False,False,True,0001225208-26-006368,https://www.sec.gov/Archives/edgar/data/8670/000122520826006368/0001225208-26-006368.txt
Foskett David,Corp. VP,2026-07-01,2026-07-02,49,223.94,10973.06,A,I,11002,False,False,True,0001225208-26-006367,https://www.sec.gov/Archives/edgar/data/8670/000122520826006367/0001225208-26-006367.txt
Black Maria,President & CEO,2026-07-01,2026-07-02,49,223.94,10973.06,A,I,75101,False,False,True,0001225208-26-006366,https://www.sec.gov/Archives/edgar/data/8670/000122520826006366/0001225208-26-006366.txt
Michaud Brian L.,Executive VP,2026-05-08,2026-05-11,848,212.13,179886.24,D,S,14462,True,False,True,0001225208-26-005086,https://www.sec.gov/Archives/edgar/data/8670/000122520826005086/0001225208-26-005086.txt
SWAN ROBERT HOLMES,,2026-05-07,2026-05-11,3619,206.05,745694.95,A,P,5072,True,True,False,0001225208-26-005087,https://www.sec.gov/Archives/edgar/data/8670/000122520826005087/0001225208-26-005087.txt
D'Ambrosio Christopher,Corp. VP,2026-04-14,2026-04-15,543,195.74,106286.82,D,S,8369,True,False,True,0001225208-26-004518,https://www.sec.gov/Archives/edgar/data/8670/000122520826004518/0001225208-26-004518.txt
D'Ambrosio Christopher,Corp. VP,2026-03-16,2026-03-17,543,208.45,113188.35,D,S,8912,True,False,True,0001225208-26-003733,https://www.sec.gov/Archives/edgar/data/8670/000122520826003733/0001225208-26-003733.txt
