insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Smith Patrick E,Chairman & President of Sub,2026-07-01,2026-07-06,280,0.0,0.0,A,A,20275,False,False,True,0002094778-26-000006,https://www.sec.gov/Archives/edgar/data/1002910/000209477826000006/0002094778-26-000006.txt
Melda Aaron P,Chairman & President of Sub,2026-07-01,2026-07-06,2520,0.0,0.0,A,A,6251,False,False,True,0002137318-26-000005,https://www.sec.gov/Archives/edgar/data/1002910/000213731826000005/0002137318-26-000005.txt
Arora Ajay K,EVP of Subsidiary,2026-07-01,2026-07-06,716,0.0,0.0,A,A,23119,False,False,True,0002093735-26-000010,https://www.sec.gov/Archives/edgar/data/1002910/000209373526000010/0002093735-26-000010.txt
Melda Aaron P,Chairman and President,2026-06-01,2026-06-03,3705,0.0,0.0,A,A,3705,False,False,True,0002137318-26-000002,https://www.sec.gov/Archives/edgar/data/1002910/000213731826000002/0002137318-26-000002.txt
Arora Ajay K,EVP of Subsidiary,2026-06-01,2026-06-03,6797,0.0,0.0,A,A,22326,False,False,True,0002093735-26-000008,https://www.sec.gov/Archives/edgar/data/1002910/000209373526000008/0002093735-26-000008.txt
Shaw Theresa A,SVP and CATO,2026-05-14,2026-05-14,325,109.08,35451.0,D,S,32618,True,False,True,0001878241-26-000008,https://www.sec.gov/Archives/edgar/data/1002910/000187824126000008/0001878241-26-000008.txt
Shaw Theresa A,SVP and CATO,2026-05-12,2026-05-14,1500,109.35,164025.0,D,S,32943,True,False,True,0001878241-26-000008,https://www.sec.gov/Archives/edgar/data/1002910/000187824126000008/0001878241-26-000008.txt
MOEHN MICHAEL L,"Group President, Utilities",2026-05-01,2026-05-05,6500,113.63,738595.0,D,S,205598,True,False,True,0001190105-26-000008,https://www.sec.gov/Archives/edgar/data/1002910/000119010526000008/0001190105-26-000008.txt
BRUNE CATHERINE S,,2026-03-05,2026-03-06,450,0.0,0.0,D,G,26628,False,True,False,0001199579-26-000004,https://www.sec.gov/Archives/edgar/data/1002910/000119957926000004/0001199579-26-000004.txt
Martin Ryan J,SVP Finance,2026-03-04,2026-03-06,1300,113.31,147303.0,D,S,26479,False,False,True,0002093849-26-000006,https://www.sec.gov/Archives/edgar/data/1002910/000209384926000006/0002093849-26-000006.txt
Schukar Shawn E,,2026-03-03,2026-03-03,4975,111.84,556404.0,D,S,56830,True,False,False,0001305084-26-000004,https://www.sec.gov/Archives/edgar/data/1002910/000130508426000004/0001305084-26-000004.txt
Lindgren Mark C,,2026-03-03,2026-03-03,2073,111.84,231844.32,D,S,44983,True,False,False,0001640852-26-000004,https://www.sec.gov/Archives/edgar/data/1002910/000164085226000004/0001640852-26-000004.txt
LYONS MARTIN J,"Chairman, President & CEO",2026-03-03,2026-03-03,26818,111.84,2999325.12,D,S,282681,True,True,True,0001190099-26-000004,https://www.sec.gov/Archives/edgar/data/1002910/000119009926000004/0001190099-26-000004.txt
Rausch Timothy S.,,2026-03-01,2026-03-03,1251,0.0,0.0,A,A,1251,False,True,False,0001641892-26-000006,https://www.sec.gov/Archives/edgar/data/1002910/000164189226000006/0001641892-26-000006.txt
Smith Patrick E,Chairman & President of Sub,2026-02-27,2026-03-03,910,113.28,103084.8,D,F,19910,False,False,True,0002094778-26-000004,https://www.sec.gov/Archives/edgar/data/1002910/000209477826000004/0002094778-26-000004.txt
Singh Leonard P,,2026-02-27,2026-03-03,5478,113.28,620547.84,D,F,32776,False,False,False,0001936928-26-000004,https://www.sec.gov/Archives/edgar/data/1002910/000193692826000004/0001936928-26-000004.txt
Shaw Theresa A,SVP and CATO,2026-02-27,2026-03-03,1296,113.28,146810.88,D,F,34397,False,False,True,0001878241-26-000006,https://www.sec.gov/Archives/edgar/data/1002910/000187824126000006/0001878241-26-000006.txt
Seidler Eric V,SVP of Subsidiary,2026-02-27,2026-03-03,982,113.28,111240.96,D,F,14041,False,False,True,0002093862-26-000004,https://www.sec.gov/Archives/edgar/data/1002910/000209386226000004/0002093862-26-000004.txt
Schukar Shawn E,,2026-02-27,2026-03-03,3148,113.28,356605.44,D,F,61805,True,False,False,0001305084-26-000004,https://www.sec.gov/Archives/edgar/data/1002910/000130508426000004/0001305084-26-000004.txt
Mizell Gwendolyn G,,2026-02-27,2026-03-03,943,113.28,106823.04,D,F,6324,False,False,False,0001849779-26-000006,https://www.sec.gov/Archives/edgar/data/1002910/000184977926000006/0001849779-26-000006.txt
Martin Ryan J,SVP Finance,2026-02-27,2026-03-03,726,113.28,82241.28,D,F,27779,False,False,True,0002093849-26-000004,https://www.sec.gov/Archives/edgar/data/1002910/000209384926000004/0002093849-26-000004.txt
MOEHN MICHAEL L,"Group President, Utilities",2026-02-27,2026-03-03,14355,113.28,1626134.4,D,F,211525,False,False,True,0001190105-26-000006,https://www.sec.gov/Archives/edgar/data/1002910/000119010526000006/0001190105-26-000006.txt
Lindgren Mark C,,2026-02-27,2026-03-03,2054,113.28,232677.12,D,F,47046,True,False,False,0001640852-26-000004,https://www.sec.gov/Archives/edgar/data/1002910/000164085226000004/0001640852-26-000004.txt
LYONS MARTIN J,"Chairman, President & CEO",2026-02-27,2026-03-03,28154,113.28,3189285.12,D,F,309499,True,True,True,0001190099-26-000004,https://www.sec.gov/Archives/edgar/data/1002910/000119009926000004/0001190099-26-000004.txt
