insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
AES CORP,,2026-05-15,2026-05-19,10066414,0.0,0.0,A,C,10066414,False,False,False,0000950103-26-007429,https://www.sec.gov/Archives/edgar/data/874761/000095010326007429/0000950103-26-007429.txt
AES CORP,,2026-05-15,2026-05-19,10066414,21.0,211394694.0,D,S,0,False,False,False,0000950103-26-007429,https://www.sec.gov/Archives/edgar/data/874761/000095010326007429/0000950103-26-007429.txt
Rubiolo Juan Ignacio,"EVP, COO, Pres., Energy Infra.",2026-04-23,2026-04-24,48276,0.0,0.0,A,A,275911,False,False,True,0000874761-26-000081,https://www.sec.gov/Archives/edgar/data/874761/000087476126000081/0000874761-26-000081.txt
Mendoza Tish,EVP & Chief HR Officer,2026-04-23,2026-04-24,46552,0.0,0.0,A,A,334972,False,False,True,0000874761-26-000087,https://www.sec.gov/Archives/edgar/data/874761/000087476126000087/0000874761-26-000087.txt
Freedman Paul L,"EVP, GC and Corp. Secretary",2026-04-23,2026-04-24,44483,0.0,0.0,A,A,223154,False,False,True,0000874761-26-000085,https://www.sec.gov/Archives/edgar/data/874761/000087476126000085/0000874761-26-000085.txt
Coughlin Stephen,EVP and CFO,2026-04-23,2026-04-24,50345,0.0,0.0,A,A,265494,False,False,True,0000874761-26-000083,https://www.sec.gov/Archives/edgar/data/874761/000087476126000083/0000874761-26-000083.txt
Rubiolo Juan Ignacio,"EVP and Pres., Energy Infrast.",2026-02-24,2026-02-26,4036,16.27,65665.72,D,F,229232,False,False,True,0000874761-26-000052,https://www.sec.gov/Archives/edgar/data/874761/000087476126000052/0000874761-26-000052.txt
Rubiolo Juan Ignacio,"EVP and Pres., Energy Infrast.",2026-02-24,2026-02-26,1597,16.27,25983.19,D,F,227635,False,False,True,0000874761-26-000052,https://www.sec.gov/Archives/edgar/data/874761/000087476126000052/0000874761-26-000052.txt
Mendoza Tish,EVP & Chief HR Officer,2026-02-24,2026-02-26,1487,16.27,24193.49,D,F,288420,False,False,True,0000874761-26-000050,https://www.sec.gov/Archives/edgar/data/874761/000087476126000050/0000874761-26-000050.txt
Kohan Sherry,SVP & Chief Accounting Officer,2026-02-24,2026-02-26,483,16.27,7858.41,D,F,71424,False,False,True,0000874761-26-000054,https://www.sec.gov/Archives/edgar/data/874761/000087476126000054/0000874761-26-000054.txt
