insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Herrington Douglas J,CEO Worldwide Amazon Stores,2026-06-01,2026-06-03,1000,266.19,266190.0,D,S,485527,True,False,True,0001936006-26-000018,https://www.sec.gov/Archives/edgar/data/1018724/000193600626000018/0001936006-26-000018.txt
Zapolsky David,Senior Vice President,2026-05-22,2026-05-26,9270,268.53,2489273.1,D,S,41190,True,False,True,0001557979-26-000006,https://www.sec.gov/Archives/edgar/data/1018724/000155797926000006/0001557979-26-000006.txt
Zapolsky David,Senior Vice President,2026-05-21,2026-05-26,9920,0.0,0.0,A,P,51110,True,False,True,0001557979-26-000006,https://www.sec.gov/Archives/edgar/data/1018724/000155797926000006/0001557979-26-000006.txt
Zapolsky David,Senior Vice President,2026-05-21,2026-05-26,5530,0.0,0.0,A,P,56640,True,False,True,0001557979-26-000006,https://www.sec.gov/Archives/edgar/data/1018724/000155797926000006/0001557979-26-000006.txt
Zapolsky David,Senior Vice President,2026-05-21,2026-05-26,1600,261.9554,419128.64,D,S,55040,True,False,True,0001557979-26-000006,https://www.sec.gov/Archives/edgar/data/1018724/000155797926000006/0001557979-26-000006.txt
Zapolsky David,Senior Vice President,2026-05-21,2026-05-26,1921,263.1658,505541.5,D,S,53119,True,False,True,0001557979-26-000006,https://www.sec.gov/Archives/edgar/data/1018724/000155797926000006/0001557979-26-000006.txt
Zapolsky David,Senior Vice President,2026-05-21,2026-05-26,1644,264.1187,434211.14,D,S,51475,True,False,True,0001557979-26-000006,https://www.sec.gov/Archives/edgar/data/1018724/000155797926000006/0001557979-26-000006.txt
Zapolsky David,Senior Vice President,2026-05-21,2026-05-26,1014,265.12,268831.68,D,S,50461,True,False,True,0001557979-26-000006,https://www.sec.gov/Archives/edgar/data/1018724/000155797926000006/0001557979-26-000006.txt
Zapolsky David,Senior Vice President,2026-05-21,2026-05-26,1,265.72,265.72,D,S,50460,True,False,True,0001557979-26-000006,https://www.sec.gov/Archives/edgar/data/1018724/000155797926000006/0001557979-26-000006.txt
Reynolds Shelley,Vice President,2026-05-21,2026-05-26,1820,0.0,0.0,A,P,121600,True,False,True,0001018724-26-000018,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000018/0001018724-26-000018.txt
