insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
SMITH MARK D,,2026-04-13,2026-04-15,2262,66.32,150015.84,A,A,118504,False,True,False,0000091142-26-000074,https://www.sec.gov/Archives/edgar/data/91142/000009114226000074/0000091142-26-000074.txt
MARTIN LOIS M,,2026-04-13,2026-04-15,2262,66.32,150015.84,A,A,6445,False,True,False,0000091142-26-000072,https://www.sec.gov/Archives/edgar/data/91142/000009114226000072/0000091142-26-000072.txt
MAPES CHRISTOPHER L,,2026-04-13,2026-04-15,2262,66.32,150015.84,A,A,8684,False,True,False,0000091142-26-000070,https://www.sec.gov/Archives/edgar/data/91142/000009114226000070/0000091142-26-000070.txt
Kadri Ilham,,2026-04-13,2026-04-15,2262,66.32,150015.84,A,A,23579,False,True,False,0000091142-26-000068,https://www.sec.gov/Archives/edgar/data/91142/000009114226000068/0000091142-26-000068.txt
Fister Todd W,,2026-04-13,2026-04-15,2262,66.32,150015.84,A,A,6356,False,True,False,0001575676-26-000002,https://www.sec.gov/Archives/edgar/data/91142/000157567626000002/0001575676-26-000002.txt
Schuh Darrell W.,SVP; President & GM Lochinvar,2026-03-04,2026-03-04,1104,74.3898,82126.34,D,S,2201,False,False,True,0000091142-26-000066,https://www.sec.gov/Archives/edgar/data/91142/000009114226000066/0000091142-26-000066.txt
Carver Samuel M.,SVP - Global Operations,2026-02-23,2026-02-24,1144,0.0,0.0,D,G,2713,False,False,True,0000091142-26-000060,https://www.sec.gov/Archives/edgar/data/91142/000009114226000060/0000091142-26-000060.txt
Wheeler Kevin J.,Executive Chairman,2026-02-13,2026-02-17,36045,0.0,0.0,A,M,136692,False,True,True,0000091142-26-000058,https://www.sec.gov/Archives/edgar/data/91142/000009114226000058/0000091142-26-000058.txt
Wheeler Kevin J.,Executive Chairman,2026-02-13,2026-02-17,16942,79.885,1353411.67,D,F,119750,False,True,True,0000091142-26-000058,https://www.sec.gov/Archives/edgar/data/91142/000009114226000058/0000091142-26-000058.txt
Wheeler Kevin J.,Executive Chairman,2026-02-13,2026-02-17,8598,79.885,686851.23,A,A,128348,False,True,True,0000091142-26-000058,https://www.sec.gov/Archives/edgar/data/91142/000009114226000058/0000091142-26-000058.txt
