insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Toomey Patrick,,2026-07-01,2026-07-06,1589,0.0,0.0,A,A,11380,False,True,False,0001967897-26-000002,https://www.sec.gov/Archives/edgar/data/1858681/000196789726000002/0001967897-26-000002.txt
SWANN LYNN C,,2026-07-01,2026-07-06,1589,0.0,0.0,A,A,20051,False,True,False,0001253486-26-000006,https://www.sec.gov/Archives/edgar/data/1858681/000125348626000006/0001253486-26-000006.txt
O'Neill Mitra,,2026-07-01,2026-07-06,1589,0.0,0.0,A,A,33704,False,True,False,0001761271-26-000004,https://www.sec.gov/Archives/edgar/data/1858681/000176127126000004/0001761271-26-000004.txt
Leach Brian,,2026-07-01,2026-07-06,1589,0.0,0.0,A,A,43505,False,True,False,0001428954-26-000005,https://www.sec.gov/Archives/edgar/data/1858681/000142895426000005/0001428954-26-000005.txt
JOYNER PAMELA J,,2026-07-01,2026-07-06,1589,0.0,0.0,A,A,16524,False,True,False,0001307157-26-000002,https://www.sec.gov/Archives/edgar/data/1858681/000130715726000002/0001307157-26-000002.txt
Healey Kerry Murphy,,2026-07-01,2026-07-06,1589,0.0,0.0,A,A,22294,False,True,False,0001853736-26-000002,https://www.sec.gov/Archives/edgar/data/1858681/000185373626000002/0001853736-26-000002.txt
COHN GARY D,,2026-07-01,2026-07-06,1986,0.0,0.0,A,A,7139,False,True,False,0001366945-26-000008,https://www.sec.gov/Archives/edgar/data/1858681/000136694526000008/0001366945-26-000008.txt
BIBLIOWICZ JESSICA M,,2026-07-01,2026-07-06,1589,0.0,0.0,A,A,17635,False,True,False,0001246102-26-000004,https://www.sec.gov/Archives/edgar/data/1858681/000124610226000004/0001246102-26-000004.txt
BEILINSON MARC A,,2026-07-01,2026-07-06,1589,0.0,0.0,A,A,115296,False,True,False,0001279821-26-000004,https://www.sec.gov/Archives/edgar/data/1858681/000127982126000004/0001279821-26-000004.txt
Kelly Martin,Chief Financial Officer,2026-06-09,2026-06-10,1300,0.0,0.0,D,G,399767,False,False,True,0001557288-26-000008,https://www.sec.gov/Archives/edgar/data/1858681/000155728826000008/0001557288-26-000008.txt
Zito John P.,Co-President (see Remarks),2026-05-27,2026-05-28,17508,129.9495,2275155.85,D,S,3094832,False,False,True,0001748394-26-000005,https://www.sec.gov/Archives/edgar/data/1858681/000174839426000005/0001748394-26-000005.txt
Zito John P.,Co-President (see Remarks),2026-05-27,2026-05-28,20019,130.7082,2616647.46,D,S,3074813,False,False,True,0001748394-26-000005,https://www.sec.gov/Archives/edgar/data/1858681/000174839426000005/0001748394-26-000005.txt
Zito John P.,Co-President (see Remarks),2026-05-27,2026-05-28,11117,131.6816,1463904.35,D,S,3063696,False,False,True,0001748394-26-000005,https://www.sec.gov/Archives/edgar/data/1858681/000174839426000005/0001748394-26-000005.txt
