insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
GARZA RAFAEL G,,2026-07-01,2026-07-02,65,172.923,11240.0,A,A,257,False,True,False,0000731802-26-000094,https://www.sec.gov/Archives/edgar/data/731802/000073180226000094/0000731802-26-000094.txt
ROBBINS J MATT,"SR VP, HUMAN RESOURCES",2026-05-02,2026-05-04,2815,189.74,534118.1,A,M,28408,False,False,True,0000731802-26-000081,https://www.sec.gov/Archives/edgar/data/731802/000073180226000081/0000731802-26-000081.txt
ROBBINS J MATT,"SR VP, HUMAN RESOURCES",2026-05-02,2026-05-04,1042,189.74,197709.08,D,F,27366,False,False,True,0000731802-26-000081,https://www.sec.gov/Archives/edgar/data/731802/000073180226000081/0000731802-26-000081.txt
MCDILL JOHN S,"SR VP, UTILITY OPERATIONS",2026-05-02,2026-05-04,2815,189.74,534118.1,A,M,37414,False,False,True,0000731802-26-000079,https://www.sec.gov/Archives/edgar/data/731802/000073180226000079/0000731802-26-000079.txt
MCDILL JOHN S,"SR VP, UTILITY OPERATIONS",2026-05-02,2026-05-04,1042,189.74,197709.08,D,F,36372,False,False,True,0000731802-26-000079,https://www.sec.gov/Archives/edgar/data/731802/000073180226000079/0000731802-26-000079.txt
HARTSFIELD KAREN E,Senior Advisor,2026-05-02,2026-05-04,2815,189.74,534118.1,A,M,34027,False,False,True,0000731802-26-000077,https://www.sec.gov/Archives/edgar/data/731802/000073180226000077/0000731802-26-000077.txt
HARTSFIELD KAREN E,Senior Advisor,2026-05-02,2026-05-04,1042,189.74,197709.08,D,F,32985,False,False,True,0000731802-26-000077,https://www.sec.gov/Archives/edgar/data/731802/000073180226000077/0000731802-26-000077.txt
Forsythe Christopher T,SR VICE PRESIDENT & CFO,2026-05-02,2026-05-04,3970,189.74,753267.8,A,M,63584,False,False,True,0000731802-26-000075,https://www.sec.gov/Archives/edgar/data/731802/000073180226000075/0000731802-26-000075.txt
Forsythe Christopher T,SR VICE PRESIDENT & CFO,2026-05-02,2026-05-04,1563,189.74,296563.62,D,F,62021,False,False,True,0000731802-26-000075,https://www.sec.gov/Archives/edgar/data/731802/000073180226000075/0000731802-26-000075.txt
FAULK MICHELLE,Vice President & Controller,2026-05-02,2026-05-04,175,189.74,33204.5,A,M,1271,False,False,True,0000731802-26-000073,https://www.sec.gov/Archives/edgar/data/731802/000073180226000073/0000731802-26-000073.txt
FAULK MICHELLE,Vice President & Controller,2026-05-02,2026-05-04,70,189.74,13281.8,D,F,1201,False,False,True,0000731802-26-000073,https://www.sec.gov/Archives/edgar/data/731802/000073180226000073/0000731802-26-000073.txt
AKERS JOHN K,PRESIDENT & CEO,2026-05-02,2026-05-04,16850,189.74,3197119.0,A,M,142214,False,True,True,0000731802-26-000071,https://www.sec.gov/Archives/edgar/data/731802/000073180226000071/0000731802-26-000071.txt
AKERS JOHN K,PRESIDENT & CEO,2026-05-02,2026-05-04,6235,187.74,1170558.9,D,F,135979,False,True,True,0000731802-26-000071,https://www.sec.gov/Archives/edgar/data/731802/000073180226000071/0000731802-26-000071.txt
GARZA RAFAEL G,,2026-04-01,2026-04-02,60,185.09,11105.4,A,A,192,False,True,False,0000731802-26-000069,https://www.sec.gov/Archives/edgar/data/731802/000073180226000069/0000731802-26-000069.txt
COMPTON KELLY H,,2026-03-07,2026-03-10,1082,184.73,199877.86,A,M,7959,False,True,False,0000731802-26-000049,https://www.sec.gov/Archives/edgar/data/731802/000073180226000049/0000731802-26-000049.txt
COCKLIN KIM R,,2026-03-07,2026-03-10,1082,184.73,199877.86,A,M,173713,False,True,False,0000731802-26-000047,https://www.sec.gov/Archives/edgar/data/731802/000073180226000047/0000731802-26-000047.txt
