insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Kurtz Philip S.,CLO & Corp. Secretary,2026-07-14,2026-07-15,30000,11.32,339600.0,D,S,95158,False,False,True,0001070235-26-000094,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000094/0001070235-26-000094.txt
Kurtz Philip S.,CLO & Corp. Secretary,2026-07-09,2026-07-10,10908,0.0,0.0,A,M,131572,False,False,True,0001070235-26-000090,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000090/0001070235-26-000090.txt
Kurtz Philip S.,CLO & Corp. Secretary,2026-07-09,2026-07-10,6414,11.07,71002.98,D,S,125158,False,False,True,0001070235-26-000090,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000090/0001070235-26-000090.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Secure Comm.",2026-07-09,2026-07-10,4800,11.27,54096.0,D,S,807446,False,True,True,0001070235-26-000092,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000092/0001070235-26-000092.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Secure Comm.",2026-07-09,2026-07-10,120200,11.45,1376290.0,D,S,687246,False,True,True,0001070235-26-000092,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000092/0001070235-26-000092.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Secure Comm.",2026-07-09,2026-07-10,61082,0.0,0.0,A,M,748328,False,True,True,0001070235-26-000092,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000092/0001070235-26-000092.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Secure Comm.",2026-07-09,2026-07-10,27012,10.92,294971.04,D,S,721316,False,True,True,0001070235-26-000092,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000092/0001070235-26-000092.txt
Foote Tim,Chief Financial Officer,2026-07-09,2026-07-10,19089,0.0,0.0,A,M,81770,False,False,True,0001070235-26-000089,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000089/0001070235-26-000089.txt
Foote Tim,Chief Financial Officer,2026-07-09,2026-07-10,8235,10.92,89926.2,D,S,73535,False,False,True,0001070235-26-000089,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000089/0001070235-26-000089.txt
Armstrong-Owen Jennifer,Sr VP & Chief People Officer,2026-07-09,2026-07-10,7636,0.0,0.0,A,M,109387,False,False,True,0001070235-26-000091,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000091/0001070235-26-000091.txt
Armstrong-Owen Jennifer,Sr VP & Chief People Officer,2026-07-09,2026-07-10,3296,10.92,35992.32,D,S,106091,False,False,True,0001070235-26-000091,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000091/0001070235-26-000091.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Secure Comm.",2026-07-08,2026-07-10,125000,11.0,1375000.0,D,S,812246,False,True,True,0001070235-26-000092,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000092/0001070235-26-000092.txt
Kurtz Philip S.,CLO & Corp. Secretary,2026-07-02,2026-07-06,7375,0.0,0.0,A,M,124859,False,False,True,0001070235-26-000081,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000081/0001070235-26-000081.txt
Kurtz Philip S.,CLO & Corp. Secretary,2026-07-02,2026-07-06,4195,11.56,48494.2,D,S,120664,False,False,True,0001070235-26-000081,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000081/0001070235-26-000081.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Secure Comm.",2026-07-02,2026-07-06,66372,0.0,0.0,A,M,965518,False,True,True,0001070235-26-000084,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000084/0001070235-26-000084.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Secure Comm.",2026-07-02,2026-07-06,28272,11.22,317211.84,D,S,937246,False,True,True,0001070235-26-000084,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000084/0001070235-26-000084.txt
Foote Tim,Chief Financial Officer,2026-07-02,2026-07-06,22812,12.55,286290.6,D,S,58372,False,False,True,0001070235-26-000082,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000082/0001070235-26-000082.txt
Foote Tim,Chief Financial Officer,2026-07-02,2026-07-06,7375,0.0,0.0,A,M,65747,False,False,True,0001070235-26-000082,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000082/0001070235-26-000082.txt
Foote Tim,Chief Financial Officer,2026-07-02,2026-07-06,3066,11.22,34400.52,D,S,62681,False,False,True,0001070235-26-000082,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000082/0001070235-26-000082.txt
Armstrong-Owen Jennifer,Sr VP & Chief People Officer,2026-07-02,2026-07-06,6146,0.0,0.0,A,M,104307,False,False,True,0001070235-26-000083,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000083/0001070235-26-000083.txt
Armstrong-Owen Jennifer,Sr VP & Chief People Officer,2026-07-02,2026-07-06,2556,11.22,28678.32,D,S,101751,False,False,True,0001070235-26-000083,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000083/0001070235-26-000083.txt
Foote Tim,Chief Financial Officer,2026-04-04,2026-04-07,20254,0.0,0.0,A,M,83039,False,False,True,0001070235-26-000024,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000024/0001070235-26-000024.txt
Foote Tim,Chief Financial Officer,2026-04-04,2026-04-07,6762,3.56,24072.72,D,S,76277,False,False,True,0001070235-26-000024,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000024/0001070235-26-000024.txt
Armstrong-Owen Jennifer,Sr VP & Chief People Officer,2026-04-04,2026-04-07,72338,0.0,0.0,A,M,124811,False,False,True,0001070235-26-000025,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000025/0001070235-26-000025.txt
Armstrong-Owen Jennifer,Sr VP & Chief People Officer,2026-04-04,2026-04-07,29908,3.56,106472.48,D,S,94903,False,False,True,0001070235-26-000025,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000025/0001070235-26-000025.txt
Kurtz Philip S.,CLO & Corp. Secretary,2026-04-02,2026-04-07,7375,0.0,0.0,A,M,121563,False,False,True,0001070235-26-000026,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000026/0001070235-26-000026.txt
Kurtz Philip S.,CLO & Corp. Secretary,2026-04-02,2026-04-07,4079,3.56,14521.24,D,S,117484,False,False,True,0001070235-26-000026,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000026/0001070235-26-000026.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Secure Comm.",2026-04-02,2026-04-07,66372,0.0,0.0,A,M,926212,False,True,True,0001070235-26-000023,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000023/0001070235-26-000023.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Secure Comm.",2026-04-02,2026-04-07,27066,3.56,96354.96,D,S,899146,False,True,True,0001070235-26-000023,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000023/0001070235-26-000023.txt
Foote Tim,Chief Financial Officer,2026-04-02,2026-04-07,7375,0.0,0.0,A,M,83652,False,False,True,0001070235-26-000024,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000024/0001070235-26-000024.txt
Foote Tim,Chief Financial Officer,2026-04-02,2026-04-07,2468,3.56,8786.08,D,S,81184,False,False,True,0001070235-26-000024,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000024/0001070235-26-000024.txt
Armstrong-Owen Jennifer,Sr VP & Chief People Officer,2026-04-02,2026-04-07,6146,0.0,0.0,A,M,101049,False,False,True,0001070235-26-000025,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000025/0001070235-26-000025.txt
Armstrong-Owen Jennifer,Sr VP & Chief People Officer,2026-04-02,2026-04-07,2888,3.56,10281.28,D,S,98161,False,False,True,0001070235-26-000025,https://www.sec.gov/Archives/edgar/data/1070235/000107023526000025/0001070235-26-000025.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Secure Comm.",2026-01-06,2026-01-08,138493,0.0,0.0,A,M,876541,False,True,True,0001234080-26-000004,https://www.sec.gov/Archives/edgar/data/1070235/000123408026000004/0001234080-26-000004.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Secure Comm.",2026-01-06,2026-01-08,57984,3.88,224977.92,D,S,818557,False,True,True,0001234080-26-000004,https://www.sec.gov/Archives/edgar/data/1070235/000123408026000004/0001234080-26-000004.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Secure Comm.",2026-01-06,2026-01-08,71022,0.0,0.0,A,M,889579,False,True,True,0001234080-26-000004,https://www.sec.gov/Archives/edgar/data/1070235/000123408026000004/0001234080-26-000004.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Secure Comm.",2026-01-06,2026-01-08,29739,3.88,115387.32,D,S,859840,False,True,True,0001234080-26-000004,https://www.sec.gov/Archives/edgar/data/1070235/000123408026000004/0001234080-26-000004.txt
Foote Tim,Chief Financial Officer,2026-01-06,2026-01-08,2367,0.0,0.0,A,M,60614,False,False,True,0002031563-26-000004,https://www.sec.gov/Archives/edgar/data/1070235/000203156326000004/0002031563-26-000004.txt
Foote Tim,Chief Financial Officer,2026-01-06,2026-01-08,811,3.88,3146.68,D,S,59803,False,False,True,0002031563-26-000004,https://www.sec.gov/Archives/edgar/data/1070235/000203156326000004/0002031563-26-000004.txt
Foote Tim,Chief Financial Officer,2026-01-06,2026-01-08,4616,0.0,0.0,A,M,64419,False,False,True,0002031563-26-000004,https://www.sec.gov/Archives/edgar/data/1070235/000203156326000004/0002031563-26-000004.txt
Foote Tim,Chief Financial Officer,2026-01-06,2026-01-08,1634,3.88,6339.92,D,S,62785,False,False,True,0002031563-26-000004,https://www.sec.gov/Archives/edgar/data/1070235/000203156326000004/0002031563-26-000004.txt
Kurtz Philip S.,CLO & Corp. Secretary,2026-01-02,2026-01-06,19436,0.0,0.0,A,M,117934,False,False,True,0001939273-26-000002,https://www.sec.gov/Archives/edgar/data/1070235/000193927326000002/0001939273-26-000002.txt
Kurtz Philip S.,CLO & Corp. Secretary,2026-01-02,2026-01-06,7838,3.89,30489.82,D,S,110096,False,False,True,0001939273-26-000002,https://www.sec.gov/Archives/edgar/data/1070235/000193927326000002/0001939273-26-000002.txt
Kurtz Philip S.,CLO & Corp. Secretary,2026-01-02,2026-01-06,7375,0.0,0.0,A,M,117471,False,False,True,0001939273-26-000002,https://www.sec.gov/Archives/edgar/data/1070235/000193927326000002/0001939273-26-000002.txt
Kurtz Philip S.,CLO & Corp. Secretary,2026-01-02,2026-01-06,3283,3.89,12770.87,D,S,114188,False,False,True,0001939273-26-000002,https://www.sec.gov/Archives/edgar/data/1070235/000193927326000002/0001939273-26-000002.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Cybersecurity",2026-01-02,2026-01-06,72886,0.0,0.0,A,M,641050,False,True,True,0001234080-26-000002,https://www.sec.gov/Archives/edgar/data/1070235/000123408026000002/0001234080-26-000002.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Cybersecurity",2026-01-02,2026-01-06,41799,3.82,159672.18,D,S,599251,False,True,True,0001234080-26-000002,https://www.sec.gov/Archives/edgar/data/1070235/000123408026000002/0001234080-26-000002.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Cybersecurity",2026-01-02,2026-01-06,262391,0.0,0.0,A,M,861642,False,True,True,0001234080-26-000002,https://www.sec.gov/Archives/edgar/data/1070235/000123408026000002/0001234080-26-000002.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Cybersecurity",2026-01-02,2026-01-06,150957,3.82,576655.74,D,S,710685,False,True,True,0001234080-26-000002,https://www.sec.gov/Archives/edgar/data/1070235/000123408026000002/0001234080-26-000002.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Cybersecurity",2026-01-02,2026-01-06,66372,0.0,0.0,A,M,777057,False,True,True,0001234080-26-000002,https://www.sec.gov/Archives/edgar/data/1070235/000123408026000002/0001234080-26-000002.txt
GIAMATTEO JOHN JOSEPH,"CEO & President, Cybersecurity",2026-01-02,2026-01-06,39009,3.82,149014.38,D,S,738048,False,True,True,0001234080-26-000002,https://www.sec.gov/Archives/edgar/data/1070235/000123408026000002/0001234080-26-000002.txt
Foote Tim,Chief Financial Officer,2026-01-02,2026-01-06,4859,0.0,0.0,A,M,44568,False,False,True,0002031563-26-000002,https://www.sec.gov/Archives/edgar/data/1070235/000203156326000002/0002031563-26-000002.txt
Foote Tim,Chief Financial Officer,2026-01-02,2026-01-06,2942,3.82,11238.44,D,S,41626,False,False,True,0002031563-26-000002,https://www.sec.gov/Archives/edgar/data/1070235/000203156326000002/0002031563-26-000002.txt
Foote Tim,Chief Financial Officer,2026-01-02,2026-01-06,34904,0.0,0.0,A,M,76530,False,False,True,0002031563-26-000002,https://www.sec.gov/Archives/edgar/data/1070235/000203156326000002/0002031563-26-000002.txt
Foote Tim,Chief Financial Officer,2026-01-02,2026-01-06,21184,3.82,80922.88,D,S,55346,False,False,True,0002031563-26-000002,https://www.sec.gov/Archives/edgar/data/1070235/000203156326000002/0002031563-26-000002.txt
Foote Tim,Chief Financial Officer,2026-01-02,2026-01-06,7375,0.0,0.0,A,M,62721,False,False,True,0002031563-26-000002,https://www.sec.gov/Archives/edgar/data/1070235/000203156326000002/0002031563-26-000002.txt
