insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
SHERWIN STEPHEN A,,2026-06-09,2026-06-11,1505,0.0,0.0,A,A,15193,False,True,False,0000875045-26-000064,https://www.sec.gov/Archives/edgar/data/875045/000087504526000064/0000875045-26-000064.txt
Rowinsky Eric K,,2026-06-09,2026-06-11,1505,0.0,0.0,A,A,25844,False,True,False,0000875045-26-000063,https://www.sec.gov/Archives/edgar/data/875045/000087504526000063/0000875045-26-000063.txt
Patolawala Monish D,,2026-06-09,2026-06-11,1505,0.0,0.0,A,A,5215,False,True,False,0000875045-26-000059,https://www.sec.gov/Archives/edgar/data/875045/000087504526000059/0000875045-26-000059.txt
Pangalos Menelas N,,2026-06-09,2026-06-11,2370,0.0,0.0,A,M,2370,False,True,False,0000875045-26-000055,https://www.sec.gov/Archives/edgar/data/875045/000087504526000055/0000875045-26-000055.txt
Pangalos Menelas N,,2026-06-09,2026-06-11,1505,0.0,0.0,A,A,3875,False,True,False,0000875045-26-000055,https://www.sec.gov/Archives/edgar/data/875045/000087504526000055/0000875045-26-000055.txt
Minor Lloyd,,2026-06-09,2026-06-11,1505,0.0,0.0,A,A,3875,False,True,False,0000875045-26-000054,https://www.sec.gov/Archives/edgar/data/875045/000087504526000054/0000875045-26-000054.txt
Mantas Jesus B,,2026-06-09,2026-06-11,1505,0.0,0.0,A,A,11263,False,True,False,0000875045-26-000062,https://www.sec.gov/Archives/edgar/data/875045/000087504526000062/0000875045-26-000062.txt
LANGER SUSAN,,2026-06-09,2026-06-11,1505,0.0,0.0,A,A,6634,False,True,False,0000875045-26-000060,https://www.sec.gov/Archives/edgar/data/875045/000087504526000060/0000875045-26-000060.txt
HAWKINS WILLIAM A,,2026-06-09,2026-06-11,1505,0.0,0.0,A,A,10365,False,True,False,0000875045-26-000065,https://www.sec.gov/Archives/edgar/data/875045/000087504526000065/0000875045-26-000065.txt
Freire Maria C,,2026-06-09,2026-06-11,2005,0.0,0.0,A,A,8820,False,True,False,0000875045-26-000052,https://www.sec.gov/Archives/edgar/data/875045/000087504526000052/0000875045-26-000052.txt
Keeney Adam,Head of Corporate Development,2026-05-01,2026-05-05,939,0.0,0.0,A,M,6820,False,False,True,0000875045-26-000046,https://www.sec.gov/Archives/edgar/data/875045/000087504526000046/0000875045-26-000046.txt
Keeney Adam,Head of Corporate Development,2026-05-01,2026-05-05,455,187.06,85112.3,D,F,6365,False,False,True,0000875045-26-000046,https://www.sec.gov/Archives/edgar/data/875045/000087504526000046/0000875045-26-000046.txt
Godbout Sean,Chief Accounting Officer,2026-04-01,2026-04-03,181,0.0,0.0,A,M,1395,False,False,True,0000875045-26-000036,https://www.sec.gov/Archives/edgar/data/875045/000087504526000036/0000875045-26-000036.txt
Godbout Sean,Chief Accounting Officer,2026-04-01,2026-04-03,54,183.78,9924.12,D,F,1341,False,False,True,0000875045-26-000036,https://www.sec.gov/Archives/edgar/data/875045/000087504526000036/0000875045-26-000036.txt
Murphy Nicole,Head of Pharm Ops and Tech,2026-02-12,2026-02-17,3,195.035,585.11,A,P,19611,False,False,True,0000875045-26-000033,https://www.sec.gov/Archives/edgar/data/875045/000087504526000033/0000875045-26-000033.txt
Singhal Priya,Head of Development,2026-02-09,2026-02-10,2660,199.83,531547.8,D,S,8043,True,False,True,0000875045-26-000023,https://www.sec.gov/Archives/edgar/data/875045/000087504526000023/0000875045-26-000023.txt
Viehbacher Christopher,President and CEO,2026-02-06,2026-02-10,9008,0.0,0.0,A,M,25451,False,True,True,0000875045-26-000024,https://www.sec.gov/Archives/edgar/data/875045/000087504526000024/0000875045-26-000024.txt
Viehbacher Christopher,President and CEO,2026-02-06,2026-02-10,4356,201.18,876340.08,D,F,21095,False,True,True,0000875045-26-000024,https://www.sec.gov/Archives/edgar/data/875045/000087504526000024/0000875045-26-000024.txt
Viehbacher Christopher,President and CEO,2026-02-06,2026-02-10,15453,0.0,0.0,A,M,36548,False,True,True,0000875045-26-000024,https://www.sec.gov/Archives/edgar/data/875045/000087504526000024/0000875045-26-000024.txt
Viehbacher Christopher,President and CEO,2026-02-06,2026-02-10,6624,201.18,1332616.32,D,F,29924,False,True,True,0000875045-26-000024,https://www.sec.gov/Archives/edgar/data/875045/000087504526000024/0000875045-26-000024.txt
Singhal Priya,Head of Development,2026-02-06,2026-02-10,2217,0.0,0.0,A,M,8488,True,False,True,0000875045-26-000023,https://www.sec.gov/Archives/edgar/data/875045/000087504526000023/0000875045-26-000023.txt
Singhal Priya,Head of Development,2026-02-06,2026-02-10,1056,201.18,212446.08,D,F,7432,True,False,True,0000875045-26-000023,https://www.sec.gov/Archives/edgar/data/875045/000087504526000023/0000875045-26-000023.txt
Singhal Priya,Head of Development,2026-02-06,2026-02-10,4683,0.0,0.0,A,M,12115,True,False,True,0000875045-26-000023,https://www.sec.gov/Archives/edgar/data/875045/000087504526000023/0000875045-26-000023.txt
Singhal Priya,Head of Development,2026-02-06,2026-02-10,1412,201.18,284066.16,D,F,10703,True,False,True,0000875045-26-000023,https://www.sec.gov/Archives/edgar/data/875045/000087504526000023/0000875045-26-000023.txt
Murphy Nicole,Head of Pharm Ops and Tech,2026-02-06,2026-02-10,2102,0.0,0.0,A,M,16324,False,False,True,0000875045-26-000022,https://www.sec.gov/Archives/edgar/data/875045/000087504526000022/0000875045-26-000022.txt
Murphy Nicole,Head of Pharm Ops and Tech,2026-02-06,2026-02-10,1017,201.18,204600.06,D,F,15307,False,False,True,0000875045-26-000022,https://www.sec.gov/Archives/edgar/data/875045/000087504526000022/0000875045-26-000022.txt
Murphy Nicole,Head of Pharm Ops and Tech,2026-02-06,2026-02-10,1940,0.0,0.0,A,M,17247,False,False,True,0000875045-26-000022,https://www.sec.gov/Archives/edgar/data/875045/000087504526000022/0000875045-26-000022.txt
Murphy Nicole,Head of Pharm Ops and Tech,2026-02-06,2026-02-10,914,201.18,183878.52,D,F,16333,False,False,True,0000875045-26-000022,https://www.sec.gov/Archives/edgar/data/875045/000087504526000022/0000875045-26-000022.txt
Murphy Nicole,Head of Pharm Ops and Tech,2026-02-06,2026-02-10,4683,0.0,0.0,A,M,21016,False,False,True,0000875045-26-000022,https://www.sec.gov/Archives/edgar/data/875045/000087504526000022/0000875045-26-000022.txt
Murphy Nicole,Head of Pharm Ops and Tech,2026-02-06,2026-02-10,1408,201.18,283261.44,D,F,19608,False,False,True,0000875045-26-000022,https://www.sec.gov/Archives/edgar/data/875045/000087504526000022/0000875045-26-000022.txt
Kramer Robin,Chief Financial Officer,2026-02-06,2026-02-10,789,0.0,0.0,A,M,8800,False,False,True,0000875045-26-000021,https://www.sec.gov/Archives/edgar/data/875045/000087504526000021/0000875045-26-000021.txt
Kramer Robin,Chief Financial Officer,2026-02-06,2026-02-10,273,201.18,54922.14,D,F,8527,False,False,True,0000875045-26-000021,https://www.sec.gov/Archives/edgar/data/875045/000087504526000021/0000875045-26-000021.txt
