insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
JOHNSON JOIA M,,2026-06-09,2026-06-10,860,58.05,49923.0,A,P,860,False,False,False,0001193125-26-266017,https://www.sec.gov/Archives/edgar/data/79282/000119312526266017/0001193125-26-266017.txt
Savio Kathleen A.,,2026-05-06,2026-05-06,2434,0.0,0.0,A,A,5109,False,False,False,0001193125-26-209303,https://www.sec.gov/Archives/edgar/data/79282/000119312526209303/0001193125-26-209303.txt
Reilly Wendell,,2026-05-06,2026-05-06,2434,0.0,0.0,A,A,42731,False,False,False,0001193125-26-209298,https://www.sec.gov/Archives/edgar/data/79282/000119312526209298/0001193125-26-209298.txt
PROCTOR H PALMER JR,,2026-05-06,2026-05-06,2434,0.0,0.0,A,A,50055,False,False,False,0001193125-26-209308,https://www.sec.gov/Archives/edgar/data/79282/000119312526209308/0001193125-26-209308.txt
PATEL JAYMIN B,,2026-05-06,2026-05-06,2434,0.0,0.0,A,A,6957,False,False,False,0001193125-26-209306,https://www.sec.gov/Archives/edgar/data/79282/000119312526209306/0001193125-26-209306.txt
Masojada Bronislaw Edmund,,2026-05-06,2026-05-06,2434,0.0,0.0,A,A,5109,False,False,False,0001193125-26-209300,https://www.sec.gov/Archives/edgar/data/79282/000119312526209300/0001193125-26-209300.txt
Main Timothy R.M.,,2026-05-06,2026-05-06,2434,0.0,0.0,A,A,36023,False,False,False,0001193125-26-209297,https://www.sec.gov/Archives/edgar/data/79282/000119312526209297/0001193125-26-209297.txt
KRUMP PAUL J,,2026-05-06,2026-05-06,2434,0.0,0.0,A,A,7787,False,False,False,0001193125-26-209309,https://www.sec.gov/Archives/edgar/data/79282/000119312526209309/0001193125-26-209309.txt
JOHNSON JOIA M,,2026-05-06,2026-05-06,2434,0.0,0.0,A,A,2434,False,False,False,0001193125-26-209301,https://www.sec.gov/Archives/edgar/data/79282/000119312526209301/0001193125-26-209301.txt
JENNINGS TONI,,2026-05-06,2026-05-06,2434,0.0,0.0,A,A,57859,False,False,False,0001193125-26-209305,https://www.sec.gov/Archives/edgar/data/79282/000119312526209305/0001193125-26-209305.txt
Hunt James S,,2026-05-06,2026-05-06,2434,0.0,0.0,A,A,27109,False,False,False,0001193125-26-209299,https://www.sec.gov/Archives/edgar/data/79282/000119312526209299/0001193125-26-209299.txt
Hoepner Theodore J,,2026-05-06,2026-05-06,2434,0.0,0.0,A,A,72185,False,False,False,0001193125-26-209304,https://www.sec.gov/Archives/edgar/data/79282/000119312526209304/0001193125-26-209304.txt
GELLERSTEDT LAWRENCE L III,,2026-05-06,2026-05-06,2434,0.0,0.0,A,A,23241,False,False,False,0001193125-26-209302,https://www.sec.gov/Archives/edgar/data/79282/000119312526209302/0001193125-26-209302.txt
PROCTOR H PALMER JR,,2026-05-05,2026-05-06,2000,57.1,114200.0,A,P,47621,False,False,False,0001193125-26-209308,https://www.sec.gov/Archives/edgar/data/79282/000119312526209308/0001193125-26-209308.txt
Watts R. Andrew,"EVP, CFO and Treasurer",2026-02-26,2026-03-02,26010,0.0,0.0,A,A,84160,False,False,False,0001193125-26-085650,https://www.sec.gov/Archives/edgar/data/79282/000119312526085650/0001193125-26-085650.txt
Watts R. Andrew,"EVP, CFO and Treasurer",2026-02-26,2026-03-02,6067,0.0,0.0,A,A,90227,False,False,False,0001193125-26-085650,https://www.sec.gov/Archives/edgar/data/79282/000119312526085650/0001193125-26-085650.txt
Walker Chris L,EVP/Chair Spec Dist Segment,2026-02-26,2026-03-02,13004,0.0,0.0,A,A,62145,False,False,False,0001193125-26-085652,https://www.sec.gov/Archives/edgar/data/79282/000119312526085652/0001193125-26-085652.txt
Walker Chris L,EVP/Chair Spec Dist Segment,2026-02-26,2026-03-02,2141,0.0,0.0,A,A,64286,False,False,False,0001193125-26-085652,https://www.sec.gov/Archives/edgar/data/79282/000119312526085652/0001193125-26-085652.txt
Turpin Julie,EVP/Chief People Officer,2026-02-26,2026-03-02,11704,0.0,0.0,A,A,38973,False,False,False,0001193125-26-085642,https://www.sec.gov/Archives/edgar/data/79282/000119312526085642/0001193125-26-085642.txt
Turpin Julie,EVP/Chief People Officer,2026-02-26,2026-03-02,2855,0.0,0.0,A,A,41828,False,False,False,0001193125-26-085642,https://www.sec.gov/Archives/edgar/data/79282/000119312526085642/0001193125-26-085642.txt
PENNY JEROME SCOTT,EVP Chief Acquisitions Officer,2026-02-26,2026-03-02,13004,0.0,0.0,A,A,59484,False,False,False,0001193125-26-085647,https://www.sec.gov/Archives/edgar/data/79282/000119312526085647/0001193125-26-085647.txt
PENNY JEROME SCOTT,EVP Chief Acquisitions Officer,2026-02-26,2026-03-02,2676,0.0,0.0,A,A,62160,False,False,False,0001193125-26-085647,https://www.sec.gov/Archives/edgar/data/79282/000119312526085647/0001193125-26-085647.txt
Hearn Stephen Patrick,"EVP, COO, Pres Retail Segment",2026-02-26,2026-03-02,7137,0.0,0.0,A,A,10385,False,False,False,0001193125-26-085643,https://www.sec.gov/Archives/edgar/data/79282/000119312526085643/0001193125-26-085643.txt
Gallagher Paul M.,"VP, Controller & CAO",2026-02-26,2026-03-02,1070,0.0,0.0,A,A,3952,False,False,False,0001193125-26-085645,https://www.sec.gov/Archives/edgar/data/79282/000119312526085645/0001193125-26-085645.txt
Brown P Barrett,Executive Vice President,2026-02-26,2026-03-02,13004,0.0,0.0,A,A,60537,False,False,False,0001193125-26-085648,https://www.sec.gov/Archives/edgar/data/79282/000119312526085648/0001193125-26-085648.txt
Boyd Stephen M,EVP/Pres Spec Dist Segment,2026-02-26,2026-03-02,10404,0.0,0.0,A,A,54858,False,False,False,0001193125-26-085649,https://www.sec.gov/Archives/edgar/data/79282/000119312526085649/0001193125-26-085649.txt
Boyd Stephen M,EVP/Pres Spec Dist Segment,2026-02-26,2026-03-02,5710,0.0,0.0,A,A,60568,False,False,False,0001193125-26-085649,https://www.sec.gov/Archives/edgar/data/79282/000119312526085649/0001193125-26-085649.txt
BROWN J POWELL,President and CEO,2026-02-26,2026-03-02,78030,0.0,0.0,A,A,186193,False,False,False,0001193125-26-085644,https://www.sec.gov/Archives/edgar/data/79282/000119312526085644/0001193125-26-085644.txt
BROWN J POWELL,President and CEO,2026-02-25,2026-03-02,17844,0.0,0.0,A,A,204037,False,False,False,0001193125-26-085644,https://www.sec.gov/Archives/edgar/data/79282/000119312526085644/0001193125-26-085644.txt
