insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Swedish Joseph,,2026-07-01,2026-07-06,208,0.0,0.0,A,A,20202,False,True,False,0001402057-26-000057,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000057/0001402057-26-000057.txt
NELMS DAVID W,,2026-07-01,2026-07-06,229,0.0,0.0,A,A,51415,False,True,False,0001402057-26-000058,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000058/0001402057-26-000058.txt
TAN HANG,See Remarks,2026-06-10,2026-06-12,164,129.3,21205.2,A,A,33966,False,False,True,0001402057-26-000055,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000055/0001402057-26-000055.txt
Swedish Joseph,,2026-06-10,2026-06-12,30,129.3,3879.0,A,A,19994,False,True,False,0001402057-26-000046,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000046/0001402057-26-000046.txt
Sanderson Katherine Elizabeth,See Remarks,2026-06-10,2026-06-12,65,129.3,8404.5,A,A,24499,False,False,True,0001402057-26-000043,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000043/0001402057-26-000043.txt
NELMS DAVID W,,2026-06-10,2026-06-12,160,129.3,20688.0,A,A,51186,False,True,False,0001402057-26-000044,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000044/0001402057-26-000044.txt
MIRALLES ALBERT JOSEPH JR,See Remarks,2026-06-10,2026-06-12,108,129.3,13964.4,A,A,47344,False,False,True,0001402057-26-000048,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000048/0001402057-26-000048.txt
LOCY PETER R,See Remarks,2026-06-10,2026-06-12,18,129.3,2327.4,A,A,5921,False,False,True,0001402057-26-000051,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000051/0001402057-26-000051.txt
LEAHY CHRISTINE A,See Remarks,2026-06-10,2026-06-12,298,129.3,38531.4,A,A,193655,False,True,True,0001402057-26-000053,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000053/0001402057-26-000053.txt
Kumar Mukesh,See Remarks,2026-06-10,2026-06-12,105,129.3,13576.5,A,A,21677,False,False,True,0001402057-26-000052,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000052/0001402057-26-000052.txt
KULEVICH FREDERICK J.,See Remarks,2026-06-10,2026-06-12,65,129.3,8404.5,A,A,44640,False,False,True,0001402057-26-000049,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000049/0001402057-26-000049.txt
