insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Rimmer Nneka Louise,,2026-04-28,2026-04-30,556,305.71,169974.76,A,A,4475,False,False,False,0000905148-26-001966,https://www.sec.gov/Archives/edgar/data/1868275/000090514826001966/0000905148-26-001966.txt
Richardson John M,,2026-04-28,2026-04-30,556,305.71,169974.76,A,A,16399,False,False,False,0000905148-26-001965,https://www.sec.gov/Archives/edgar/data/1868275/000090514826001965/0000905148-26-001965.txt
Paterson Eileen P.,,2026-04-28,2026-04-30,556,305.71,169974.76,A,A,1555,False,False,False,0000905148-26-001964,https://www.sec.gov/Archives/edgar/data/1868275/000090514826001964/0000905148-26-001964.txt
LAWLESS ROBERT J,,2026-04-28,2026-04-30,556,305.71,169974.76,A,A,51340,False,False,False,0000905148-26-001963,https://www.sec.gov/Archives/edgar/data/1868275/000090514826001963/0000905148-26-001963.txt
Jamil Dhiaa M.,,2026-04-28,2026-04-30,556,305.71,169974.76,A,A,1705,False,False,False,0000905148-26-001961,https://www.sec.gov/Archives/edgar/data/1868275/000090514826001961/0000905148-26-001961.txt
Holzrichter Julie,,2026-04-28,2026-04-30,556,305.71,169974.76,A,A,6257,False,False,False,0000905148-26-001960,https://www.sec.gov/Archives/edgar/data/1868275/000090514826001960/0000905148-26-001960.txt
Harrington Charles L.,,2026-04-28,2026-04-30,556,305.71,169974.76,A,A,1555,False,False,False,0000905148-26-001959,https://www.sec.gov/Archives/edgar/data/1868275/000090514826001959/0000905148-26-001959.txt
Halverson Bradley M,,2026-04-28,2026-04-30,556,305.71,169974.76,A,A,6257,False,False,False,0000905148-26-001958,https://www.sec.gov/Archives/edgar/data/1868275/000090514826001958/0000905148-26-001958.txt
DE BALMANN YVES C,,2026-04-28,2026-04-30,556,305.71,169974.76,A,A,51340,False,False,False,0000905148-26-001957,https://www.sec.gov/Archives/edgar/data/1868275/000090514826001957/0000905148-26-001957.txt
Ashish Khandpur K,,2026-04-28,2026-04-30,556,305.71,169974.76,A,A,6257,False,False,False,0000905148-26-001962,https://www.sec.gov/Archives/edgar/data/1868275/000090514826001962/0000905148-26-001962.txt
Koehler Michael,EVP & Chief Admin Officer,2026-03-01,2026-03-02,19405,0.0,0.0,A,M,60949,False,False,False,0000905148-26-001098,https://www.sec.gov/Archives/edgar/data/1868275/000090514826001098/0000905148-26-001098.txt
Koehler Michael,EVP & Chief Admin Officer,2026-03-01,2026-03-02,7660,329.88,2526880.8,D,F,53289,False,False,False,0000905148-26-001098,https://www.sec.gov/Archives/edgar/data/1868275/000090514826001098/0000905148-26-001098.txt
Smith Shane Patrick,EVP & Chief Financial Officer,2026-02-09,2026-02-11,5243,0.0,0.0,A,M,7110,False,False,False,0000905148-26-000641,https://www.sec.gov/Archives/edgar/data/1868275/000090514826000641/0000905148-26-000641.txt
Smith Shane Patrick,EVP & Chief Financial Officer,2026-02-09,2026-02-11,2048,272.15,557363.2,D,F,5062,False,False,False,0000905148-26-000641,https://www.sec.gov/Archives/edgar/data/1868275/000090514826000641/0000905148-26-000641.txt
Smith Shane Patrick,EVP & Chief Financial Officer,2026-02-09,2026-02-11,1377,272.15,374750.55,D,D,3685,False,False,False,0000905148-26-000641,https://www.sec.gov/Archives/edgar/data/1868275/000090514826000641/0000905148-26-000641.txt
MCHUGH JAMES,EVP & Chief Commercial Officer,2026-02-09,2026-02-11,34537,0.0,0.0,A,M,88661,False,False,False,0000905148-26-000644,https://www.sec.gov/Archives/edgar/data/1868275/000090514826000644/0000905148-26-000644.txt
MCHUGH JAMES,EVP & Chief Commercial Officer,2026-02-09,2026-02-11,14136,272.15,3847112.4,D,F,74525,False,False,False,0000905148-26-000644,https://www.sec.gov/Archives/edgar/data/1868275/000090514826000644/0000905148-26-000644.txt
MCHUGH JAMES,EVP & Chief Commercial Officer,2026-02-09,2026-02-11,16940,272.15,4610221.0,D,D,57585,False,False,False,0000905148-26-000644,https://www.sec.gov/Archives/edgar/data/1868275/000090514826000644/0000905148-26-000644.txt
Koehler Michael,EVP & Chief Admin Officer,2026-02-09,2026-03-02,24650,0.0,0.0,A,M,63667,False,False,False,0000905148-26-001098,https://www.sec.gov/Archives/edgar/data/1868275/000090514826001098/0000905148-26-001098.txt
Koehler Michael,EVP & Chief Admin Officer,2026-02-09,2026-03-02,9202,272.15,2504324.3,D,F,54465,False,False,False,0000905148-26-001098,https://www.sec.gov/Archives/edgar/data/1868275/000090514826001098/0000905148-26-001098.txt
Koehler Michael,EVP & Chief Admin Officer,2026-02-09,2026-03-02,12920,272.15,3516178.0,D,D,41544,False,False,False,0000905148-26-001098,https://www.sec.gov/Archives/edgar/data/1868275/000090514826001098/0000905148-26-001098.txt
Hanson Bryan Craig,EVP & Chief Generation Officer,2026-02-09,2026-02-11,53507,0.0,0.0,A,M,114363,False,False,False,0000905148-26-000640,https://www.sec.gov/Archives/edgar/data/1868275/000090514826000640/0000905148-26-000640.txt
Hanson Bryan Craig,EVP & Chief Generation Officer,2026-02-09,2026-02-11,22166,272.15,6032476.9,D,F,92197,False,False,False,0000905148-26-000640,https://www.sec.gov/Archives/edgar/data/1868275/000090514826000640/0000905148-26-000640.txt
Hanson Bryan Craig,EVP & Chief Generation Officer,2026-02-09,2026-02-11,26587,272.15,7235652.05,D,D,65609,False,False,False,0000905148-26-000640,https://www.sec.gov/Archives/edgar/data/1868275/000090514826000640/0000905148-26-000640.txt
