insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
SMITH GARY B,"President, CEO",2026-07-15,2026-07-17,2952,421.1036,1243097.83,D,S,251934,True,True,True,0001032553-26-000031,https://www.sec.gov/Archives/edgar/data/936395/000103255326000031/0001032553-26-000031.txt
Rothenstein David M,SVP and Chief Strategy Officer,2026-07-15,2026-07-17,2500,420.9137,1052284.25,D,S,182731,True,False,True,0001444157-26-000020,https://www.sec.gov/Archives/edgar/data/936395/000144415726000020/0001444157-26-000020.txt
Gage Brodie,SVP Global Products & Supply,2026-07-15,2026-07-17,1200,449.15,538980.0,D,S,39607,True,False,True,0001998826-26-000014,https://www.sec.gov/Archives/edgar/data/936395/000199882626000014/0001998826-26-000014.txt
DiPerna Dino,SVP Global R&D,2026-07-15,2026-07-17,391,449.15,175617.65,D,S,40015,True,False,True,0001998460-26-000009,https://www.sec.gov/Archives/edgar/data/936395/000199846026000009/0001998460-26-000009.txt
DiPerna Dino,SVP Global R&D,2026-07-15,2026-07-17,391,449.15,175617.65,D,S,39624,True,False,True,0001998460-26-000009,https://www.sec.gov/Archives/edgar/data/936395/000199846026000009/0001998460-26-000009.txt
SMITH GARY B,"President, CEO",2026-07-01,2026-07-06,2952,468.8252,1383971.99,D,S,254886,True,True,True,0001032553-26-000029,https://www.sec.gov/Archives/edgar/data/936395/000103255326000029/0001032553-26-000029.txt
Phipps Jason,SVP Global Sales and Marketing,2026-07-01,2026-07-06,2629,466.2,1225639.8,D,S,62382,True,False,True,0001699193-26-000006,https://www.sec.gov/Archives/edgar/data/936395/000169919326000006/0001699193-26-000006.txt
Kosaraju Sheela,SVP and General Counsel,2026-07-01,2026-07-06,2013,466.2,938460.6,D,S,88081,True,False,True,0001963781-26-000010,https://www.sec.gov/Archives/edgar/data/936395/000196378126000010/0001963781-26-000010.txt
Graff Marc D.,SVP & Chief Financial Officer,2026-07-01,2026-07-06,126,466.2,58741.2,D,S,126955,True,False,True,0002080157-26-000006,https://www.sec.gov/Archives/edgar/data/936395/000208015726000006/0002080157-26-000006.txt
Cumello Joseph,"SVP, General Mgr. Blue Planet",2026-06-26,2026-06-30,1586,466.33,739599.38,D,S,42872,True,False,True,0001963638-26-000009,https://www.sec.gov/Archives/edgar/data/936395/000196363826000009/0001963638-26-000009.txt
Graff Marc D.,SVP & Chief Financial Officer,2026-06-24,2026-06-26,126,449.36,56619.36,D,S,127081,True,False,True,0002080157-26-000004,https://www.sec.gov/Archives/edgar/data/936395/000208015726000004/0002080157-26-000004.txt
Hoffman Grant,SVP Chief Supply Chain Officer,2026-06-22,2026-06-23,6517,0.0,0.0,A,A,6517,False,False,True,0001123292-26-000929,https://www.sec.gov/Archives/edgar/data/936395/000112329226000929/0001123292-26-000929.txt
SMITH GARY B,"President, CEO",2026-06-20,2026-06-23,2985,428.22,1278236.7,D,F,263620,False,True,True,0001032553-26-000027,https://www.sec.gov/Archives/edgar/data/936395/000103255326000027/0001032553-26-000027.txt
SMITH GARY B,"President, CEO",2026-06-20,2026-06-23,3102,428.22,1328338.44,D,F,260518,False,True,True,0001032553-26-000027,https://www.sec.gov/Archives/edgar/data/936395/000103255326000027/0001032553-26-000027.txt
SMITH GARY B,"President, CEO",2026-06-20,2026-06-23,1743,428.22,746387.46,D,F,258775,False,True,True,0001032553-26-000027,https://www.sec.gov/Archives/edgar/data/936395/000103255326000027/0001032553-26-000027.txt
SMITH GARY B,"President, CEO",2026-06-20,2026-06-23,937,428.22,401242.14,D,F,257838,False,True,True,0001032553-26-000027,https://www.sec.gov/Archives/edgar/data/936395/000103255326000027/0001032553-26-000027.txt
Rothenstein David M,SVP and Chief Strategy Officer,2026-06-20,2026-06-23,679,428.22,290761.38,D,F,186902,False,False,True,0001444157-26-000018,https://www.sec.gov/Archives/edgar/data/936395/000144415726000018/0001444157-26-000018.txt
Rothenstein David M,SVP and Chief Strategy Officer,2026-06-20,2026-06-23,204,428.22,87356.88,D,F,186698,False,False,True,0001444157-26-000018,https://www.sec.gov/Archives/edgar/data/936395/000144415726000018/0001444157-26-000018.txt
Rothenstein David M,SVP and Chief Strategy Officer,2026-06-20,2026-06-23,811,428.22,347286.42,D,F,185887,False,False,True,0001444157-26-000018,https://www.sec.gov/Archives/edgar/data/936395/000144415726000018/0001444157-26-000018.txt
Rothenstein David M,SVP and Chief Strategy Officer,2026-06-20,2026-06-23,436,428.22,186703.92,D,F,185451,False,False,True,0001444157-26-000018,https://www.sec.gov/Archives/edgar/data/936395/000144415726000018/0001444157-26-000018.txt
Rothenstein David M,SVP and Chief Strategy Officer,2026-06-20,2026-06-23,220,428.22,94208.4,D,F,185231,False,False,True,0001444157-26-000018,https://www.sec.gov/Archives/edgar/data/936395/000144415726000018/0001444157-26-000018.txt
Phipps Jason,SVP Global Sales and Marketing,2026-06-20,2026-06-23,735,428.22,314741.7,D,F,66642,False,False,True,0001699193-26-000004,https://www.sec.gov/Archives/edgar/data/936395/000169919326000004/0001699193-26-000004.txt
Phipps Jason,SVP Global Sales and Marketing,2026-06-20,2026-06-23,859,428.22,367840.98,D,F,65783,False,False,True,0001699193-26-000004,https://www.sec.gov/Archives/edgar/data/936395/000169919326000004/0001699193-26-000004.txt
Phipps Jason,SVP Global Sales and Marketing,2026-06-20,2026-06-23,504,428.22,215822.88,D,F,65279,False,False,True,0001699193-26-000004,https://www.sec.gov/Archives/edgar/data/936395/000169919326000004/0001699193-26-000004.txt
Phipps Jason,SVP Global Sales and Marketing,2026-06-20,2026-06-23,268,428.22,114762.96,D,F,65011,False,False,True,0001699193-26-000004,https://www.sec.gov/Archives/edgar/data/936395/000169919326000004/0001699193-26-000004.txt
Kosaraju Sheela,SVP and General Counsel,2026-06-20,2026-06-23,164,428.22,70228.08,D,F,91943,False,False,True,0001963781-26-000008,https://www.sec.gov/Archives/edgar/data/936395/000196378126000008/0001963781-26-000008.txt
Kosaraju Sheela,SVP and General Counsel,2026-06-20,2026-06-23,728,428.22,311744.16,D,F,91215,False,False,True,0001963781-26-000008,https://www.sec.gov/Archives/edgar/data/936395/000196378126000008/0001963781-26-000008.txt
Kosaraju Sheela,SVP and General Counsel,2026-06-20,2026-06-23,578,428.22,247511.16,D,F,90637,False,False,True,0001963781-26-000008,https://www.sec.gov/Archives/edgar/data/936395/000196378126000008/0001963781-26-000008.txt
Kosaraju Sheela,SVP and General Counsel,2026-06-20,2026-06-23,345,428.22,147735.9,D,F,90292,False,False,True,0001963781-26-000008,https://www.sec.gov/Archives/edgar/data/936395/000196378126000008/0001963781-26-000008.txt
Kosaraju Sheela,SVP and General Counsel,2026-06-20,2026-06-23,198,428.22,84787.56,D,F,90094,False,False,True,0001963781-26-000008,https://www.sec.gov/Archives/edgar/data/936395/000196378126000008/0001963781-26-000008.txt
Graff Marc D.,SVP & Chief Financial Officer,2026-06-20,2026-06-23,199,428.22,85215.78,D,F,127207,False,False,True,0002080157-26-000002,https://www.sec.gov/Archives/edgar/data/936395/000208015726000002/0002080157-26-000002.txt
Gage Brodie,SVP Global Products & Supply,2026-06-20,2026-06-23,204,428.22,87356.88,D,F,42537,False,False,True,0001998826-26-000012,https://www.sec.gov/Archives/edgar/data/936395/000199882626000012/0001998826-26-000012.txt
Gage Brodie,SVP Global Products & Supply,2026-06-20,2026-06-23,442,428.22,189273.24,D,F,42095,False,False,True,0001998826-26-000012,https://www.sec.gov/Archives/edgar/data/936395/000199882626000012/0001998826-26-000012.txt
Gage Brodie,SVP Global Products & Supply,2026-06-20,2026-06-23,669,428.22,286479.18,D,F,41426,False,False,True,0001998826-26-000012,https://www.sec.gov/Archives/edgar/data/936395/000199882626000012/0001998826-26-000012.txt
Gage Brodie,SVP Global Products & Supply,2026-06-20,2026-06-23,388,428.22,166149.36,D,F,41038,False,False,True,0001998826-26-000012,https://www.sec.gov/Archives/edgar/data/936395/000199882626000012/0001998826-26-000012.txt
Gage Brodie,SVP Global Products & Supply,2026-06-20,2026-06-23,231,428.22,98918.82,D,F,40807,False,False,True,0001998826-26-000012,https://www.sec.gov/Archives/edgar/data/936395/000199882626000012/0001998826-26-000012.txt
DiPerna Dino,SVP Global R&D,2026-06-20,2026-06-23,204,428.22,87356.88,D,F,42256,False,False,True,0001998460-26-000007,https://www.sec.gov/Archives/edgar/data/936395/000199846026000007/0001998460-26-000007.txt
DiPerna Dino,SVP Global R&D,2026-06-20,2026-06-23,444,428.22,190129.68,D,F,41812,False,False,True,0001998460-26-000007,https://www.sec.gov/Archives/edgar/data/936395/000199846026000007/0001998460-26-000007.txt
DiPerna Dino,SVP Global R&D,2026-06-20,2026-06-23,730,428.22,312600.6,D,F,41082,False,False,True,0001998460-26-000007,https://www.sec.gov/Archives/edgar/data/936395/000199846026000007/0001998460-26-000007.txt
DiPerna Dino,SVP Global R&D,2026-06-20,2026-06-23,428,428.22,183278.16,D,F,40654,False,False,True,0001998460-26-000007,https://www.sec.gov/Archives/edgar/data/936395/000199846026000007/0001998460-26-000007.txt
DiPerna Dino,SVP Global R&D,2026-06-20,2026-06-23,248,428.22,106198.56,D,F,40406,False,False,True,0001998460-26-000007,https://www.sec.gov/Archives/edgar/data/936395/000199846026000007/0001998460-26-000007.txt
Cumello Joseph,"SVP, General Mgr. Blue Planet",2026-06-20,2026-06-23,441,428.22,188845.02,D,F,45734,False,False,True,0001963638-26-000007,https://www.sec.gov/Archives/edgar/data/936395/000196363826000007/0001963638-26-000007.txt
Cumello Joseph,"SVP, General Mgr. Blue Planet",2026-06-20,2026-06-23,182,428.22,77936.04,D,F,45552,False,False,True,0001963638-26-000007,https://www.sec.gov/Archives/edgar/data/936395/000196363826000007/0001963638-26-000007.txt
Cumello Joseph,"SVP, General Mgr. Blue Planet",2026-06-20,2026-06-23,582,428.22,249224.04,D,F,44970,False,False,True,0001963638-26-000007,https://www.sec.gov/Archives/edgar/data/936395/000196363826000007/0001963638-26-000007.txt
Cumello Joseph,"SVP, General Mgr. Blue Planet",2026-06-20,2026-06-23,332,428.22,142169.04,D,F,44638,False,False,True,0001963638-26-000007,https://www.sec.gov/Archives/edgar/data/936395/000196363826000007/0001963638-26-000007.txt
Cumello Joseph,"SVP, General Mgr. Blue Planet",2026-06-20,2026-06-23,180,428.22,77079.6,D,F,44458,False,False,True,0001963638-26-000007,https://www.sec.gov/Archives/edgar/data/936395/000196363826000007/0001963638-26-000007.txt
SMITH GARY B,"President, CEO",2026-06-15,2026-06-17,2952,457.0222,1349129.53,D,S,266605,True,True,True,0001032553-26-000025,https://www.sec.gov/Archives/edgar/data/936395/000103255326000025/0001032553-26-000025.txt
Rothenstein David M,SVP and Chief Strategy Officer,2026-06-15,2026-06-17,2500,457.069,1142672.5,D,S,187581,True,False,True,0001444157-26-000016,https://www.sec.gov/Archives/edgar/data/936395/000144415726000016/0001444157-26-000016.txt
