insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Mulligan Sharmila,,2026-06-10,2026-06-10,1974,119.0,234906.0,D,S,0,False,False,False,0001193125-26-265785,https://www.sec.gov/Archives/edgar/data/1163165/000119312526265785/0001193125-26-265785.txt
LUNDQUIST ANDREW D,Senior Vice President,2026-06-01,2026-06-03,2936,0.0,0.0,A,M,20405,False,False,False,0001193125-26-255388,https://www.sec.gov/Archives/edgar/data/1163165/000119312526255388/0001193125-26-255388.txt
LUNDQUIST ANDREW D,Senior Vice President,2026-06-01,2026-06-03,1325,116.46,154309.5,D,F,19080,False,False,False,0001193125-26-255388,https://www.sec.gov/Archives/edgar/data/1163165/000119312526255388/0001193125-26-255388.txt
McRaven William H.,,2026-04-15,2026-04-17,2230,0.0,0.0,A,M,8096,False,False,False,0001193125-26-161472,https://www.sec.gov/Archives/edgar/data/1163165/000119312526161472/0001193125-26-161472.txt
LEACH TIMOTHY A,,2026-04-15,2026-04-17,2230,0.0,0.0,A,M,413441,False,False,False,0001193125-26-161476,https://www.sec.gov/Archives/edgar/data/1163165/000119312526161476/0001193125-26-161476.txt
Olds Nicholas G,Executive Vice President,2026-03-31,2026-03-31,1903,0.0,0.0,D,G,3492,False,False,False,0001193125-26-134453,https://www.sec.gov/Archives/edgar/data/1163165/000119312526134453/0001193125-26-134453.txt
Lance Ryan Michael,Chairman and CEO,2026-03-31,2026-03-31,113221,132.7085,15025389.08,D,S,350000,False,False,False,0001193125-26-134713,https://www.sec.gov/Archives/edgar/data/1163165/000119312526134713/0001193125-26-134713.txt
Rose Kelly Brunetti,SVP & General Counsel,2026-03-24,2026-03-25,7700,130.0275,1001211.75,D,S,25284,False,False,False,0001193125-26-124053,https://www.sec.gov/Archives/edgar/data/1163165/000119312526124053/0001193125-26-124053.txt
Olds Nicholas G,Executive Vice President,2026-03-23,2026-03-23,6994,127.059,888650.65,D,S,5395,False,False,False,0001193125-26-120089,https://www.sec.gov/Archives/edgar/data/1163165/000119312526120089/0001193125-26-120089.txt
Lance Ryan Michael,Chairman and CEO,2026-03-20,2026-03-23,506800,49.755,25215834.0,A,M,513635,False,False,False,0001193125-26-119690,https://www.sec.gov/Archives/edgar/data/1163165/000119312526119690/0001193125-26-119690.txt
Lance Ryan Michael,Chairman and CEO,2026-03-20,2026-03-23,506800,127.2565,64493594.2,D,S,6835,False,False,False,0001193125-26-119690,https://www.sec.gov/Archives/edgar/data/1163165/000119312526119690/0001193125-26-119690.txt
LUNDQUIST ANDREW D,Senior Vice President,2026-03-13,2026-03-16,34500,49.755,1716547.5,A,M,51969,False,False,False,0001193125-26-108299,https://www.sec.gov/Archives/edgar/data/1163165/000119312526108299/0001193125-26-108299.txt
