insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
RAIKES JEFFREY S,,2026-07-10,2026-07-14,5249,0.0,0.0,D,G,6043,False,True,False,0000909832-26-000062,https://www.sec.gov/Archives/edgar/data/909832/000090983226000062/0000909832-26-000062.txt
DENMAN KENNETH D,,2026-06-23,2026-06-25,885,957.4525,847345.46,D,S,4778,False,True,False,0000909832-26-000053,https://www.sec.gov/Archives/edgar/data/909832/000090983226000053/0000909832-26-000053.txt
Frates Caton,Executive Vice President,2026-04-01,2026-04-01,700,993.0,695100.0,D,S,5815,False,False,True,0000909832-26-000039,https://www.sec.gov/Archives/edgar/data/909832/000090983226000039/0000909832-26-000039.txt
George Sarah Catherine,Executive Vice President,2026-03-12,2026-03-13,642,991.2129,636358.68,D,I,0,False,False,True,0000909832-26-000035,https://www.sec.gov/Archives/edgar/data/909832/000090983226000035/0000909832-26-000035.txt
MILLERCHIP GARY,Executive Vice President,2026-03-11,2026-03-13,1154,992.23,1145033.42,D,F,15465,False,False,True,0000909832-26-000033,https://www.sec.gov/Archives/edgar/data/909832/000090983226000033/0000909832-26-000033.txt
Adamo Claudine,Executive Vice President,2026-03-09,2026-03-11,730,1003.021,732205.33,D,S,6121,False,False,True,0000909832-26-000028,https://www.sec.gov/Archives/edgar/data/909832/000090983226000028/0000909832-26-000028.txt
RAIKES JEFFREY S,,2026-01-27,2026-01-28,5115,0.0,0.0,D,G,11292,False,True,False,0000909832-26-000022,https://www.sec.gov/Archives/edgar/data/909832/000090983226000022/0000909832-26-000022.txt
Jones Teresa A.,Executive Vice President,2026-01-27,2026-01-28,300,0.0,0.0,D,G,3927,False,False,True,0000909832-26-000020,https://www.sec.gov/Archives/edgar/data/909832/000090983226000020/0000909832-26-000020.txt
Jones Teresa A.,Executive Vice President,2026-01-21,2026-01-23,850,986.2567,838318.2,D,S,4227,False,False,True,0000909832-26-000018,https://www.sec.gov/Archives/edgar/data/909832/000090983226000018/0000909832-26-000018.txt
Raimondo Gina Marie,,2026-01-16,2026-01-20,215,0.0,0.0,A,A,215,False,True,False,0000909832-26-000010,https://www.sec.gov/Archives/edgar/data/909832/000090983226000010/0000909832-26-000010.txt
DECKER SUSAN L,,2026-01-16,2026-01-20,458,955.0,437390.0,D,S,8531,False,True,False,0000909832-26-000012,https://www.sec.gov/Archives/edgar/data/909832/000090983226000012/0000909832-26-000012.txt
Klauer James C,Executive Vice President,2026-01-14,2026-01-15,1500,939.0,1408500.0,D,S,44836,False,False,True,0000909832-26-000006,https://www.sec.gov/Archives/edgar/data/909832/000090983226000006/0000909832-26-000006.txt
Miller Russell D,Sr. Executive Vice President,2026-01-09,2026-01-12,1500,916.32,1374480.0,D,S,8240,False,False,True,0000909832-26-000004,https://www.sec.gov/Archives/edgar/data/909832/000090983226000004/0000909832-26-000004.txt
POLIT JAVIER,Executive Vice President,2025-12-30,2025-12-31,558,862.895,481495.41,D,S,10189,False,False,True,0000909832-25-000173,https://www.sec.gov/Archives/edgar/data/909832/000090983225000173/0000909832-25-000173.txt
POLIT JAVIER,Executive Vice President,2025-12-29,2025-12-31,2049,867.2054,1776903.86,D,S,10747,False,False,True,0000909832-25-000173,https://www.sec.gov/Archives/edgar/data/909832/000090983225000173/0000909832-25-000173.txt
DENMAN KENNETH D,,2025-12-19,2025-12-22,325,0.0,0.0,D,G,5663,False,True,False,0000909832-25-000171,https://www.sec.gov/Archives/edgar/data/909832/000090983225000171/0000909832-25-000171.txt
DECKER SUSAN L,,2025-12-15,2025-12-17,2827,0.0,0.0,D,G,8989,False,True,False,0000909832-25-000167,https://www.sec.gov/Archives/edgar/data/909832/000090983225000167/0000909832-25-000167.txt
RAIKES JEFFREY S,,2025-11-10,2025-11-12,4120,0.0,0.0,D,G,16407,False,True,False,0000909832-25-000148,https://www.sec.gov/Archives/edgar/data/909832/000090983225000148/0000909832-25-000148.txt
Wilcox William Richard,Executive Vice President,2025-11-07,2025-11-12,2400,930.13,2232312.0,D,S,2000,False,False,True,0000909832-25-000146,https://www.sec.gov/Archives/edgar/data/909832/000090983225000146/0000909832-25-000146.txt
Barbre Tiffany Marie,,2025-10-24,2025-10-24,1239,934.6204,1157994.68,D,S,5155,False,False,False,0000909832-25-000144,https://www.sec.gov/Archives/edgar/data/909832/000090983225000144/0000909832-25-000144.txt
Adamo Claudine,Executive Vice President,2025-10-24,2025-10-24,2700,935.68,2526336.0,D,S,6851,False,False,True,0000909832-25-000126,https://www.sec.gov/Archives/edgar/data/909832/000090983225000126/0000909832-25-000126.txt
Wilderotter Mary Agnes,,2025-10-22,2025-10-24,286,0.0,0.0,A,A,3204,False,True,False,0000909832-25-000122,https://www.sec.gov/Archives/edgar/data/909832/000090983225000122/0000909832-25-000122.txt
Vachris Roland Michael,President and CEO,2025-10-22,2025-10-24,13834,0.0,0.0,A,A,54910,False,True,True,0000909832-25-000142,https://www.sec.gov/Archives/edgar/data/909832/000090983225000142/0000909832-25-000142.txt
Vachris Roland Michael,President and CEO,2025-10-22,2025-10-24,1493,944.68,1410407.24,D,F,53417,False,True,True,0000909832-25-000142,https://www.sec.gov/Archives/edgar/data/909832/000090983225000142/0000909832-25-000142.txt
Vachris Roland Michael,President and CEO,2025-10-22,2025-10-24,1159,944.68,1094884.12,D,F,52258,False,True,True,0000909832-25-000142,https://www.sec.gov/Archives/edgar/data/909832/000090983225000142/0000909832-25-000142.txt
Sullivan John Christopher,Executive VP,2025-10-22,2025-10-24,4654,0.0,0.0,A,A,50184,False,False,True,0000909832-25-000140,https://www.sec.gov/Archives/edgar/data/909832/000090983225000140/0000909832-25-000140.txt
Sullivan John Christopher,Executive VP,2025-10-22,2025-10-24,421,944.68,397710.28,D,F,49763,False,False,True,0000909832-25-000140,https://www.sec.gov/Archives/edgar/data/909832/000090983225000140/0000909832-25-000140.txt
Sullivan John Christopher,Executive VP,2025-10-22,2025-10-24,572,944.68,540356.96,D,F,49190,False,False,True,0000909832-25-000140,https://www.sec.gov/Archives/edgar/data/909832/000090983225000140/0000909832-25-000140.txt
Sullivan John Christopher,Executive VP,2025-10-22,2025-10-24,568,944.68,536578.24,D,F,48621,False,False,True,0000909832-25-000140,https://www.sec.gov/Archives/edgar/data/909832/000090983225000140/0000909832-25-000140.txt
Sullivan John Christopher,Executive VP,2025-10-22,2025-10-24,584,944.68,551693.12,D,F,48037,False,False,True,0000909832-25-000140,https://www.sec.gov/Archives/edgar/data/909832/000090983225000140/0000909832-25-000140.txt
Sullivan John Christopher,Executive VP,2025-10-22,2025-10-24,365,944.68,344808.2,D,F,47671,False,False,True,0000909832-25-000140,https://www.sec.gov/Archives/edgar/data/909832/000090983225000140/0000909832-25-000140.txt
STANTON JOHN W,,2025-10-22,2025-10-24,286,0.0,0.0,A,A,24089,False,True,False,0000909832-25-000124,https://www.sec.gov/Archives/edgar/data/909832/000090983225000124/0000909832-25-000124.txt
RAIKES JEFFREY S,,2025-10-22,2025-10-24,286,0.0,0.0,A,A,20527,False,True,False,0000909832-25-000120,https://www.sec.gov/Archives/edgar/data/909832/000090983225000120/0000909832-25-000120.txt
POLIT JAVIER,Executive Vice President,2025-10-22,2025-10-24,4219,0.0,0.0,A,A,13965,False,False,True,0000909832-25-000137,https://www.sec.gov/Archives/edgar/data/909832/000090983225000137/0000909832-25-000137.txt
POLIT JAVIER,Executive Vice President,2025-10-22,2025-10-24,537,944.68,507293.16,D,F,13427,False,False,True,0000909832-25-000137,https://www.sec.gov/Archives/edgar/data/909832/000090983225000137/0000909832-25-000137.txt
POLIT JAVIER,Executive Vice President,2025-10-22,2025-10-24,293,944.68,276791.24,D,F,13133,False,False,True,0000909832-25-000137,https://www.sec.gov/Archives/edgar/data/909832/000090983225000137/0000909832-25-000137.txt
POLIT JAVIER,Executive Vice President,2025-10-22,2025-10-24,336,944.68,317412.48,D,F,12796,False,False,True,0000909832-25-000137,https://www.sec.gov/Archives/edgar/data/909832/000090983225000137/0000909832-25-000137.txt
MILLERCHIP GARY,Executive Vice President,2025-10-22,2025-10-24,6268,0.0,0.0,A,A,17432,False,False,True,0000909832-25-000134,https://www.sec.gov/Archives/edgar/data/909832/000090983225000134/0000909832-25-000134.txt
MILLERCHIP GARY,Executive Vice President,2025-10-22,2025-10-24,313,944.68,295684.84,D,F,17119,False,False,True,0000909832-25-000134,https://www.sec.gov/Archives/edgar/data/909832/000090983225000134/0000909832-25-000134.txt
MILLERCHIP GARY,Executive Vice President,2025-10-22,2025-10-24,500,944.68,472340.0,D,F,16619,False,False,True,0000909832-25-000134,https://www.sec.gov/Archives/edgar/data/909832/000090983225000134/0000909832-25-000134.txt
Klauer James C,Executive Vice President,2025-10-22,2025-10-24,239,944.68,225778.52,D,F,47014,False,False,True,0000909832-25-000132,https://www.sec.gov/Archives/edgar/data/909832/000090983225000132/0000909832-25-000132.txt
Klauer James C,Executive Vice President,2025-10-22,2025-10-24,190,944.68,179489.2,D,F,46823,False,False,True,0000909832-25-000132,https://www.sec.gov/Archives/edgar/data/909832/000090983225000132/0000909832-25-000132.txt
Klauer James C,Executive Vice President,2025-10-22,2025-10-24,198,944.68,187046.64,D,F,46625,False,False,True,0000909832-25-000132,https://www.sec.gov/Archives/edgar/data/909832/000090983225000132/0000909832-25-000132.txt
