insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
ORiordain Padraig,See Remarks,2026-05-15,2026-05-18,1492,104.445,155831.94,D,S,1205,False,False,False,0001193125-26-228890,https://www.sec.gov/Archives/edgar/data/849395/000119312526228890/0001193125-26-228890.txt
Wheatley Philip,Chief Development Officer,2026-05-13,2026-05-15,2003,0.0,0.0,A,M,53045,False,False,False,0001193125-26-226762,https://www.sec.gov/Archives/edgar/data/849395/000119312526226762/0001193125-26-226762.txt
Wheatley Philip,Chief Development Officer,2026-05-13,2026-05-15,1046,110.4137,115492.73,D,F,51999,False,False,False,0001193125-26-226762,https://www.sec.gov/Archives/edgar/data/849395/000119312526226762/0001193125-26-226762.txt
Verchere Christina Campbell,,2026-05-13,2026-05-15,2004,0.0,0.0,A,M,3004,False,False,False,0001193125-26-227160,https://www.sec.gov/Archives/edgar/data/849395/000119312526227160/0001193125-26-227160.txt
Verchere Christina Campbell,,2026-05-13,2026-05-15,962,108.75,104617.5,D,F,2042,False,False,False,0001193125-26-227160,https://www.sec.gov/Archives/edgar/data/849395/000119312526227160/0001193125-26-227160.txt
Talbot Siobhan,,2026-05-13,2026-05-15,2004,0.0,0.0,A,M,9554,False,False,False,0001193125-26-226764,https://www.sec.gov/Archives/edgar/data/849395/000119312526226764/0001193125-26-226764.txt
Talbot Siobhan,,2026-05-13,2026-05-15,1047,108.75,113861.25,D,F,8507,False,False,False,0001193125-26-226764,https://www.sec.gov/Archives/edgar/data/849395/000119312526226764/0001193125-26-226764.txt
San Agustin Juan Pablo,Chief Strategy Officer,2026-05-13,2026-05-15,2745,0.0,0.0,A,M,51844,False,False,False,0001193125-26-226777,https://www.sec.gov/Archives/edgar/data/849395/000119312526226777/0001193125-26-226777.txt
San Agustin Juan Pablo,Chief Strategy Officer,2026-05-13,2026-05-15,1247,110.4333,137710.33,D,F,50597,False,False,False,0001193125-26-226777,https://www.sec.gov/Archives/edgar/data/849395/000119312526226777/0001193125-26-226777.txt
Rhinehart Mary K,,2026-05-13,2026-05-15,2004,0.0,0.0,A,M,3300,False,False,False,0001193125-26-226772,https://www.sec.gov/Archives/edgar/data/849395/000119312526226772/0001193125-26-226772.txt
Rhinehart Mary K,,2026-05-13,2026-05-15,962,108.75,104617.5,D,F,2338,False,False,False,0001193125-26-226772,https://www.sec.gov/Archives/edgar/data/849395/000119312526226772/0001193125-26-226772.txt
Platt Gillian L.,,2026-05-13,2026-05-15,2004,0.0,0.0,A,M,3161,False,False,False,0001193125-26-226766,https://www.sec.gov/Archives/edgar/data/849395/000119312526226766/0001193125-26-226766.txt
