insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Sams Louise S,,2026-06-23,2026-06-24,8262,0.0,0.0,A,P,28671,False,True,False,0001796961-26-000004,https://www.sec.gov/Archives/edgar/data/1057352/000179696126000004/0001796961-26-000004.txt
Musslewhite Robert W,,2026-06-23,2026-06-24,8262,0.0,0.0,A,P,26539,False,True,False,0001390194-26-000002,https://www.sec.gov/Archives/edgar/data/1057352/000139019426000002/0001390194-26-000002.txt
McCarthy Christine M,,2026-06-23,2026-06-24,8262,0.0,0.0,A,P,11585,False,True,False,0001628280-26-045326,https://www.sec.gov/Archives/edgar/data/1057352/000162828026045326/0001628280-26-045326.txt
Hill John W,,2026-06-23,2026-06-24,8262,0.0,0.0,A,P,26493,False,True,False,0001351689-26-000002,https://www.sec.gov/Archives/edgar/data/1057352/000135168926000002/0001351689-26-000002.txt
Glaser Rachel C,,2026-06-23,2026-06-24,8262,0.0,0.0,A,P,12419,False,True,False,0001497570-26-000011,https://www.sec.gov/Archives/edgar/data/1057352/000149757026000011/0001497570-26-000011.txt
Brunner Angelique G.,,2026-06-23,2026-06-24,8262,0.0,0.0,A,P,18428,False,True,False,0001742356-26-000002,https://www.sec.gov/Archives/edgar/data/1057352/000174235626000002/0001742356-26-000002.txt
BERISFORD JOHN L,,2026-06-23,2026-06-24,8262,0.0,0.0,A,P,11235,False,True,False,0001449719-26-000002,https://www.sec.gov/Archives/edgar/data/1057352/000144971926000002/0001449719-26-000002.txt
Cann Cynthia Cammett,Chief Accounting Officer,2026-06-15,2026-06-16,461,32.04,14770.44,D,S,24687,False,False,True,0001472762-26-000008,https://www.sec.gov/Archives/edgar/data/1057352/000147276226000008/0001472762-26-000008.txt
FLORANCE ANDREW C,President and CEO,2026-05-01,2026-05-04,68330,35.17,2403166.1,A,P,1719765,False,True,True,0001066061-26-000012,https://www.sec.gov/Archives/edgar/data/1057352/000106606126000012/0001066061-26-000012.txt
FLORANCE ANDREW C,President and CEO,2026-05-01,2026-05-04,3100,35.82,111042.0,A,P,1722865,False,True,True,0001066061-26-000012,https://www.sec.gov/Archives/edgar/data/1057352/000106606126000012/0001066061-26-000012.txt
SIMURO FRANK,Chief Technology Officer,2026-03-15,2026-03-17,11107,43.63,484598.41,D,S,414491,False,False,True,0001925960-26-000008,https://www.sec.gov/Archives/edgar/data/1057352/000192596026000008/0001925960-26-000008.txt
Ruggles Lisa,"Senior VP, Global Operations",2026-03-15,2026-03-17,2977,43.63,129886.51,D,S,174915,False,False,True,0001717178-26-000008,https://www.sec.gov/Archives/edgar/data/1057352/000171717826000008/0001717178-26-000008.txt
DESMARAIS MICHAEL J,Chief Human Resources Officer,2026-03-15,2026-03-17,2873,43.63,125348.99,D,S,87725,False,False,True,0001925959-26-000006,https://www.sec.gov/Archives/edgar/data/1057352/000192595926000006/0001925959-26-000006.txt
Cann Cynthia Cammett,Chief Accounting Officer,2026-03-15,2026-03-17,1194,43.63,52094.22,D,S,25148,False,False,True,0001472762-26-000006,https://www.sec.gov/Archives/edgar/data/1057352/000147276226000006/0001472762-26-000006.txt
Boxer Gene,General Counsel and Secretary,2026-03-15,2026-03-17,482,43.63,21029.66,D,S,95463,False,False,True,0001758152-26-000008,https://www.sec.gov/Archives/edgar/data/1057352/000175815226000008/0001758152-26-000008.txt
Boxer Gene,General Counsel and Secretary,2026-03-15,2026-03-17,428,43.63,18673.64,D,S,95517,False,False,True,0001758152-26-000006,https://www.sec.gov/Archives/edgar/data/1057352/000175815226000006/0001758152-26-000006.txt
LOWN CHRISTIAN M.,Chief Financial Officer,2026-03-10,2026-03-11,12268,0.0,0.0,A,P,135250,False,False,True,0001701994-26-000004,https://www.sec.gov/Archives/edgar/data/1057352/000170199426000004/0001701994-26-000004.txt
FLORANCE ANDREW C,President and CEO,2026-03-10,2026-03-11,124162,0.0,0.0,A,P,1651435,False,True,True,0001066061-26-000010,https://www.sec.gov/Archives/edgar/data/1057352/000106606126000010/0001066061-26-000010.txt
DESMARAIS MICHAEL J,Chief Human Resources Officer,2026-03-10,2026-03-11,17676,0.0,0.0,A,P,90598,False,False,True,0001925959-26-000004,https://www.sec.gov/Archives/edgar/data/1057352/000192595926000004/0001925959-26-000004.txt
Cann Cynthia Cammett,Chief Accounting Officer,2026-03-10,2026-03-11,4374,0.0,0.0,A,P,26342,False,False,True,0001472762-26-000004,https://www.sec.gov/Archives/edgar/data/1057352/000147276226000004/0001472762-26-000004.txt
Boxer Gene,General Counsel and Secretary,2026-03-10,2026-03-11,21920,0.0,0.0,A,P,95945,False,False,True,0001758152-26-000004,https://www.sec.gov/Archives/edgar/data/1057352/000175815226000004/0001758152-26-000004.txt
Sams Louise S,,2026-03-06,2026-03-09,1000,48.36,48360.0,A,P,20409,False,True,False,0001057352-26-000022,https://www.sec.gov/Archives/edgar/data/1057352/000105735226000022/0001057352-26-000022.txt
SAINT FREDERICK G.,"President, Marketplaces",2026-03-02,2026-03-03,20000,45.33,906600.0,A,P,279851,False,False,True,0001500076-26-000006,https://www.sec.gov/Archives/edgar/data/1057352/000150007626000006/0001500076-26-000006.txt
Glaser Rachel C,,2026-03-02,2026-03-03,1000,44.94,44940.0,A,P,4157,False,True,False,0001497570-26-000004,https://www.sec.gov/Archives/edgar/data/1057352/000149757026000004/0001497570-26-000004.txt
