insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Agarwal Amit,,2026-07-16,2026-07-20,20000,0.0,0.0,A,C,21640,True,True,False,0001561550-26-000246,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000246/0001561550-26-000246.txt
Agarwal Amit,,2026-07-16,2026-07-20,100,254.79,25479.0,D,S,21540,True,True,False,0001561550-26-000246,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000246/0001561550-26-000246.txt
Agarwal Amit,,2026-07-16,2026-07-20,300,256.19,76857.0,D,S,21240,True,True,False,0001561550-26-000246,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000246/0001561550-26-000246.txt
Agarwal Amit,,2026-07-16,2026-07-20,460,257.9405,118652.63,D,S,20780,True,True,False,0001561550-26-000246,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000246/0001561550-26-000246.txt
Agarwal Amit,,2026-07-16,2026-07-20,1040,258.8897,269245.29,D,S,19740,True,True,False,0001561550-26-000246,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000246/0001561550-26-000246.txt
Agarwal Amit,,2026-07-16,2026-07-20,1200,259.7863,311743.56,D,S,18540,True,True,False,0001561550-26-000246,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000246/0001561550-26-000246.txt
Agarwal Amit,,2026-07-16,2026-07-20,5312,261.122,1387080.06,D,S,13228,True,True,False,0001561550-26-000246,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000246/0001561550-26-000246.txt
Agarwal Amit,,2026-07-16,2026-07-20,6869,262.0882,1800283.85,D,S,6359,True,True,False,0001561550-26-000246,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000246/0001561550-26-000246.txt
Agarwal Amit,,2026-07-16,2026-07-20,4419,262.9527,1161987.98,D,S,1940,True,True,False,0001561550-26-000246,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000246/0001561550-26-000246.txt
Agarwal Amit,,2026-07-16,2026-07-20,200,263.97,52794.0,D,S,1740,True,True,False,0001561550-26-000246,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000246/0001561550-26-000246.txt
Agarwal Amit,,2026-07-16,2026-07-20,100,265.53,26553.0,D,S,1640,True,True,False,0001561550-26-000246,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000246/0001561550-26-000246.txt
Pomel Olivier,Chief Executive Officer,2026-07-13,2026-07-15,127141,0.0,0.0,A,C,739888,True,True,True,0001561550-26-000244,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000244/0001561550-26-000244.txt
Pomel Olivier,Chief Executive Officer,2026-07-13,2026-07-15,800,251.0044,200803.52,D,S,739088,True,True,True,0001561550-26-000244,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000244/0001561550-26-000244.txt
Pomel Olivier,Chief Executive Officer,2026-07-13,2026-07-15,2780,252.7295,702588.01,D,S,736308,True,True,True,0001561550-26-000244,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000244/0001561550-26-000244.txt
Pomel Olivier,Chief Executive Officer,2026-07-13,2026-07-15,7447,253.6295,1888778.89,D,S,728861,True,True,True,0001561550-26-000244,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000244/0001561550-26-000244.txt
Pomel Olivier,Chief Executive Officer,2026-07-13,2026-07-15,7995,254.691,2036254.54,D,S,720866,True,True,True,0001561550-26-000244,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000244/0001561550-26-000244.txt
Pomel Olivier,Chief Executive Officer,2026-07-13,2026-07-15,9109,255.6064,2328318.7,D,S,711757,True,True,True,0001561550-26-000244,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000244/0001561550-26-000244.txt
Pomel Olivier,Chief Executive Officer,2026-07-13,2026-07-15,6674,256.6935,1713172.42,D,S,705083,True,True,True,0001561550-26-000244,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000244/0001561550-26-000244.txt
Pomel Olivier,Chief Executive Officer,2026-07-13,2026-07-15,4820,257.5586,1241432.45,D,S,700263,True,True,True,0001561550-26-000244,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000244/0001561550-26-000244.txt
Pomel Olivier,Chief Executive Officer,2026-07-13,2026-07-15,8984,258.8104,2325152.63,D,S,691279,True,True,True,0001561550-26-000244,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000244/0001561550-26-000244.txt
Pomel Olivier,Chief Executive Officer,2026-07-13,2026-07-15,11275,259.6722,2927804.05,D,S,680004,True,True,True,0001561550-26-000244,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000244/0001561550-26-000244.txt
Pomel Olivier,Chief Executive Officer,2026-07-13,2026-07-15,41654,260.4085,10847055.66,D,S,638350,True,True,True,0001561550-26-000244,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000244/0001561550-26-000244.txt
Pomel Olivier,Chief Executive Officer,2026-07-13,2026-07-15,11348,261.5817,2968429.13,D,S,627002,True,True,True,0001561550-26-000244,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000244/0001561550-26-000244.txt
Pomel Olivier,Chief Executive Officer,2026-07-13,2026-07-15,9400,262.7832,2470162.08,D,S,617602,True,True,True,0001561550-26-000244,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000244/0001561550-26-000244.txt
Pomel Olivier,Chief Executive Officer,2026-07-13,2026-07-15,4855,263.4747,1279169.67,D,S,612747,True,True,True,0001561550-26-000244,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000244/0001561550-26-000244.txt
Agarwal Amit,,2026-07-09,2026-07-13,20000,0.0,0.0,A,C,21640,True,True,False,0001561550-26-000242,https://www.sec.gov/Archives/edgar/data/1561550/000156155026000242/0001561550-26-000242.txt
