insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Zerhouni Elias A.,,2026-05-15,2026-05-19,680,0.0,0.0,A,P,43186,False,True,False,0000313616-26-000141,https://www.sec.gov/Archives/edgar/data/313616/000031361626000141/0000313616-26-000141.txt
Stevens Raymond C,,2026-05-15,2026-05-19,680,0.0,0.0,A,P,13728,False,True,False,0000313616-26-000145,https://www.sec.gov/Archives/edgar/data/313616/000031361626000145/0000313616-26-000145.txt
Sanders A Shane,,2026-05-15,2026-05-19,680,0.0,0.0,A,P,5914,False,True,False,0000313616-26-000143,https://www.sec.gov/Archives/edgar/data/313616/000031361626000143/0000313616-26-000143.txt
SPOON ALAN G,,2026-05-15,2026-05-19,680,0.0,0.0,A,P,124773,False,True,False,0000313616-26-000144,https://www.sec.gov/Archives/edgar/data/313616/000031361626000144/0000313616-26-000144.txt
List Teri,,2026-05-15,2026-05-19,680,0.0,0.0,A,P,21470,False,True,False,0000313616-26-000142,https://www.sec.gov/Archives/edgar/data/313616/000031361626000142/0000313616-26-000142.txt
Lamanna Charles W,,2026-05-15,2026-05-19,680,0.0,0.0,A,P,1359,False,True,False,0000313616-26-000139,https://www.sec.gov/Archives/edgar/data/313616/000031361626000139/0000313616-26-000139.txt
FILLER LINDA,,2026-05-15,2026-05-19,680,0.0,0.0,A,P,24712,False,True,False,0000313616-26-000147,https://www.sec.gov/Archives/edgar/data/313616/000031361626000147/0000313616-26-000147.txt
Dewan Feroz,,2026-05-15,2026-05-19,680,0.0,0.0,A,P,4685,False,True,False,0000313616-26-000140,https://www.sec.gov/Archives/edgar/data/313616/000031361626000140/0000313616-26-000140.txt
Couchara Georgeann,"SVP, Human Resources",2026-05-15,2026-05-19,281,161.91,45496.71,D,S,8291,False,False,True,0000313616-26-000146,https://www.sec.gov/Archives/edgar/data/313616/000031361626000146/0000313616-26-000146.txt
SPOON ALAN G,,2026-05-01,2026-05-04,3298,71.88,237060.24,A,P,125451,False,True,False,0000313616-26-000125,https://www.sec.gov/Archives/edgar/data/313616/000031361626000125/0000313616-26-000125.txt
SPOON ALAN G,,2026-05-01,2026-05-04,1358,174.6737,237206.88,D,S,124093,False,True,False,0000313616-26-000125,https://www.sec.gov/Archives/edgar/data/313616/000031361626000125/0000313616-26-000125.txt
Sawyer Montgomery Julie A,Executive Vice President,2026-03-01,2026-03-03,6172,0.0,0.0,A,P,23301,False,False,True,0000313616-26-000089,https://www.sec.gov/Archives/edgar/data/313616/000031361626000089/0000313616-26-000089.txt
Sawyer Montgomery Julie A,Executive Vice President,2026-03-01,2026-03-03,1080,210.64,227491.2,D,S,22221,False,False,True,0000313616-26-000089,https://www.sec.gov/Archives/edgar/data/313616/000031361626000089/0000313616-26-000089.txt
Riley Christopher Paul,Executive Vice President,2026-03-01,2026-03-03,6172,0.0,0.0,A,P,21515,False,False,True,0000313616-26-000093,https://www.sec.gov/Archives/edgar/data/313616/000031361626000093/0000313616-26-000093.txt
Riley Christopher Paul,Executive Vice President,2026-03-01,2026-03-03,1115,210.64,234863.6,D,S,20400,False,False,True,0000313616-26-000093,https://www.sec.gov/Archives/edgar/data/313616/000031361626000093/0000313616-26-000093.txt
Milosevich Gregory M,Executive Vice President,2026-03-01,2026-03-03,4273,0.0,0.0,A,P,9183,False,False,True,0000313616-26-000096,https://www.sec.gov/Archives/edgar/data/313616/000031361626000096/0000313616-26-000096.txt
Milosevich Gregory M,Executive Vice President,2026-03-01,2026-03-03,118,210.64,24855.52,D,S,9065,False,False,True,0000313616-26-000096,https://www.sec.gov/Archives/edgar/data/313616/000031361626000096/0000313616-26-000096.txt
McGrew Matthew,Executive Vice President,2026-03-01,2026-03-03,5935,0.0,0.0,A,P,26825,False,False,True,0000313616-26-000097,https://www.sec.gov/Archives/edgar/data/313616/000031361626000097/0000313616-26-000097.txt
Leiken Jonathan,SVP-Chief Legal Officer,2026-03-01,2026-03-03,2374,0.0,0.0,A,P,12546,False,False,True,0000313616-26-000098,https://www.sec.gov/Archives/edgar/data/313616/000031361626000098/0000313616-26-000098.txt
Gutierrez-Ramos Jose-Carlos,"SVP, Chief Science Officer",2026-03-01,2026-03-03,6647,0.0,0.0,A,P,19302,False,False,True,0000313616-26-000094,https://www.sec.gov/Archives/edgar/data/313616/000031361626000094/0000313616-26-000094.txt
Gutierrez-Ramos Jose-Carlos,"SVP, Chief Science Officer",2026-03-01,2026-03-03,284,210.64,59821.76,D,S,19018,False,False,True,0000313616-26-000094,https://www.sec.gov/Archives/edgar/data/313616/000031361626000094/0000313616-26-000094.txt
Gugino Matthew E,EVP & Chief Financial Officer,2026-03-01,2026-03-03,3988,0.0,0.0,A,P,11632,False,False,True,0000313616-26-000090,https://www.sec.gov/Archives/edgar/data/313616/000031361626000090/0000313616-26-000090.txt
Gugino Matthew E,EVP & Chief Financial Officer,2026-03-01,2026-03-03,231,210.64,48657.84,D,S,11401,False,False,True,0000313616-26-000090,https://www.sec.gov/Archives/edgar/data/313616/000031361626000090/0000313616-26-000090.txt
