insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Bruls Annette,"CVP, EMEACLA",2026-07-11,2026-07-13,109,92.21,10050.89,D,F,20628,False,False,True,0001225208-26-006591,https://www.sec.gov/Archives/edgar/data/1099800/000122520826006591/0001225208-26-006591.txt
Lippis Daniel J.,"CVP, TAVR",2026-07-10,2026-07-10,619,72.68,44988.92,A,M,40652,True,False,True,0001225208-26-006576,https://www.sec.gov/Archives/edgar/data/1099800/000122520826006576/0001225208-26-006576.txt
Lippis Daniel J.,"CVP, TAVR",2026-07-10,2026-07-10,619,91.7,56762.3,D,S,40033,True,False,True,0001225208-26-006576,https://www.sec.gov/Archives/edgar/data/1099800/000122520826006576/0001225208-26-006576.txt
Mistras Theodora,"CVP, Chief Financial Officer",2026-07-09,2026-07-10,87595,0.0,0.0,A,A,87595,False,False,True,0001225208-26-006578,https://www.sec.gov/Archives/edgar/data/1099800/000122520826006578/0001225208-26-006578.txt
Mistras Theodora,"CVP, Chief Financial Officer",2026-07-09,2026-07-10,12325,0.0,0.0,A,A,99920,False,False,True,0001225208-26-006578,https://www.sec.gov/Archives/edgar/data/1099800/000122520826006578/0001225208-26-006578.txt
Lippis Daniel J.,"CVP, TAVR",2026-07-07,2026-07-07,377,95.18,35882.86,D,F,40033,False,False,True,0001225208-26-006535,https://www.sec.gov/Archives/edgar/data/1099800/000122520826006535/0001225208-26-006535.txt
Lippis Daniel J.,"CVP, TAVR",2026-06-30,2026-06-30,619,72.68,44988.92,A,M,41029,True,False,True,0001225208-26-006263,https://www.sec.gov/Archives/edgar/data/1099800/000122520826006263/0001225208-26-006263.txt
Lippis Daniel J.,"CVP, TAVR",2026-06-30,2026-06-30,619,91.4002,56576.72,D,S,40410,True,False,True,0001225208-26-006263,https://www.sec.gov/Archives/edgar/data/1099800/000122520826006263/0001225208-26-006263.txt
Zovighian Bernard J,CEO,2026-06-17,2026-06-17,523,87.92,45982.16,D,S,11516,True,True,True,0001225208-26-006103,https://www.sec.gov/Archives/edgar/data/1099800/000122520826006103/0001225208-26-006103.txt
Dahl Andrew M.,"SVP, Corporate Controller",2026-05-29,2026-05-29,567,86.08,48807.36,D,S,15334,False,False,True,0001225208-26-005647,https://www.sec.gov/Archives/edgar/data/1099800/000122520826005647/0001225208-26-005647.txt
