insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
O'Toole Amie Thuener,"VP, Chief Accounting Officer",2027-01-25,2026-01-27,683,328.43,224317.69,D,S,9517,False,False,False,0001193125-26-025268,https://www.sec.gov/Archives/edgar/data/1652044/000119312526025268/0001193125-26-025268.txt
Washington Robin L,,2026-06-15,2026-06-17,0,0.0,0.0,A,P,81,False,False,False,0001193125-26-274729,https://www.sec.gov/Archives/edgar/data/1652044/000119312526274729/0001193125-26-274729.txt
Washington Robin L,,2026-06-15,2026-06-17,0,0.0,0.0,A,P,777,False,False,False,0001193125-26-274729,https://www.sec.gov/Archives/edgar/data/1652044/000119312526274729/0001193125-26-274729.txt
Washington Robin L,,2026-06-15,2026-06-17,1,0.0,0.0,A,P,1026,False,False,False,0001193125-26-274729,https://www.sec.gov/Archives/edgar/data/1652044/000119312526274729/0001193125-26-274729.txt
Washington Robin L,,2026-06-15,2026-06-17,1,0.0,0.0,A,P,1558,False,False,False,0001193125-26-274729,https://www.sec.gov/Archives/edgar/data/1652044/000119312526274729/0001193125-26-274729.txt
WALKER JOHN KENT,"President, Global Affairs, CLO",2026-06-15,2026-06-18,17,0.0,0.0,A,P,28595,False,False,False,0001193125-26-276126,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276126/0001193125-26-276126.txt
WALKER JOHN KENT,"President, Global Affairs, CLO",2026-06-15,2026-06-18,36,0.0,0.0,A,P,59856,False,False,False,0001193125-26-276126,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276126/0001193125-26-276126.txt
WALKER JOHN KENT,"President, Global Affairs, CLO",2026-06-15,2026-06-18,41,0.0,0.0,A,P,67627,False,False,False,0001193125-26-276126,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276126/0001193125-26-276126.txt
Shriram Kavitark Ram,,2026-06-15,2026-06-17,0,0.0,0.0,A,P,81,False,False,False,0001193125-26-274727,https://www.sec.gov/Archives/edgar/data/1652044/000119312526274727/0001193125-26-274727.txt
Shriram Kavitark Ram,,2026-06-15,2026-06-17,0,0.0,0.0,A,P,777,False,False,False,0001193125-26-274727,https://www.sec.gov/Archives/edgar/data/1652044/000119312526274727/0001193125-26-274727.txt
Shriram Kavitark Ram,,2026-06-15,2026-06-17,1,0.0,0.0,A,P,1026,False,False,False,0001193125-26-274727,https://www.sec.gov/Archives/edgar/data/1652044/000119312526274727/0001193125-26-274727.txt
Shriram Kavitark Ram,,2026-06-15,2026-06-17,1,0.0,0.0,A,P,1558,False,False,False,0001193125-26-274727,https://www.sec.gov/Archives/edgar/data/1652044/000119312526274727/0001193125-26-274727.txt
Schindler Philipp,"SVP, Chief Business Officer",2026-06-15,2026-06-18,22,0.0,0.0,A,P,36538,False,False,False,0001193125-26-274740,https://www.sec.gov/Archives/edgar/data/1652044/000119312526274740/0001193125-26-274740.txt
Schindler Philipp,"SVP, Chief Business Officer",2026-06-15,2026-06-18,45,0.0,0.0,A,P,75608,False,False,False,0001193125-26-274740,https://www.sec.gov/Archives/edgar/data/1652044/000119312526274740/0001193125-26-274740.txt
Schindler Philipp,"SVP, Chief Business Officer",2026-06-15,2026-06-18,52,0.0,0.0,A,P,86282,False,False,False,0001193125-26-274740,https://www.sec.gov/Archives/edgar/data/1652044/000119312526274740/0001193125-26-274740.txt
Saraci Marsida,"VP, Chief Accounting Officer",2026-06-15,2026-06-18,1,0.0,0.0,A,P,2189,False,False,False,0001193125-26-276114,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276114/0001193125-26-276114.txt
Saraci Marsida,"VP, Chief Accounting Officer",2026-06-15,2026-06-18,3,0.0,0.0,A,P,4253,False,False,False,0001193125-26-276114,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276114/0001193125-26-276114.txt
Saraci Marsida,"VP, Chief Accounting Officer",2026-06-15,2026-06-18,3,0.0,0.0,A,P,4561,False,False,False,0001193125-26-276114,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276114/0001193125-26-276114.txt
Saraci Marsida,"VP, Chief Accounting Officer",2026-06-15,2026-06-18,1,0.0,0.0,A,P,1905,False,False,False,0001193125-26-276114,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276114/0001193125-26-276114.txt
Saraci Marsida,"VP, Chief Accounting Officer",2026-06-15,2026-06-18,1,0.0,0.0,A,P,1774,False,False,False,0001193125-26-276114,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276114/0001193125-26-276114.txt
Saraci Marsida,"VP, Chief Accounting Officer",2026-06-15,2026-06-18,1,0.0,0.0,A,P,1120,False,False,False,0001193125-26-276114,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276114/0001193125-26-276114.txt
Porat Ruth,President and CIO,2026-06-15,2026-06-18,17,0.0,0.0,A,P,28595,False,False,False,0001193125-26-276118,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276118/0001193125-26-276118.txt
Porat Ruth,President and CIO,2026-06-15,2026-06-18,36,0.0,0.0,A,P,59856,False,False,False,0001193125-26-276118,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276118/0001193125-26-276118.txt
Porat Ruth,President and CIO,2026-06-15,2026-06-18,41,0.0,0.0,A,P,67627,False,False,False,0001193125-26-276118,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276118/0001193125-26-276118.txt
Pichai Sundar,Chief Executive Officer,2026-06-15,2026-06-17,137,0.0,0.0,A,P,228490,False,False,False,0001193125-26-274733,https://www.sec.gov/Archives/edgar/data/1652044/000119312526274733/0001193125-26-274733.txt
Hennessy John L.,,2026-06-15,2026-06-18,45,366.22,16479.9,D,S,2486,False,False,False,0001193125-26-276111,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276111/0001193125-26-276111.txt
Hennessy John L.,,2026-06-15,2026-06-18,33,367.66,12132.78,D,S,2453,False,False,False,0001193125-26-276111,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276111/0001193125-26-276111.txt
Hennessy John L.,,2026-06-15,2026-06-18,177,369.21,65350.17,D,S,2276,False,False,False,0001193125-26-276111,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276111/0001193125-26-276111.txt
Hennessy John L.,,2026-06-15,2026-06-18,45,369.89,16645.05,D,S,2231,False,False,False,0001193125-26-276111,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276111/0001193125-26-276111.txt
Hennessy John L.,,2026-06-15,2026-06-18,51,366.01,18666.51,D,S,2180,False,False,False,0001193125-26-276111,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276111/0001193125-26-276111.txt
Hennessy John L.,,2026-06-15,2026-06-18,35,367.09,12848.15,D,S,2145,False,False,False,0001193125-26-276111,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276111/0001193125-26-276111.txt
Hennessy John L.,,2026-06-15,2026-06-18,145,369.04,53510.8,D,S,2000,False,False,False,0001193125-26-276111,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276111/0001193125-26-276111.txt
Hennessy John L.,,2026-06-15,2026-06-18,119,369.69,43993.11,D,S,1881,False,False,False,0001193125-26-276111,https://www.sec.gov/Archives/edgar/data/1652044/000119312526276111/0001193125-26-276111.txt
