insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Marks Mike A,EVP and CFO,2026-05-07,2026-05-11,3336,0.0,0.0,D,G,0,False,False,False,0001193125-26-217167,https://www.sec.gov/Archives/edgar/data/860730/000119312526217167/0001193125-26-217167.txt
Marks Mike A,EVP and CFO,2026-05-07,2026-05-11,3336,0.0,0.0,A,G,46576,False,False,False,0001193125-26-217167,https://www.sec.gov/Archives/edgar/data/860730/000119312526217167/0001193125-26-217167.txt
Smith Andrea B,,2026-04-28,2026-04-30,509,0.0,0.0,A,A,4666,False,False,False,0001193125-26-197781,https://www.sec.gov/Archives/edgar/data/860730/000119312526197781/0001193125-26-197781.txt
Riley Wayne Joseph,,2026-04-28,2026-04-30,509,0.0,0.0,A,A,15029,False,False,False,0001193125-26-197773,https://www.sec.gov/Archives/edgar/data/860730/000119312526197773/0001193125-26-197773.txt
MICHELSON MICHAEL W,,2026-04-28,2026-04-30,925,0.0,0.0,A,A,12576,False,False,False,0001193125-26-197763,https://www.sec.gov/Archives/edgar/data/860730/000119312526197763/0001193125-26-197763.txt
Johnston Hugh F,,2026-04-28,2026-04-30,809,0.0,0.0,A,A,4475,False,False,False,0001193125-26-197757,https://www.sec.gov/Archives/edgar/data/860730/000119312526197757/0001193125-26-197757.txt
Frist William R,,2026-04-28,2026-04-30,809,0.0,0.0,A,A,13740,False,False,False,0001140361-26-018355,https://www.sec.gov/Archives/edgar/data/860730/000114036126018355/0001140361-26-018355.txt
FRIST THOMAS F III,,2026-04-28,2026-04-30,1041,0.0,0.0,A,A,15858,False,False,False,0001140361-26-018352,https://www.sec.gov/Archives/edgar/data/860730/000114036126018352/0001140361-26-018352.txt
DEPARLE NANCY ANN,,2026-04-28,2026-04-30,509,0.0,0.0,A,A,21910,False,False,False,0001193125-26-197746,https://www.sec.gov/Archives/edgar/data/860730/000119312526197746/0001193125-26-197746.txt
CHIDSEY JOHN,,2026-04-28,2026-04-30,809,0.0,0.0,A,A,1305,False,False,False,0001193125-26-197734,https://www.sec.gov/Archives/edgar/data/860730/000119312526197734/0001193125-26-197734.txt
McAlevey Michael R,EVP & Chief Legal & Admin Off.,2026-02-18,2026-02-18,1694,533.3747,903536.74,D,S,8853,False,False,False,0001193125-26-057701,https://www.sec.gov/Archives/edgar/data/860730/000119312526057701/0001193125-26-057701.txt
McAlevey Michael R,EVP & Chief Legal & Admin Off.,2026-02-13,2026-02-18,5000,236.61,1183050.0,A,M,13853,False,False,False,0001193125-26-057701,https://www.sec.gov/Archives/edgar/data/860730/000119312526057701/0001193125-26-057701.txt
McAlevey Michael R,EVP & Chief Legal & Admin Off.,2026-02-13,2026-02-18,3306,540.29,1786198.74,D,F,10547,False,False,False,0001193125-26-057701,https://www.sec.gov/Archives/edgar/data/860730/000119312526057701/0001193125-26-057701.txt
Wyatt Christopher F.,SVP & Controller,2026-02-11,2026-02-12,4000,505.0,2020000.0,D,S,44379,False,False,False,0001193125-26-049224,https://www.sec.gov/Archives/edgar/data/860730/000119312526049224/0001193125-26-049224.txt
Berres Jennifer,SVP & Chief Human Res. Officer,2026-02-11,2026-02-12,4010,503.0,2017030.0,D,S,16003,False,False,False,0001193125-26-049184,https://www.sec.gov/Archives/edgar/data/860730/000119312526049184/0001193125-26-049184.txt
Berres Jennifer,SVP & Chief Human Res. Officer,2026-02-11,2026-02-12,4010,526.1646,2109920.05,D,S,11993,False,False,False,0001193125-26-049184,https://www.sec.gov/Archives/edgar/data/860730/000119312526049184/0001193125-26-049184.txt
Wyatt Christopher F.,SVP & Controller,2026-02-10,2026-02-12,3350,0.0,0.0,A,A,49413,False,False,False,0001193125-26-049224,https://www.sec.gov/Archives/edgar/data/860730/000119312526049224/0001193125-26-049224.txt
Wyatt Christopher F.,SVP & Controller,2026-02-10,2026-02-12,1034,502.05,519119.7,D,F,48379,False,False,False,0001193125-26-049224,https://www.sec.gov/Archives/edgar/data/860730/000119312526049224/0001193125-26-049224.txt
Rossitto Erica,SVP & Chief Nurse Executive,2026-02-10,2026-02-12,1676,0.0,0.0,A,A,10825,False,False,False,0001193125-26-049221,https://www.sec.gov/Archives/edgar/data/860730/000119312526049221/0001193125-26-049221.txt
Rossitto Erica,SVP & Chief Nurse Executive,2026-02-10,2026-02-12,418,502.05,209856.9,D,F,10407,False,False,False,0001193125-26-049221,https://www.sec.gov/Archives/edgar/data/860730/000119312526049221/0001193125-26-049221.txt
McAlevey Michael R,EVP & Chief Legal & Admin Off.,2026-02-10,2026-02-12,8372,0.0,0.0,A,A,11859,False,False,False,0001193125-26-049217,https://www.sec.gov/Archives/edgar/data/860730/000119312526049217/0001193125-26-049217.txt
McAlevey Michael R,EVP & Chief Legal & Admin Off.,2026-02-10,2026-02-12,3006,502.05,1509162.3,D,F,8853,False,False,False,0001193125-26-049217,https://www.sec.gov/Archives/edgar/data/860730/000119312526049217/0001193125-26-049217.txt
Marks Mike A,EVP and CFO,2026-02-10,2026-02-12,5026,0.0,0.0,A,A,5026,False,False,False,0001193125-26-049208,https://www.sec.gov/Archives/edgar/data/860730/000119312526049208/0001193125-26-049208.txt
Marks Mike A,EVP and CFO,2026-02-10,2026-02-12,1690,502.05,848464.5,D,F,3336,False,False,False,0001193125-26-049208,https://www.sec.gov/Archives/edgar/data/860730/000119312526049208/0001193125-26-049208.txt
HAZEN SAMUEL N,CEO,2026-02-10,2026-02-12,54934,0.0,0.0,A,A,86165,False,False,False,0001193125-26-049200,https://www.sec.gov/Archives/edgar/data/860730/000119312526049200/0001193125-26-049200.txt
HAZEN SAMUEL N,CEO,2026-02-10,2026-02-12,21323,502.05,10705212.15,D,F,64842,False,False,False,0001193125-26-049200,https://www.sec.gov/Archives/edgar/data/860730/000119312526049200/0001193125-26-049200.txt
Foster Jon M,EVP and COO,2026-02-10,2026-02-12,15696,0.0,0.0,A,A,28950,False,False,False,0001193125-26-049197,https://www.sec.gov/Archives/edgar/data/860730/000119312526049197/0001193125-26-049197.txt
Foster Jon M,EVP and COO,2026-02-10,2026-02-12,5888,502.05,2956070.4,D,F,23062,False,False,False,0001193125-26-049197,https://www.sec.gov/Archives/edgar/data/860730/000119312526049197/0001193125-26-049197.txt
Cuffe Michael S.,EVP and Chief Clinical Officer,2026-02-10,2026-02-12,9628,0.0,0.0,A,A,35580,False,False,False,0001193125-26-049186,https://www.sec.gov/Archives/edgar/data/860730/000119312526049186/0001193125-26-049186.txt
Cuffe Michael S.,EVP and Chief Clinical Officer,2026-02-10,2026-02-12,3501,502.05,1757677.05,D,F,32079,False,False,False,0001193125-26-049186,https://www.sec.gov/Archives/edgar/data/860730/000119312526049186/0001193125-26-049186.txt
Berres Jennifer,SVP & Chief Human Res. Officer,2026-02-10,2026-02-12,7116,0.0,0.0,A,A,22528,False,False,False,0001193125-26-049184,https://www.sec.gov/Archives/edgar/data/860730/000119312526049184/0001193125-26-049184.txt
Berres Jennifer,SVP & Chief Human Res. Officer,2026-02-10,2026-02-12,2515,502.05,1262655.75,D,F,20013,False,False,False,0001193125-26-049184,https://www.sec.gov/Archives/edgar/data/860730/000119312526049184/0001193125-26-049184.txt
HERCULES HOLDING II,,2026-02-06,2026-02-10,36629188,0.0,0.0,D,J,32282889,False,False,False,0001140361-26-004682,https://www.sec.gov/Archives/edgar/data/860730/000114036126004682/0001140361-26-004682.txt
Frist William R,,2026-02-06,2026-02-10,36629188,0.0,0.0,D,J,0,False,False,False,0001140361-26-004685,https://www.sec.gov/Archives/edgar/data/860730/000114036126004685/0001140361-26-004685.txt
Frist William R,,2026-02-06,2026-02-10,36557141,0.0,0.0,A,J,36557141,False,False,False,0001140361-26-004685,https://www.sec.gov/Archives/edgar/data/860730/000114036126004685/0001140361-26-004685.txt
Frisco Holding II,,2026-02-06,2026-02-10,36629188,0.0,0.0,D,J,0,False,False,False,0001140361-26-004681,https://www.sec.gov/Archives/edgar/data/860730/000114036126004681/0001140361-26-004681.txt
Frisco Holding II,,2026-02-06,2026-02-10,36557141,0.0,0.0,A,J,36557141,False,False,False,0001140361-26-004681,https://www.sec.gov/Archives/edgar/data/860730/000114036126004681/0001140361-26-004681.txt
FRIST THOMAS F JR,,2026-02-06,2026-02-10,36629188,0.0,0.0,D,J,0,False,False,False,0001140361-26-004686,https://www.sec.gov/Archives/edgar/data/860730/000114036126004686/0001140361-26-004686.txt
FRIST THOMAS F JR,,2026-02-06,2026-02-10,36557141,0.0,0.0,A,J,36557141,False,False,False,0001140361-26-004686,https://www.sec.gov/Archives/edgar/data/860730/000114036126004686/0001140361-26-004686.txt
FRIST THOMAS F III,,2026-02-06,2026-02-10,36629188,0.0,0.0,D,J,0,False,False,False,0001140361-26-004684,https://www.sec.gov/Archives/edgar/data/860730/000114036126004684/0001140361-26-004684.txt
FRIST THOMAS F III,,2026-02-06,2026-02-10,36557141,0.0,0.0,A,J,36557141,False,False,False,0001140361-26-004684,https://www.sec.gov/Archives/edgar/data/860730/000114036126004684/0001140361-26-004684.txt
Elcan Patricia F,,2026-02-06,2026-02-10,36629188,0.0,0.0,D,J,0,False,False,False,0001140361-26-004683,https://www.sec.gov/Archives/edgar/data/860730/000114036126004683/0001140361-26-004683.txt
Elcan Patricia F,,2026-02-06,2026-02-10,36557141,0.0,0.0,A,J,36557141,False,False,False,0001140361-26-004683,https://www.sec.gov/Archives/edgar/data/860730/000114036126004683/0001140361-26-004683.txt
Wyatt Christopher F.,SVP & Controller,2026-02-05,2026-02-09,10670,139.06,1483770.2,A,M,51737,False,False,False,0001193125-26-043147,https://www.sec.gov/Archives/edgar/data/860730/000119312526043147/0001193125-26-043147.txt
Wyatt Christopher F.,SVP & Controller,2026-02-05,2026-02-09,5674,513.76,2915074.24,D,F,46063,False,False,False,0001193125-26-043147,https://www.sec.gov/Archives/edgar/data/860730/000119312526043147/0001193125-26-043147.txt
Foster Jon M,EVP and COO,2026-02-05,2026-02-09,29330,139.06,4078629.8,A,M,29330,False,False,False,0001193125-26-043139,https://www.sec.gov/Archives/edgar/data/860730/000119312526043139/0001193125-26-043139.txt
Foster Jon M,EVP and COO,2026-02-05,2026-02-09,16076,513.76,8259205.76,D,F,13254,False,False,False,0001193125-26-043139,https://www.sec.gov/Archives/edgar/data/860730/000119312526043139/0001193125-26-043139.txt
