insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
NORRIS JOHN W III,,2026-05-28,2026-05-29,990,0.0,0.0,D,G,177930,False,True,False,0001069202-26-000080,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000080/0001069202-26-000080.txt
Somasundaram Sivasankaran,,2026-05-26,2026-05-28,343,0.0,0.0,D,D,767,False,True,False,0001069202-26-000078,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000078/0001069202-26-000078.txt
Wall Shane D,,2026-05-21,2026-05-26,343,0.0,0.0,A,A,2548,False,True,False,0001069202-26-000064,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000064/0001069202-26-000064.txt
Vander Ark Jon,,2026-05-21,2026-05-26,343,0.0,0.0,A,A,617,False,True,False,0001069202-26-000066,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000066/0001069202-26-000066.txt
TESKE TODD J,,2026-05-21,2026-05-26,343,0.0,0.0,A,A,7224,False,True,False,0001069202-26-000068,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000068/0001069202-26-000068.txt
Somasundaram Sivasankaran,,2026-05-21,2026-05-26,343,0.0,0.0,A,A,1110,False,True,False,0001069202-26-000058,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000058/0001069202-26-000058.txt
Quintos Karen H,,2026-05-21,2026-05-26,343,0.0,0.0,A,A,7253,False,True,False,0001069202-26-000070,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000070/0001069202-26-000070.txt
NORRIS JOHN W III,,2026-05-21,2026-05-26,343,0.0,0.0,A,A,178920,False,True,False,0001069202-26-000060,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000060/0001069202-26-000060.txt
Embree Tracy A,,2026-05-21,2026-05-26,343,0.0,0.0,A,A,343,False,True,False,0001069202-26-000062,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000062/0001069202-26-000062.txt
Buck Sherry,,2026-05-21,2026-05-26,343,0.0,0.0,A,A,2306,False,True,False,0001069202-26-000072,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000072/0001069202-26-000072.txt
Kosel Chris,VP-Corp Controller and CAO,2026-05-06,2026-05-07,971,544.8,529000.8,D,S,1090,False,False,True,0001069202-26-000056,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000056/0001069202-26-000056.txt
Somasundaram Sivasankaran,,2026-04-10,2026-04-13,51,505.31,25770.81,A,A,767,False,True,False,0001424543-26-000004,https://www.sec.gov/Archives/edgar/data/1069202/000142454326000004/0001424543-26-000004.txt
Sessa Daniel M,"EVP, Chief HR Officer",2026-03-13,2026-03-16,4413,0.0,0.0,A,A,36194,False,False,True,0001069202-26-000034,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000034/0001069202-26-000034.txt
Sessa Daniel M,"EVP, Chief HR Officer",2026-03-13,2026-03-16,1554,480.4775,746662.04,D,F,34640,False,False,True,0001069202-26-000034,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000034/0001069202-26-000034.txt
Quenzer Michael,"EVP, Chief Financial Officer",2026-03-13,2026-03-16,805,0.0,0.0,A,A,5092,False,False,True,0001069202-26-000036,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000036/0001069202-26-000036.txt
Quenzer Michael,"EVP, Chief Financial Officer",2026-03-13,2026-03-16,197,480.4775,94654.07,D,F,4895,False,False,True,0001069202-26-000036,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000036/0001069202-26-000036.txt
Nassab Joseph,"EVP & Pres., Bldg Climate Sol.",2026-03-13,2026-03-16,3645,0.0,0.0,A,A,12309,False,False,True,0001069202-26-000032,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000032/0001069202-26-000032.txt
Nassab Joseph,"EVP & Pres., Bldg Climate Sol.",2026-03-13,2026-03-16,1246,480.4775,598674.96,D,F,11063,False,False,True,0001069202-26-000032,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000032/0001069202-26-000032.txt
Maskara Alok,Chief Executive Officer,2026-03-13,2026-03-16,19184,0.0,0.0,A,A,48028,False,True,True,0001069202-26-000038,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000038/0001069202-26-000038.txt
Maskara Alok,Chief Executive Officer,2026-03-13,2026-03-16,7549,480.4775,3627124.65,D,F,40479,False,True,True,0001069202-26-000038,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000038/0001069202-26-000038.txt
Kosel Chris,VP-Corp Controller and CAO,2026-03-13,2026-03-16,1284,0.0,0.0,A,A,2374,False,False,True,0001069202-26-000042,https://www.sec.gov/Archives/edgar/data/1069202/000106920226000042/0001069202-26-000042.txt
