insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Vagell Margrethe R,"EVP, Supply Chain",2026-06-18,2026-06-22,2500,223.83,559575.0,D,S,20220,False,False,True,0000060667-26-000098,https://www.sec.gov/Archives/edgar/data/60667/000006066726000098/0000060667-26-000098.txt
PRYOR JULIETTE WILLIAMS,"EVP, CLO & Corp. Sec.",2026-06-17,2026-06-18,9330,224.805,2097430.65,D,S,16142,False,False,True,0001125881-26-000008,https://www.sec.gov/Archives/edgar/data/60667/000112588126000008/0001125881-26-000008.txt
PRYOR JULIETTE WILLIAMS,"EVP, CLO & Corp. Sec.",2026-06-17,2026-06-18,670,0.0,0.0,D,G,15472,False,False,True,0001125881-26-000008,https://www.sec.gov/Archives/edgar/data/60667/000112588126000008/0001125881-26-000008.txt
Dupre Janice,"EVP, Human Resources",2026-06-16,2026-06-17,2450,84.59,207245.5,A,M,42235,False,False,True,0000060667-26-000095,https://www.sec.gov/Archives/edgar/data/60667/000006066726000095/0000060667-26-000095.txt
Dupre Janice,"EVP, Human Resources",2026-06-16,2026-06-17,2200,108.93,239646.0,A,M,44435,False,False,True,0000060667-26-000095,https://www.sec.gov/Archives/edgar/data/60667/000006066726000095/0000060667-26-000095.txt
Dupre Janice,"EVP, Human Resources",2026-06-16,2026-06-17,4000,80.42,321680.0,A,M,48435,False,False,True,0000060667-26-000095,https://www.sec.gov/Archives/edgar/data/60667/000006066726000095/0000060667-26-000095.txt
Dupre Janice,"EVP, Human Resources",2026-06-16,2026-06-17,5500,135.63,745965.0,A,M,53935,False,False,True,0000060667-26-000095,https://www.sec.gov/Archives/edgar/data/60667/000006066726000095/0000060667-26-000095.txt
Dupre Janice,"EVP, Human Resources",2026-06-16,2026-06-17,14150,221.9,3139885.0,D,S,39785,False,False,True,0000060667-26-000095,https://www.sec.gov/Archives/edgar/data/60667/000006066726000095/0000060667-26-000095.txt
Dupre Janice,"EVP, Human Resources",2026-06-16,2026-06-17,476,0.0,0.0,D,G,39309,False,False,True,0000060667-26-000095,https://www.sec.gov/Archives/edgar/data/60667/000006066726000095/0000060667-26-000095.txt
PRYOR JULIETTE WILLIAMS,"EVP, CLO & Corp. Sec.",2026-06-15,2026-06-16,9768,220.19,2150815.92,D,F,25472,False,False,True,0000060667-26-000094,https://www.sec.gov/Archives/edgar/data/60667/000006066726000094/0000060667-26-000094.txt
Vagell Margrethe R,"EVP, Supply Chain",2026-06-10,2026-06-11,455,0.0,0.0,D,G,22720,False,False,True,0000060667-26-000092,https://www.sec.gov/Archives/edgar/data/60667/000006066726000092/0000060667-26-000092.txt
Vance Quonta D,"EVP, Pro & Home Services",2026-04-01,2026-04-02,327,235.98,77165.46,D,F,21323,False,False,True,0000060667-26-000049,https://www.sec.gov/Archives/edgar/data/60667/000006066726000049/0000060667-26-000049.txt
Vance Quonta D,"EVP, Pro & Home Services",2026-04-01,2026-04-02,4793,0.0,0.0,A,A,26116,False,False,True,0000060667-26-000049,https://www.sec.gov/Archives/edgar/data/60667/000006066726000049/0000060667-26-000049.txt
Vagell Margrethe R,"EVP, Supply Chain",2026-04-01,2026-04-02,214,235.98,50499.72,D,F,18464,False,False,True,0000060667-26-000048,https://www.sec.gov/Archives/edgar/data/60667/000006066726000048/0000060667-26-000048.txt
Vagell Margrethe R,"EVP, Supply Chain",2026-04-01,2026-04-02,4653,0.0,0.0,A,A,23117,False,False,True,0000060667-26-000048,https://www.sec.gov/Archives/edgar/data/60667/000006066726000048/0000060667-26-000048.txt
