insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Vermaas Cees,CEO of TISEG,2026-06-16,2026-06-18,4660,0.0,0.0,A,P,4660,False,False,True,0002080668-26-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208066826000002/0002080668-26-000002.txt
Teekell Judson Gray,,2026-06-16,2026-06-17,4970,0.0,0.0,A,P,78251,False,True,False,0001959770-26-000008,https://www.sec.gov/Archives/edgar/data/1438472/000195977026000008/0001959770-26-000008.txt
Stahlin Paul,,2026-06-16,2026-06-17,4970,0.0,0.0,A,P,42143,False,True,False,0001628280-26-043931,https://www.sec.gov/Archives/edgar/data/1438472/000162828026043931/0001628280-26-043931.txt
Sommers Jill E.,,2026-06-16,2026-06-17,4970,0.0,0.0,A,P,6083,False,True,False,0001737622-26-000004,https://www.sec.gov/Archives/edgar/data/1438472/000173762226000004/0001737622-26-000004.txt
Smollen John,"EVP, New Product Development",2026-06-16,2026-06-18,7455,0.0,0.0,A,P,178212,False,False,True,0002080703-26-000004,https://www.sec.gov/Archives/edgar/data/1438472/000208070326000004/0002080703-26-000004.txt
Sites Eric,,2026-06-16,2026-06-17,4970,0.0,0.0,A,P,5684,False,True,False,0001437749-26-020945,https://www.sec.gov/Archives/edgar/data/1438472/000143774926020945/0001437749-26-020945.txt
Schwarzkopf Cynthia,,2026-06-16,2026-06-17,4970,0.0,0.0,A,P,88545,False,True,False,0002080596-26-000004,https://www.sec.gov/Archives/edgar/data/1438472/000208059626000004/0002080596-26-000004.txt
Schafer Douglas M. JR,EVP and CIO,2026-06-16,2026-06-18,23298,0.0,0.0,A,P,387414,False,False,True,0002079445-26-000013,https://www.sec.gov/Archives/edgar/data/1438472/000207944526000013/0002079445-26-000013.txt
Raymond Mark F.,,2026-06-16,2026-06-17,16000,12.0,192000.0,A,P,62094,False,True,False,0002080469-26-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208046926000002/0002080469-26-000002.txt
Raymond Mark F.,,2026-06-16,2026-06-17,4970,0.0,0.0,A,P,67064,False,True,False,0002080469-26-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208046926000002/0002080469-26-000002.txt
Moore Lisa,,2026-06-16,2026-06-17,4970,0.0,0.0,A,P,12737,False,True,False,0002081042-26-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208104226000002/0002081042-26-000002.txt
Massad Mark I.,,2026-06-16,2026-06-17,4970,0.0,0.0,A,P,10737,False,True,False,0002080776-26-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208077626000002/0002080776-26-000002.txt
Lozier Kenneth W.,,2026-06-16,2026-06-17,4970,0.0,0.0,A,P,8237,False,True,False,0002080877-26-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208087726000002/0002080877-26-000002.txt
Jayabalan Harish,"EVP, CISO and CRO",2026-06-16,2026-06-18,4660,0.0,0.0,A,P,78065,False,False,True,0002080538-26-000004,https://www.sec.gov/Archives/edgar/data/1438472/000208053826000004/0002080538-26-000004.txt
Gallagher Thomas P.,Chairman & CEO,2026-06-16,2026-06-18,232977,0.0,0.0,A,P,743939,False,True,True,0002080477-26-000012,https://www.sec.gov/Archives/edgar/data/1438472/000208047726000012/0002080477-26-000012.txt
Emmons Lance,EVP and CFO,2026-06-16,2026-06-18,37276,0.0,0.0,A,P,121538,False,False,True,0002080679-26-000006,https://www.sec.gov/Archives/edgar/data/1438472/000208067926000006/0002080679-26-000006.txt
Eckert Kurt M.,,2026-06-16,2026-06-17,4970,0.0,0.0,A,P,149612,False,True,False,0002080678-26-000006,https://www.sec.gov/Archives/edgar/data/1438472/000208067826000006/0002080678-26-000006.txt
Deitzel Edward,"EVP, CRO, CCO MIAX Exchanges",2026-06-16,2026-06-18,9319,0.0,0.0,A,P,119601,False,False,True,0002080671-26-000012,https://www.sec.gov/Archives/edgar/data/1438472/000208067126000012/0002080671-26-000012.txt
Comly Barbara J.,"EVP, GC & Corporate Secretary",2026-06-16,2026-06-18,39140,0.0,0.0,A,P,882984,False,False,True,0002080878-26-000010,https://www.sec.gov/Archives/edgar/data/1438472/000208087826000010/0002080878-26-000010.txt
Brown Shelly,"EVP, Chief Strategy Officer",2026-06-16,2026-06-18,37276,0.0,0.0,A,P,353990,False,False,True,0002080506-26-000023,https://www.sec.gov/Archives/edgar/data/1438472/000208050626000023/0002080506-26-000023.txt
Beckelman John,,2026-06-16,2026-06-17,4970,0.0,0.0,A,P,15904,False,True,False,0002080508-26-000004,https://www.sec.gov/Archives/edgar/data/1438472/000208050826000004/0002080508-26-000004.txt
BROWN DAVID A,,2026-06-16,2026-06-17,4970,0.0,0.0,A,P,7237,False,True,False,0001628280-26-043985,https://www.sec.gov/Archives/edgar/data/1438472/000162828026043985/0001628280-26-043985.txt
Al-Bahar Talal Jassim,,2026-06-16,2026-06-17,4970,0.0,0.0,A,P,40891,False,True,False,0002080762-26-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208076226000002/0002080762-26-000002.txt
Teekell Judson Gray,,2026-06-15,2026-06-17,2267,0.0,0.0,A,P,73281,False,True,False,0001959770-26-000008,https://www.sec.gov/Archives/edgar/data/1438472/000195977026000008/0001959770-26-000008.txt
Stahlin Paul,,2026-06-15,2026-06-17,2267,0.0,0.0,A,P,37173,False,True,False,0001628280-26-043931,https://www.sec.gov/Archives/edgar/data/1438472/000162828026043931/0001628280-26-043931.txt
Sommers Jill E.,,2026-06-15,2026-06-17,1113,0.0,0.0,A,P,1113,False,True,False,0001737622-26-000004,https://www.sec.gov/Archives/edgar/data/1438472/000173762226000004/0001737622-26-000004.txt
Sites Eric,,2026-06-15,2026-06-17,714,0.0,0.0,A,P,714,False,True,False,0001437749-26-020945,https://www.sec.gov/Archives/edgar/data/1438472/000143774926020945/0001437749-26-020945.txt
Schwarzkopf Cynthia,,2026-06-15,2026-06-17,2267,0.0,0.0,A,P,83575,False,True,False,0002080596-26-000004,https://www.sec.gov/Archives/edgar/data/1438472/000208059626000004/0002080596-26-000004.txt
Raymond Mark F.,,2026-06-15,2026-06-17,2267,0.0,0.0,A,P,46094,False,True,False,0002080469-26-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208046926000002/0002080469-26-000002.txt
