insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Boynton John Wilson IV,,2026-06-15,2026-06-15,100,246.17,24617.0,D,S,433810,True,True,False,0001513845-26-000074,https://www.sec.gov/Archives/edgar/data/1513845/000151384526000074/0001513845-26-000074.txt
Boynton John Wilson IV,,2026-06-15,2026-06-15,200,248.73,49746.0,D,S,384077,True,True,False,0001513845-26-000074,https://www.sec.gov/Archives/edgar/data/1513845/000151384526000074/0001513845-26-000074.txt
Boynton John Wilson IV,,2026-06-15,2026-06-15,3206,250.08,801756.48,D,S,380871,True,True,False,0001513845-26-000074,https://www.sec.gov/Archives/edgar/data/1513845/000151384526000074/0001513845-26-000074.txt
Boynton John Wilson IV,,2026-06-15,2026-06-15,200,251.89,50378.0,D,S,430204,True,True,False,0001513845-26-000074,https://www.sec.gov/Archives/edgar/data/1513845/000151384526000074/0001513845-26-000074.txt
Boynton John Wilson IV,,2026-06-15,2026-06-15,200,253.58,50716.0,D,S,380471,True,True,False,0001513845-26-000074,https://www.sec.gov/Archives/edgar/data/1513845/000151384526000074/0001513845-26-000074.txt
Boynton John Wilson IV,,2026-06-15,2026-06-15,200,255.03,51006.0,D,S,429804,True,True,False,0001513845-26-000074,https://www.sec.gov/Archives/edgar/data/1513845/000151384526000074/0001513845-26-000074.txt
Boynton John Wilson IV,,2026-06-15,2026-06-15,100,257.54,25754.0,D,S,429704,True,True,False,0001513845-26-000074,https://www.sec.gov/Archives/edgar/data/1513845/000151384526000074/0001513845-26-000074.txt
Boynton John Wilson IV,,2026-06-15,2026-06-15,606,259.45,157226.7,D,S,378665,True,True,False,0001513845-26-000074,https://www.sec.gov/Archives/edgar/data/1513845/000151384526000074/0001513845-26-000074.txt
Boynton John Wilson IV,,2026-06-15,2026-06-15,900,260.76,234684.0,D,S,379271,True,True,False,0001513845-26-000074,https://www.sec.gov/Archives/edgar/data/1513845/000151384526000074/0001513845-26-000074.txt
Boynton John Wilson IV,,2026-06-15,2026-06-15,100,262.09,26209.0,D,S,428098,True,True,False,0001513845-26-000074,https://www.sec.gov/Archives/edgar/data/1513845/000151384526000074/0001513845-26-000074.txt
Shtan Danila,Chief Technology Officer,2026-06-04,2026-06-05,15678,238.9621,3746447.8,D,S,291700,True,False,True,0001513845-26-000072,https://www.sec.gov/Archives/edgar/data/1513845/000151384526000072/0001513845-26-000072.txt
