insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Wigzell Hans Lennart Rudolf,,2026-06-04,2026-06-05,16875,0.0,0.0,A,A,42098,False,False,False,0001193125-26-260259,https://www.sec.gov/Archives/edgar/data/873303/000119312526260259/0001193125-26-260259.txt
Nicaise Claude,,2026-06-04,2026-06-05,16875,0.0,0.0,A,A,48407,False,False,False,0001193125-26-260250,https://www.sec.gov/Archives/edgar/data/873303/000119312526260250/0001193125-26-260250.txt
Mayo Stephen,,2026-06-04,2026-06-05,16875,0.0,0.0,A,A,18640,False,False,False,0001193125-26-260261,https://www.sec.gov/Archives/edgar/data/873303/000119312526260261/0001193125-26-260261.txt
Connelly Deirdre P,,2026-06-04,2026-06-05,16875,0.0,0.0,A,A,22100,False,False,False,0001193125-26-260255,https://www.sec.gov/Archives/edgar/data/873303/000119312526260255/0001193125-26-260255.txt
Chambers Michael Andrew,,2026-06-04,2026-06-05,16875,0.0,0.0,A,A,27535,False,False,False,0001193125-26-260246,https://www.sec.gov/Archives/edgar/data/873303/000119312526260246/0001193125-26-260246.txt
Boor Kathryn Jean,,2026-06-04,2026-06-05,16875,0.0,0.0,A,A,25138,False,False,False,0001193125-26-260263,https://www.sec.gov/Archives/edgar/data/873303/000119312526260263/0001193125-26-260263.txt
Barry Richard,,2026-06-04,2026-06-05,16875,0.0,0.0,A,A,2983542,False,False,False,0001193125-26-260245,https://www.sec.gov/Archives/edgar/data/873303/000119312526260245/0001193125-26-260245.txt
BEHRENS M KATHLEEN,,2026-06-04,2026-06-05,16875,0.0,0.0,A,A,214357,False,False,False,0001193125-26-260257,https://www.sec.gov/Archives/edgar/data/873303/000119312526260257/0001193125-26-260257.txt
Mayo Stephen,,2026-03-12,2026-03-13,7239,17.02,123207.78,D,S,1765,False,False,False,0001193125-26-106701,https://www.sec.gov/Archives/edgar/data/873303/000119312526106701/0001193125-26-106701.txt
Wong Ryan Ho-Yan,Chief Financial Officer,2026-03-11,2026-03-13,256,17.03,4359.68,D,F,135064,False,False,False,0001193125-26-106706,https://www.sec.gov/Archives/edgar/data/873303/000119312526106706/0001193125-26-106706.txt
Rothfuss Cristin,"EVP, General Counsel",2026-03-11,2026-03-13,974,17.03,16587.22,D,F,137544,False,False,False,0001193125-26-106697,https://www.sec.gov/Archives/edgar/data/873303/000119312526106697/0001193125-26-106697.txt
Rodino-Klapac Louise,"President, R&D and Tech Ops",2026-03-11,2026-03-13,948,17.03,16144.44,D,F,225323,False,False,False,0001193125-26-106703,https://www.sec.gov/Archives/edgar/data/873303/000119312526106703/0001193125-26-106703.txt
Estepan Ian Michael,Chief Operating Officer,2026-03-11,2026-03-13,1097,17.03,18681.91,D,F,201983,False,False,False,0001193125-26-106710,https://www.sec.gov/Archives/edgar/data/873303/000119312526106710/0001193125-26-106710.txt
Wong Ryan Ho-Yan,Chief Financial Officer,2026-03-09,2026-03-11,162,16.95,2745.9,D,F,135433,False,False,False,0001193125-26-102710,https://www.sec.gov/Archives/edgar/data/873303/000119312526102710/0001193125-26-102710.txt
Wong Ryan Ho-Yan,Chief Financial Officer,2026-03-09,2026-03-11,113,16.95,1915.35,D,F,135320,False,False,False,0001193125-26-102710,https://www.sec.gov/Archives/edgar/data/873303/000119312526102710/0001193125-26-102710.txt
Rothfuss Cristin,"EVP, General Counsel",2026-03-09,2026-03-11,484,16.95,8203.8,D,F,138864,False,False,False,0001193125-26-102708,https://www.sec.gov/Archives/edgar/data/873303/000119312526102708/0001193125-26-102708.txt
Rothfuss Cristin,"EVP, General Counsel",2026-03-09,2026-03-11,346,16.95,5864.7,D,F,138518,False,False,False,0001193125-26-102708,https://www.sec.gov/Archives/edgar/data/873303/000119312526102708/0001193125-26-102708.txt
Rodino-Klapac Louise,"President, R&D and Tech Ops",2026-03-09,2026-03-11,504,16.95,8542.8,D,F,227166,False,False,False,0001193125-26-102703,https://www.sec.gov/Archives/edgar/data/873303/000119312526102703/0001193125-26-102703.txt
Rodino-Klapac Louise,"President, R&D and Tech Ops",2026-03-09,2026-03-11,895,16.95,15170.25,D,F,226271,False,False,False,0001193125-26-102703,https://www.sec.gov/Archives/edgar/data/873303/000119312526102703/0001193125-26-102703.txt
Estepan Ian Michael,Chief Operating Officer,2026-03-09,2026-03-11,1036,16.95,17560.2,D,F,203663,False,False,False,0001193125-26-102701,https://www.sec.gov/Archives/edgar/data/873303/000119312526102701/0001193125-26-102701.txt
Estepan Ian Michael,Chief Operating Officer,2026-03-09,2026-03-11,583,16.95,9881.85,D,F,203080,False,False,False,0001193125-26-102701,https://www.sec.gov/Archives/edgar/data/873303/000119312526102701/0001193125-26-102701.txt
Wong Ryan Ho-Yan,Chief Financial Officer,2026-03-02,2026-03-03,450,16.2,7290.0,D,F,135595,False,False,False,0001193125-26-089433,https://www.sec.gov/Archives/edgar/data/873303/000119312526089433/0001193125-26-089433.txt
Rothfuss Cristin,"EVP, General Counsel",2026-03-02,2026-03-03,408,16.2,6609.6,D,F,139348,False,False,False,0001193125-26-089439,https://www.sec.gov/Archives/edgar/data/873303/000119312526089439/0001193125-26-089439.txt
Rodino-Klapac Louise,"President, R&D and Tech Ops",2026-03-02,2026-03-03,3718,16.2,60231.6,D,F,228437,False,False,False,0001193125-26-089425,https://www.sec.gov/Archives/edgar/data/873303/000119312526089425/0001193125-26-089425.txt
Rodino-Klapac Louise,"President, R&D and Tech Ops",2026-03-02,2026-03-03,767,16.2,12425.4,D,F,227670,False,False,False,0001193125-26-089425,https://www.sec.gov/Archives/edgar/data/873303/000119312526089425/0001193125-26-089425.txt
Estepan Ian Michael,Chief Operating Officer,2026-03-02,2026-03-03,3301,16.2,53476.2,D,F,205574,False,False,False,0001193125-26-089432,https://www.sec.gov/Archives/edgar/data/873303/000119312526089432/0001193125-26-089432.txt
Estepan Ian Michael,Chief Operating Officer,2026-03-02,2026-03-03,875,16.2,14175.0,D,F,204699,False,False,False,0001193125-26-089432,https://www.sec.gov/Archives/edgar/data/873303/000119312526089432/0001193125-26-089432.txt
Rodino-Klapac Louise,"President, R&D and Tech Ops",2026-03-01,2026-03-03,8125,0.0,0.0,A,M,232155,False,False,False,0001193125-26-089425,https://www.sec.gov/Archives/edgar/data/873303/000119312526089425/0001193125-26-089425.txt
Estepan Ian Michael,Chief Operating Officer,2026-03-01,2026-03-03,8125,0.0,0.0,A,M,208875,False,False,False,0001193125-26-089432,https://www.sec.gov/Archives/edgar/data/873303/000119312526089432/0001193125-26-089432.txt
Estepan Ian Michael,Chief Operating Officer,2026-02-26,2026-03-02,2069,13.71,28365.99,A,M,195369,False,False,False,0001193125-26-084265,https://www.sec.gov/Archives/edgar/data/873303/000119312526084265/0001193125-26-084265.txt
Estepan Ian Michael,Chief Operating Officer,2026-02-26,2026-03-02,5381,13.71,73773.51,A,M,200750,False,False,False,0001193125-26-084265,https://www.sec.gov/Archives/edgar/data/873303/000119312526084265/0001193125-26-084265.txt
Nicaise Claude,,2026-01-29,2026-01-29,10500,13.71,143955.0,A,M,38312,False,False,False,0001193125-26-029895,https://www.sec.gov/Archives/edgar/data/873303/000119312526029895/0001193125-26-029895.txt
Nicaise Claude,,2026-01-29,2026-01-29,6780,21.23,143939.4,D,F,31532,False,False,False,0001193125-26-029895,https://www.sec.gov/Archives/edgar/data/873303/000119312526029895/0001193125-26-029895.txt
BEHRENS M KATHLEEN,,2026-01-27,2026-01-29,10500,13.71,143955.0,A,M,203976,False,False,False,0001193125-26-029893,https://www.sec.gov/Archives/edgar/data/873303/000119312526029893/0001193125-26-029893.txt
BEHRENS M KATHLEEN,,2026-01-27,2026-01-29,6494,22.17,143971.98,D,F,197482,False,False,False,0001193125-26-029893,https://www.sec.gov/Archives/edgar/data/873303/000119312526029893/0001193125-26-029893.txt
Estepan Ian Michael,Chief Operating Officer,2025-12-16,2025-12-18,13187,22.31,294201.97,D,S,193300,False,False,False,0001193125-25-325383,https://www.sec.gov/Archives/edgar/data/873303/000119312525325383/0001193125-25-325383.txt
INGRAM DOUGLAS S,Chief Executive Officer,2025-12-07,2025-12-09,50000,0.0,0.0,A,A,440307,False,False,False,0001193125-25-313184,https://www.sec.gov/Archives/edgar/data/873303/000119312525313184/0001193125-25-313184.txt
INGRAM DOUGLAS S,Chief Executive Officer,2025-12-07,2025-12-09,50000,0.0,0.0,A,A,490307,False,False,False,0001193125-25-313184,https://www.sec.gov/Archives/edgar/data/873303/000119312525313184/0001193125-25-313184.txt
INGRAM DOUGLAS S,Chief Executive Officer,2025-12-07,2025-12-09,73001,0.0,0.0,A,A,563308,False,False,False,0001193125-25-313184,https://www.sec.gov/Archives/edgar/data/873303/000119312525313184/0001193125-25-313184.txt
INGRAM DOUGLAS S,Chief Executive Officer,2025-12-07,2025-12-09,96541,0.0,0.0,A,A,659849,False,False,False,0001193125-25-313184,https://www.sec.gov/Archives/edgar/data/873303/000119312525313184/0001193125-25-313184.txt
INGRAM DOUGLAS S,Chief Executive Officer,2025-12-07,2025-12-09,269542,0.0,0.0,A,A,929391,False,False,False,0001193125-25-313184,https://www.sec.gov/Archives/edgar/data/873303/000119312525313184/0001193125-25-313184.txt
Wong Ryan Ho-Yan,Chief Financial Officer,2025-12-01,2025-12-10,80,20.96,1676.8,D,F,136123,False,False,False,0001193125-25-314652,https://www.sec.gov/Archives/edgar/data/873303/000119312525314652/0001193125-25-314652.txt
Wong Ryan Ho-Yan,Chief Financial Officer,2025-12-01,2025-12-10,78,20.96,1634.88,D,F,136045,False,False,False,0001193125-25-314652,https://www.sec.gov/Archives/edgar/data/873303/000119312525314652/0001193125-25-314652.txt
Rothfuss Cristin,"EVP, General Counsel",2025-11-28,2025-12-02,229,21.12,4836.48,D,F,139756,False,False,False,0001193125-25-305662,https://www.sec.gov/Archives/edgar/data/873303/000119312525305662/0001193125-25-305662.txt
Rodino-Klapac Louise,"President, R&D and Tech Ops",2025-11-17,2025-11-19,4582,18.42,84400.44,D,F,224030,False,False,False,0001193125-25-288556,https://www.sec.gov/Archives/edgar/data/873303/000119312525288556/0001193125-25-288556.txt
Wong Ryan Ho-Yan,Chief Financial Officer,2025-09-03,2025-09-05,93875,0.0,0.0,A,A,111203,False,False,False,0001193125-25-197424,https://www.sec.gov/Archives/edgar/data/873303/000119312525197424/0001193125-25-197424.txt
Wong Ryan Ho-Yan,Chief Financial Officer,2025-09-03,2025-09-05,25000,0.0,0.0,A,A,136203,False,False,False,0001193125-25-197424,https://www.sec.gov/Archives/edgar/data/873303/000119312525197424/0001193125-25-197424.txt
