insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Wilson Terrance Lane,SVP & General Counsel,2026-07-01,2026-07-02,2000,74.16,148320.0,D,S,283159,False,False,True,0001703388-26-000019,https://www.sec.gov/Archives/edgar/data/107263/000170338826000019/0001703388-26-000019.txt
Porter John Dean,EVP & CFO,2026-06-25,2026-06-26,1899,24.98,47437.02,A,M,198466,False,False,True,0001799286-26-000008,https://www.sec.gov/Archives/edgar/data/107263/000179928626000008/0001799286-26-000008.txt
Porter John Dean,EVP & CFO,2026-06-25,2026-06-26,1176,77.62,91281.12,D,F,197290,False,False,True,0001799286-26-000008,https://www.sec.gov/Archives/edgar/data/107263/000179928626000008/0001799286-26-000008.txt
Wilson Terrance Lane,SVP & General Counsel,2026-06-01,2026-06-02,2000,71.3,142600.0,D,S,285159,True,False,True,0001703388-26-000017,https://www.sec.gov/Archives/edgar/data/107263/000170338826000017/0001703388-26-000017.txt
BERGSTROM STEPHEN W,,2026-05-19,2026-05-20,16400,0.0,0.0,D,G,198605,False,True,False,0001013283-26-000003,https://www.sec.gov/Archives/edgar/data/107263/000101328326000003/0001013283-26-000003.txt
Jasek Glen G.,Senior Vice President,2026-05-15,2026-05-18,836,28.15,23533.4,A,M,54937,False,False,True,0002112713-26-000007,https://www.sec.gov/Archives/edgar/data/107263/000211271326000007/0002112713-26-000007.txt
Jasek Glen G.,Senior Vice President,2026-05-15,2026-05-18,836,78.13,65316.68,D,S,54101,False,False,True,0002112713-26-000007,https://www.sec.gov/Archives/edgar/data/107263/000211271326000007/0002112713-26-000007.txt
Jasek Glen G.,Senior Vice President,2026-05-15,2026-05-18,1664,29.09,48405.76,A,M,55765,False,False,True,0002112713-26-000007,https://www.sec.gov/Archives/edgar/data/107263/000211271326000007/0002112713-26-000007.txt
Jasek Glen G.,Senior Vice President,2026-05-15,2026-05-18,1664,78.165,130066.56,D,S,54101,False,False,True,0002112713-26-000007,https://www.sec.gov/Archives/edgar/data/107263/000211271326000007/0002112713-26-000007.txt
Larsen Larry C,Executive Vice President & COO,2026-05-14,2026-05-15,12000,76.485,917820.0,D,S,98219,False,False,True,0001917558-26-000007,https://www.sec.gov/Archives/edgar/data/107263/000191755826000007/0001917558-26-000007.txt
Porter John Dean,EVP & CFO,2026-05-06,2026-05-07,50000,75.3656,3768280.0,D,S,196567,False,False,True,0001799286-26-000006,https://www.sec.gov/Archives/edgar/data/107263/000179928626000006/0001799286-26-000006.txt
Wilson Terrance Lane,SVP & General Counsel,2026-05-01,2026-05-04,2000,76.35,152700.0,D,S,287159,False,False,True,0001703388-26-000016,https://www.sec.gov/Archives/edgar/data/107263/000170338826000016/0001703388-26-000016.txt
Tyson Jesse J,,2026-04-28,2026-04-30,3415,73.04,249431.6,A,A,25342,False,True,False,0001914341-26-000001,https://www.sec.gov/Archives/edgar/data/107263/000191434126000001/0001914341-26-000001.txt
SPENCE WILLIAM H,,2026-04-28,2026-04-30,5086,73.04,371481.44,A,A,79051,False,True,False,0001181274-26-000002,https://www.sec.gov/Archives/edgar/data/107263/000118127426000002/0001181274-26-000002.txt
SHEFFIELD SCOTT D,,2026-04-28,2026-04-30,4873,73.04,355923.92,A,A,76302,False,True,False,0001034316-26-000001,https://www.sec.gov/Archives/edgar/data/107263/000103431626000001/0001034316-26-000001.txt
Ragauss Peter A,,2026-04-28,2026-04-30,4873,73.04,355923.92,A,A,75586,False,True,False,0001360666-26-000006,https://www.sec.gov/Archives/edgar/data/107263/000136066626000006/0001360666-26-000006.txt
ROBESON ROSE M,,2026-04-28,2026-04-30,3818,73.04,278866.72,A,A,37852,False,True,False,0001251678-26-000001,https://www.sec.gov/Archives/edgar/data/107263/000125167826000001/0001251678-26-000001.txt
Muncrief Richard E,,2026-04-28,2026-04-30,3415,73.04,249431.6,A,A,24783,False,True,False,0001413122-26-000001,https://www.sec.gov/Archives/edgar/data/107263/000141312226000001/0001413122-26-000001.txt
Lockhart Carri A.,,2026-04-28,2026-04-30,3250,73.04,237380.0,A,A,19388,False,True,False,0001918229-26-000001,https://www.sec.gov/Archives/edgar/data/107263/000191822926000001/0001918229-26-000001.txt
CREEL MICHAEL A,,2026-04-28,2026-04-30,4873,73.04,355923.92,A,A,84658,False,True,False,0001183239-26-000001,https://www.sec.gov/Archives/edgar/data/107263/000118323926000001/0001183239-26-000001.txt
BERGSTROM STEPHEN W,,2026-04-28,2026-04-30,10355,73.04,756329.2,A,A,215005,False,True,False,0001013283-26-000001,https://www.sec.gov/Archives/edgar/data/107263/000101328326000001/0001013283-26-000001.txt
Wilson Terrance Lane,SVP & General Counsel,2026-04-01,2026-04-02,2000,71.75,143500.0,D,S,289159,True,False,True,0001703388-26-000014,https://www.sec.gov/Archives/edgar/data/107263/000170338826000014/0001703388-26-000014.txt
Fazel Payvand,Senior Vice President,2026-03-13,2026-03-17,2898,73.15,211988.7,D,S,31766,False,False,True,0002112700-26-000005,https://www.sec.gov/Archives/edgar/data/107263/000211270026000005/0002112700-26-000005.txt
Rinke Todd J.,Senior Vice President,2026-03-11,2026-03-12,7364,74.39,547807.96,D,S,26055,False,False,True,0002076289-26-000006,https://www.sec.gov/Archives/edgar/data/107263/000207628926000006/0002076289-26-000006.txt
Jasek Glen G.,Senior Vice President,2026-03-09,2026-03-11,5637,73.18,412515.66,A,A,54101,False,False,True,0002112713-26-000005,https://www.sec.gov/Archives/edgar/data/107263/000211271326000005/0002112713-26-000005.txt
Fazel Payvand,Senior Vice President,2026-03-09,2026-03-11,1464,73.18,107135.52,D,F,29027,False,False,True,0002112700-26-000004,https://www.sec.gov/Archives/edgar/data/107263/000211270026000004/0002112700-26-000004.txt
Fazel Payvand,Senior Vice President,2026-03-09,2026-03-11,5637,73.18,412515.66,A,A,34664,False,False,True,0002112700-26-000004,https://www.sec.gov/Archives/edgar/data/107263/000211270026000004/0002112700-26-000004.txt
ARMSTRONG ALAN S,,2026-03-05,2026-03-09,241248,72.98,17606279.04,D,J,192200,False,True,False,0001208475-26-000003,https://www.sec.gov/Archives/edgar/data/107263/000120847526000003/0001208475-26-000003.txt
ARMSTRONG ALAN S,,2026-03-05,2026-03-09,241248,72.98,17606279.04,A,J,2503509,False,True,False,0001208475-26-000003,https://www.sec.gov/Archives/edgar/data/107263/000120847526000003/0001208475-26-000003.txt
Wilson Terrance Lane,SVP & General Counsel,2026-03-02,2026-03-03,2000,75.24,150480.0,D,S,291159,False,False,True,0001703388-26-000012,https://www.sec.gov/Archives/edgar/data/107263/000170338826000012/0001703388-26-000012.txt
Hausman Mary A.,VP Chief Accounting Officer,2026-02-26,2026-02-27,10107,74.91,757115.37,D,S,17230,False,False,True,0001900484-26-000006,https://www.sec.gov/Archives/edgar/data/107263/000190048426000006/0001900484-26-000006.txt
Wilson Terrance Lane,SVP & General Counsel,2026-02-24,2026-03-03,3000,0.0,0.0,D,G,100,False,False,True,0001703388-26-000012,https://www.sec.gov/Archives/edgar/data/107263/000170338826000012/0001703388-26-000012.txt
Wilson Terrance Lane,SVP & General Counsel,2026-02-24,2026-02-25,27000,72.92,1968840.0,D,S,293159,False,False,True,0001703388-26-000010,https://www.sec.gov/Archives/edgar/data/107263/000170338826000010/0001703388-26-000010.txt
Zamarin Chad J.,President and CEO,2026-02-23,2026-02-25,73880,72.98,5391762.4,A,M,784439,False,True,True,0001710235-26-000006,https://www.sec.gov/Archives/edgar/data/107263/000171023526000006/0001710235-26-000006.txt
