date,monthly_return,source
2021-01-01,0.250886,yahoo
2021-02-01,0.123727,yahoo
2021-03-01,-0.089217,yahoo
2021-04-01,-0.081036,yahoo
2021-05-01,-0.187077,yahoo
2021-06-01,0.090741,yahoo
2021-07-01,-0.059619,yahoo
2021-08-01,0.076245,yahoo
2021-09-01,0.082328,yahoo
2021-10-01,0.017347,yahoo
2021-11-01,0.011016,yahoo
2021-12-01,-0.035064,yahoo
2022-01-01,-0.0752,yahoo
2022-02-01,-0.016107,yahoo
2022-03-01,0.133804,yahoo
2022-04-01,-0.107999,yahoo
2022-05-01,-0.211083,yahoo
2022-06-01,-0.26301,yahoo
2022-07-01,0.245846,yahoo
2022-08-01,0.019283,yahoo
2022-09-01,-0.071429,yahoo
2022-10-01,0.017803,yahoo
2022-11-01,-0.044617,yahoo
2022-12-01,-0.162914,yahoo
2023-01-01,0.299532,yahoo
2023-02-01,0.109531,yahoo
2023-03-01,0.009085,yahoo
2023-04-01,-0.038023,yahoo
2023-05-01,-0.082728,yahoo
2023-06-01,0.167532,yahoo
2023-07-01,0.1875,yahoo
2023-08-01,-0.13562,yahoo
2023-09-01,0.043025,yahoo
2023-10-01,-0.137891,yahoo
2023-11-01,0.068053,yahoo
2023-12-01,0.077568,yahoo
2024-01-01,0.058763,yahoo
2024-02-01,0.09248,yahoo
2024-03-01,0.047565,yahoo
2024-04-01,-0.038737,yahoo
2024-05-01,-0.086019,yahoo
2024-06-01,0.046229,yahoo
2024-07-01,-0.079602,yahoo
2024-08-01,-0.15943,yahoo
2024-09-01,0.080982,yahoo
2024-10-01,0.062929,yahoo
2024-11-01,0.009793,yahoo
2024-12-01,-0.034531,yahoo
2025-01-01,-0.001826,yahoo
2025-02-01,0.058702,yahoo
2025-03-01,-0.139771,yahoo
2025-04-01,0.020593,yahoo
2025-05-01,0.058071,yahoo
2025-06-01,0.025891,yahoo
2025-07-01,0.000529,yahoo
2025-08-01,-0.014198,yahoo
2025-09-01,-0.069792,yahoo
2025-10-01,0.042168,yahoo
2025-11-01,-0.07547,yahoo
2025-12-01,0.160099,yahoo
2026-01-01,-0.046788,yahoo
2026-02-01,0.044369,yahoo
2026-03-01,-0.065354,yahoo
2026-04-01,0.111498,yahoo
2026-05-01,-0.050228,yahoo
2026-06-01,0.073438,yahoo
2026-07-01,0.016841,yahoo
