date,monthly_return,source
2021-01-01,0.027833,yahoo
2021-02-01,0.15087,yahoo
2021-03-01,-0.155462,yahoo
2021-04-01,-0.010945,yahoo
2021-05-01,-0.001006,yahoo
2021-06-01,0.003021,yahoo
2021-07-01,-0.003012,yahoo
2021-08-01,0.007049,yahoo
2021-09-01,-0.112,yahoo
2021-10-01,-0.358108,yahoo
2021-11-01,0.080702,yahoo
2021-12-01,-0.019481,yahoo
2022-01-01,-0.478477,yahoo
2022-02-01,0.0,yahoo
2022-03-01,0.526984,yahoo
2022-04-01,-0.04158,yahoo
2022-05-01,-0.093276,yahoo
2022-06-01,-0.263158,yahoo
2022-07-01,0.311688,yahoo
2022-08-01,-0.123762,yahoo
2022-09-01,-0.262712,yahoo
2022-10-01,0.091954,yahoo
2022-11-01,-0.119298,yahoo
2022-12-01,-0.25498,yahoo
2023-01-01,0.550802,yahoo
2023-02-01,0.017241,yahoo
2023-03-01,-0.030509,yahoo
2023-04-01,-0.307692,yahoo
2023-05-01,0.505051,yahoo
2023-06-01,0.38255,yahoo
2023-07-01,0.633495,yahoo
2023-08-01,0.035661,yahoo
2023-09-01,-0.274032,yahoo
2023-10-01,-0.061265,yahoo
2023-11-01,0.258947,yahoo
2023-12-01,0.026756,yahoo
2024-01-01,-0.213355,yahoo
2024-02-01,0.0,yahoo
2024-03-01,-0.043478,yahoo
2024-04-01,-0.160173,yahoo
2024-05-01,-0.157217,yahoo
2024-06-01,0.076453,yahoo
2024-07-01,0.184659,yahoo
2024-08-01,-0.184652,yahoo
2024-09-01,-0.108824,yahoo
2024-10-01,0.039604,yahoo
2024-11-01,2.038095,yahoo
2024-12-01,0.018809,yahoo
2025-01-01,-0.030769,yahoo
2025-02-01,-0.060317,yahoo
2025-03-01,-0.199324,yahoo
2025-04-01,0.171589,yahoo
2025-05-01,0.211285,yahoo
2025-06-01,0.075322,yahoo
2025-07-01,-0.075576,yahoo
2025-08-01,-0.107677,yahoo
2025-09-01,0.070391,yahoo
2025-10-01,0.17119,yahoo
2025-11-01,-0.305704,yahoo
2025-12-01,-0.03466,yahoo
2026-01-01,-0.043883,yahoo
2026-02-01,-0.009736,yahoo
2026-03-01,-0.273876,yahoo
2026-04-01,0.110251,yahoo
2026-05-01,0.186411,yahoo
2026-06-01,-0.305433,yahoo
2026-07-01,0.116279,yahoo
