date,monthly_return,source
2016-07-01,0.051061,yahoo
2016-08-01,-0.029281,yahoo
2016-09-01,-0.036335,yahoo
2016-10-01,0.033199,yahoo
2016-11-01,-0.007804,yahoo
2016-12-01,0.05598,yahoo
2017-01-01,-0.030449,yahoo
2017-02-01,0.061229,yahoo
2017-03-01,-0.0198,yahoo
2017-04-01,-0.006299,yahoo
2017-05-01,-0.091148,yahoo
2017-06-01,-0.00481,yahoo
2017-07-01,0.019333,yahoo
2017-08-01,-0.020389,yahoo
2017-09-01,0.0288,yahoo
2017-10-01,-0.038579,yahoo
2017-11-01,-0.024223,yahoo
2017-12-01,0.005015,yahoo
2018-01-01,0.071607,yahoo
2018-02-01,-0.033295,yahoo
2018-03-01,0.044557,yahoo
2018-04-01,0.046345,yahoo
2018-05-01,-0.03658,yahoo
2018-06-01,0.048262,yahoo
2018-07-01,0.053022,yahoo
2018-08-01,0.044343,yahoo
2018-09-01,-0.002579,yahoo
2018-10-01,-0.060076,yahoo
2018-11-01,-0.026032,yahoo
2018-12-01,-0.109735,yahoo
2019-01-01,0.095924,yahoo
2019-02-01,-0.053452,yahoo
2019-03-01,0.014824,yahoo
2019-04-01,0.034083,yahoo
2019-05-01,-0.140807,yahoo
2019-06-01,0.064718,yahoo
2019-07-01,0.006863,yahoo
2019-08-01,-0.073759,yahoo
2019-09-01,0.079369,yahoo
2019-10-01,0.023618,yahoo
2019-11-01,0.02117,yahoo
2019-12-01,0.079665,yahoo
2020-01-01,-0.034304,yahoo
2020-02-01,-0.158847,yahoo
2020-03-01,-0.065604,yahoo
2020-04-01,0.055713,yahoo
2020-05-01,0.058428,yahoo
2020-06-01,0.015009,yahoo
2020-07-01,0.073434,yahoo
2020-08-01,0.045062,yahoo
2020-09-01,0.038651,yahoo
2020-10-01,-0.005378,yahoo
2020-11-01,0.076341,yahoo
2020-12-01,0.012859,yahoo
2021-01-01,-0.007935,yahoo
2021-02-01,0.131374,yahoo
2021-03-01,0.007423,yahoo
2021-04-01,0.107544,yahoo
2021-05-01,0.053857,yahoo
2021-06-01,-0.089133,yahoo
2021-07-01,-0.014521,yahoo
2021-08-01,0.004689,yahoo
2021-09-01,0.000167,yahoo
2021-10-01,0.070488,yahoo
2021-11-01,-0.0316,yahoo
2021-12-01,0.086481,yahoo
2022-01-01,0.109632,yahoo
2022-02-01,0.046,yahoo
2022-03-01,0.150542,yahoo
2022-04-01,-0.007755,yahoo
2022-05-01,0.014069,yahoo
2022-06-01,-0.145563,yahoo
2022-07-01,0.066624,yahoo
2022-08-01,0.061858,yahoo
2022-09-01,-0.084651,yahoo
2022-10-01,0.205469,yahoo
2022-11-01,0.005362,yahoo
2022-12-01,-0.047692,yahoo
2023-01-01,-0.107701,yahoo
2023-02-01,-0.039228,yahoo
2023-03-01,0.000754,yahoo
2023-04-01,-0.019834,yahoo
2023-05-01,-0.095159,yahoo
2023-06-01,0.069497,yahoo
2023-07-01,0.124404,yahoo
2023-08-01,-0.06662,yahoo
2023-09-01,-0.048928,yahoo
2023-10-01,-0.051047,yahoo
2023-11-01,0.03018,yahoo
2023-12-01,-0.02048,yahoo
2024-01-01,-0.230407,yahoo
2024-02-01,-0.04444,yahoo
2024-03-01,0.18264,yahoo
2024-04-01,-0.066072,yahoo
2024-05-01,0.064439,yahoo
2024-06-01,-0.031871,yahoo
2024-07-01,0.025806,yahoo
2024-08-01,-0.016449,yahoo
2024-09-01,-0.020495,yahoo
2024-10-01,-0.075829,yahoo
2024-11-01,-0.011049,yahoo
2024-12-01,-0.074725,yahoo
2025-01-01,0.014054,yahoo
2025-02-01,-0.078665,yahoo
2025-03-01,0.017161,yahoo
2025-04-01,-0.005416,yahoo
2025-05-01,0.01089,yahoo
2025-06-01,0.093433,yahoo
2025-07-01,0.026525,yahoo
2025-08-01,0.156146,yahoo
2025-09-01,-0.046296,yahoo
2025-10-01,0.013224,yahoo
2025-11-01,0.003469,yahoo
2025-12-01,-0.053507,yahoo
2026-01-01,0.170812,yahoo
2026-02-01,0.025702,yahoo
2026-03-01,0.052868,yahoo
2026-04-01,0.025451,yahoo
2026-05-01,0.070298,yahoo
2026-06-01,-0.042366,yahoo
2026-07-01,0.124346,yahoo
