date,monthly_return,source
2021-01-01,0.006126,yahoo
2021-02-01,-0.194413,yahoo
2021-03-01,-0.413925,yahoo
2021-04-01,0.00531,yahoo
2021-05-01,-0.068669,yahoo
2021-06-01,0.013288,yahoo
2021-07-01,-0.194787,yahoo
2021-08-01,0.023635,yahoo
2021-09-01,-0.100893,yahoo
2021-10-01,-0.026327,yahoo
2021-11-01,-0.180851,yahoo
2021-12-01,-0.154491,yahoo
2022-01-01,-0.15712,yahoo
2022-02-01,-0.148823,yahoo
2022-03-01,0.012489,yahoo
2022-04-01,-0.251542,yahoo
2022-05-01,0.113596,yahoo
2022-06-01,-0.034884,yahoo
2022-07-01,0.008215,yahoo
2022-08-01,-0.02227,yahoo
2022-09-01,-0.305556,yahoo
2022-10-01,0.0488,yahoo
2022-11-01,-0.007628,yahoo
2022-12-01,-0.139892,yahoo
2023-01-01,0.773905,yahoo
2023-02-01,0.137531,yahoo
2023-03-01,0.486714,yahoo
2023-04-01,-0.469169,yahoo
2023-05-01,1.24523,yahoo
2023-06-01,-0.089478,yahoo
2023-07-01,0.152896,yahoo
2023-08-01,-0.261429,yahoo
2023-09-01,-0.177305,yahoo
2023-10-01,-0.043887,yahoo
2023-11-01,0.193443,yahoo
2023-12-01,-0.01408,yahoo
2024-01-01,-0.136886,yahoo
2024-02-01,0.491929,yahoo
2024-03-01,-0.267785,yahoo
2024-04-01,-0.167713,yahoo
2024-05-01,0.312472,yahoo
2024-06-01,-0.020629,yahoo
2024-07-01,-0.076312,yahoo
2024-08-01,-0.127477,yahoo
2024-09-01,0.038132,yahoo
2024-10-01,0.016508,yahoo
2024-11-01,0.509541,yahoo
2024-12-01,-0.073964,yahoo
2025-01-01,-0.089457,yahoo
2025-02-01,-0.251994,yahoo
2025-03-01,-0.102345,yahoo
2025-04-01,0.045606,yahoo
2025-05-01,0.208087,yahoo
2025-06-01,-0.075968,yahoo
2025-07-01,-0.041107,yahoo
2025-08-01,-0.282258,yahoo
2025-09-01,0.025429,yahoo
2025-10-01,0.013841,yahoo
2025-11-01,-0.178043,yahoo
2025-12-01,-0.067128,yahoo
2026-01-01,-0.183234,yahoo
2026-02-01,-0.277929,yahoo
2026-03-01,0.05912,yahoo
2026-04-01,0.048694,yahoo
2026-05-01,0.219706,yahoo
2026-06-01,-0.155989,yahoo
2026-07-01,-0.052805,yahoo
