date,monthly_return,source
2016-07-01,0.029306,yahoo
2016-08-01,0.099008,yahoo
2016-09-01,-0.00819,yahoo
2016-10-01,0.039771,yahoo
2016-11-01,0.026418,yahoo
2016-12-01,0.031265,yahoo
2017-01-01,-0.016077,yahoo
2017-02-01,-0.005291,yahoo
2017-03-01,-0.02331,yahoo
2017-04-01,-0.024347,yahoo
2017-05-01,0.044656,yahoo
2017-06-01,-0.017445,yahoo
2017-07-01,0.046865,yahoo
2017-08-01,-0.075936,yahoo
2017-09-01,0.015046,yahoo
2017-10-01,0.052452,yahoo
2017-11-01,-0.07197,yahoo
2017-12-01,-0.006338,yahoo
2018-01-01,0.072843,yahoo
2018-02-01,-0.102941,yahoo
2018-03-01,-0.050924,yahoo
2018-04-01,0.029033,yahoo
2018-05-01,-0.057321,yahoo
2018-06-01,0.004357,yahoo
2018-07-01,0.041305,yahoo
2018-08-01,-0.03695,yahoo
2018-09-01,0.001317,yahoo
2018-10-01,-0.224455,yahoo
2018-11-01,0.047469,yahoo
2018-12-01,-0.088786,yahoo
2019-01-01,0.09693,yahoo
2019-02-01,-0.000694,yahoo
2019-03-01,-0.003241,yahoo
2019-04-01,0.104738,yahoo
2019-05-01,0.073576,yahoo
2019-06-01,0.043274,yahoo
2019-07-01,0.050863,yahoo
2019-08-01,-0.070548,yahoo
2019-09-01,0.070331,yahoo
2019-10-01,-0.049192,yahoo
2019-11-01,-0.005665,yahoo
2019-12-01,-0.025256,yahoo
2020-01-01,-0.020846,yahoo
2020-02-01,-0.161162,yahoo
2020-03-01,-0.42481,yahoo
2020-04-01,0.04866,yahoo
2020-05-01,0.182068,yahoo
2020-06-01,0.037259,yahoo
2020-07-01,0.030789,yahoo
2020-08-01,-0.093342,yahoo
2020-09-01,-0.05525,yahoo
2020-10-01,0.143843,yahoo
2020-11-01,0.220705,yahoo
2020-12-01,-0.015088,yahoo
2021-01-01,-0.011094,yahoo
2021-02-01,0.173878,yahoo
2021-03-01,0.051422,yahoo
2021-04-01,0.048474,yahoo
2021-05-01,0.090609,yahoo
2021-06-01,-0.099167,yahoo
2021-07-01,-0.005252,yahoo
2021-08-01,0.15227,yahoo
2021-09-01,0.006048,yahoo
2021-10-01,0.076517,yahoo
2021-11-01,-0.109832,yahoo
2021-12-01,0.080989,yahoo
2022-01-01,0.015652,yahoo
2022-02-01,0.060433,yahoo
2022-03-01,0.024984,yahoo
2022-04-01,-0.067867,yahoo
2022-05-01,0.002906,yahoo
2022-06-01,-0.128664,yahoo
2022-07-01,0.012517,yahoo
2022-08-01,-0.000386,yahoo
2022-09-01,-0.082512,yahoo
2022-10-01,0.200505,yahoo
2022-11-01,0.107193,yahoo
2022-12-01,0.00206,yahoo
2023-01-01,-0.000316,yahoo
2023-02-01,-0.033376,yahoo
2023-03-01,-0.175912,yahoo
2023-04-01,0.053217,yahoo
2023-05-01,-0.003959,yahoo
2023-06-01,0.089154,yahoo
2023-07-01,0.047619,yahoo
2023-08-01,-0.029197,yahoo
2023-09-01,0.035543,yahoo
2023-10-01,0.011716,yahoo
2023-11-01,0.073397,yahoo
2023-12-01,0.029479,yahoo
2024-01-01,0.025978,yahoo
2024-02-01,0.048626,yahoo
2024-03-01,0.072438,yahoo
2024-04-01,-0.036587,yahoo
2024-05-01,0.046607,yahoo
2024-06-01,-0.058107,yahoo
2024-07-01,0.067215,yahoo
2024-08-01,-0.027515,yahoo
2024-09-01,-0.049578,yahoo
2024-10-01,0.036187,yahoo
2024-11-01,0.013179,yahoo
2024-12-01,-0.05307,yahoo
2025-01-01,0.011813,yahoo
2025-02-01,0.125984,yahoo
2025-03-01,0.048228,yahoo
2025-04-01,-0.062342,yahoo
2025-05-01,0.038273,yahoo
2025-06-01,0.011224,yahoo
2025-07-01,-0.093002,yahoo
2025-08-01,0.047533,yahoo
2025-09-01,-0.034186,yahoo
2025-10-01,0.005348,yahoo
2025-11-01,-0.035461,yahoo
2025-12-01,0.123293,yahoo
2026-01-01,-0.124722,yahoo
2026-02-01,0.07492,yahoo
2026-03-01,-0.065101,yahoo
2026-04-01,-0.00598,yahoo
2026-05-01,-0.00762,yahoo
2026-06-01,0.004041,yahoo
2026-07-01,0.049913,yahoo
