date,monthly_return,source
2016-07-01,0.033403,yahoo
2016-08-01,0.004472,yahoo
2016-09-01,0.029549,yahoo
2016-10-01,-0.051897,yahoo
2016-11-01,0.043956,yahoo
2016-12-01,0.031976,yahoo
2017-01-01,0.035989,yahoo
2017-02-01,0.05796,yahoo
2017-03-01,-0.007199,yahoo
2017-04-01,-0.012911,yahoo
2017-05-01,0.016484,yahoo
2017-06-01,0.009166,yahoo
2017-07-01,0.0269,yahoo
2017-08-01,-0.015139,yahoo
2017-09-01,0.06304,yahoo
2017-10-01,0.02892,yahoo
2017-11-01,0.039476,yahoo
2017-12-01,-0.038736,yahoo
2018-01-01,0.079646,yahoo
2018-02-01,0.011563,yahoo
2018-03-01,-0.005498,yahoo
2018-04-01,0.018333,yahoo
2018-05-01,-0.053008,yahoo
2018-06-01,-0.015088,yahoo
2018-07-01,0.092984,yahoo
2018-08-01,0.011072,yahoo
2018-09-01,0.031882,yahoo
2018-10-01,-0.005776,yahoo
2018-11-01,0.041346,yahoo
2018-12-01,-0.043727,yahoo
2019-01-01,0.013704,yahoo
2019-02-01,0.074555,yahoo
2019-03-01,-0.027155,yahoo
2019-04-01,0.070679,yahoo
2019-05-01,0.006936,yahoo
2019-06-01,0.040261,yahoo
2019-07-01,0.032424,yahoo
2019-08-01,0.003096,yahoo
2019-09-01,-0.012568,yahoo
2019-10-01,0.018421,yahoo
2019-11-01,0.022473,yahoo
2019-12-01,0.021014,yahoo
2020-01-01,0.077077,yahoo
2020-02-01,-0.049527,yahoo
2020-03-01,-0.163914,yahoo
2020-04-01,-0.036928,yahoo
2020-05-01,0.201019,yahoo
2020-06-01,0.034048,yahoo
2020-07-01,0.102575,yahoo
2020-08-01,-0.020374,yahoo
2020-09-01,0.002659,yahoo
2020-10-01,-0.017712,yahoo
2020-11-01,0.112815,yahoo
2020-12-01,0.071917,yahoo
2021-01-01,-0.067092,yahoo
2021-02-01,0.038038,yahoo
2021-03-01,0.041486,yahoo
2021-04-01,0.161738,yahoo
2021-05-01,0.011452,yahoo
2021-06-01,-0.04454,yahoo
2021-07-01,-0.005497,yahoo
2021-08-01,0.030938,yahoo
2021-09-01,0.035023,yahoo
2021-10-01,0.127952,yahoo
2021-11-01,-0.028449,yahoo
2021-12-01,0.041559,yahoo
2022-01-01,-0.069134,yahoo
2022-02-01,0.001583,yahoo
2022-03-01,0.103736,yahoo
2022-04-01,-0.034994,yahoo
2022-05-01,-0.038875,yahoo
2022-06-01,0.006793,yahoo
2022-07-01,0.097829,yahoo
2022-08-01,0.014414,yahoo
2022-09-01,-0.057003,yahoo
2022-10-01,0.092629,yahoo
2022-11-01,0.064304,yahoo
2022-12-01,-0.053086,yahoo
2023-01-01,0.038082,yahoo
2023-02-01,-0.042765,yahoo
2023-03-01,0.021137,yahoo
2023-04-01,0.087554,yahoo
2023-05-01,-0.037153,yahoo
2023-06-01,0.096042,yahoo
2023-07-01,-0.021724,yahoo
2023-08-01,0.072998,yahoo
2023-09-01,-0.011064,yahoo
2023-10-01,0.033168,yahoo
2023-11-01,0.05737,yahoo
2023-12-01,-0.096867,yahoo
2024-01-01,0.032373,yahoo
2024-02-01,0.050698,yahoo
2024-03-01,0.025048,yahoo
2024-04-01,-0.06139,yahoo
2024-05-01,0.079424,yahoo
2024-06-01,0.023606,yahoo
2024-07-01,0.093247,yahoo
2024-08-01,0.032029,yahoo
2024-09-01,-0.038281,yahoo
2024-10-01,-0.000604,yahoo
2024-11-01,0.110384,yahoo
2024-12-01,-0.090924,yahoo
2025-01-01,0.063308,yahoo
2025-02-01,0.119011,yahoo
2025-03-01,0.022206,yahoo
2025-04-01,-0.07111,yahoo
2025-05-01,0.083414,yahoo
2025-06-01,-0.078632,yahoo
2025-07-01,-0.10268,yahoo
2025-08-01,0.05396,yahoo
2025-09-01,0.023088,yahoo
2025-10-01,-0.194518,yahoo
2025-11-01,-0.007495,yahoo
2025-12-01,0.045109,yahoo
2026-01-01,-0.0364,yahoo
2026-02-01,-0.084894,yahoo
2026-03-01,-0.05092,yahoo
2026-04-01,-0.047003,yahoo
2026-05-01,-0.02563,yahoo
2026-06-01,0.141515,yahoo
2026-07-01,0.105981,yahoo
