date,monthly_return,source
2016-07-01,0.017305,yahoo
2016-08-01,0.036572,yahoo
2016-09-01,-0.019897,yahoo
2016-10-01,-0.07702,yahoo
2016-11-01,0.073696,yahoo
2016-12-01,0.026399,yahoo
2017-01-01,0.05144,yahoo
2017-02-01,0.056164,yahoo
2017-03-01,0.002038,yahoo
2017-04-01,0.057692,yahoo
2017-05-01,0.066783,yahoo
2017-06-01,-0.007375,yahoo
2017-07-01,0.016675,yahoo
2017-08-01,0.027119,yahoo
2017-09-01,0.044111,yahoo
2017-10-01,0.021956,yahoo
2017-11-01,0.077049,yahoo
2017-12-01,-0.003027,yahoo
2018-01-01,0.052849,yahoo
2018-02-01,-0.00734,yahoo
2018-03-01,0.003037,yahoo
2018-04-01,-0.081216,yahoo
2018-05-01,0.046275,yahoo
2018-06-01,-0.011913,yahoo
2018-07-01,0.07816,yahoo
2018-08-01,-0.010797,yahoo
2018-09-01,0.028067,yahoo
2018-10-01,-0.152174,yahoo
2018-11-01,0.094663,yahoo
2018-12-01,-0.078034,yahoo
2019-01-01,0.07681,yahoo
2019-02-01,0.091632,yahoo
2019-03-01,0.042599,yahoo
2019-04-01,0.062673,yahoo
2019-05-01,-0.071226,yahoo
2019-06-01,0.109293,yahoo
2019-07-01,-0.01354,yahoo
2019-08-01,-0.041067,yahoo
2019-09-01,0.068544,yahoo
2019-10-01,-0.001851,yahoo
2019-11-01,0.080306,yahoo
2019-12-01,0.007373,yahoo
2020-01-01,-0.025967,yahoo
2020-02-01,-0.114771,yahoo
2020-03-01,-0.162558,yahoo
2020-04-01,0.164538,yahoo
2020-05-01,0.093478,yahoo
2020-06-01,-0.025515,yahoo
2020-07-01,0.043415,yahoo
2020-08-01,0.079893,yahoo
2020-09-01,-0.01291,yahoo
2020-10-01,-0.012072,yahoo
2020-11-01,0.207027,yahoo
2020-12-01,0.020332,yahoo
2021-01-01,-0.063503,yahoo
2021-02-01,0.041586,yahoo
2021-03-01,0.082733,yahoo
2021-04-01,0.056369,yahoo
2021-05-01,0.00126,yahoo
2021-06-01,-0.011843,yahoo
2021-07-01,0.041573,yahoo
2021-08-01,-0.02215,yahoo
2021-09-01,-0.087961,yahoo
2021-10-01,0.067656,yahoo
2021-11-01,0.030967,yahoo
2021-12-01,0.077216,yahoo
2022-01-01,-0.069845,yahoo
2022-02-01,-0.051035,yahoo
2022-03-01,0.026119,yahoo
2022-04-01,-0.05196,yahoo
2022-05-01,-0.037938,yahoo
2022-06-01,-0.095332,yahoo
2022-07-01,0.123851,yahoo
2022-08-01,-0.027045,yahoo
2022-09-01,-0.056175,yahoo
2022-10-01,0.143285,yahoo
2022-11-01,0.098411,yahoo
2022-12-01,-0.018958,yahoo
2023-01-01,0.037217,yahoo
2023-02-01,-0.023185,yahoo
2023-03-01,0.026632,yahoo
2023-04-01,-0.050919,yahoo
2023-05-01,0.051765,yahoo
2023-06-01,0.115875,yahoo
2023-07-01,-0.020262,yahoo
2023-08-01,0.005738,yahoo
2023-09-01,-0.073663,yahoo
2023-10-01,-0.047306,yahoo
2023-11-01,0.102721,yahoo
2023-12-01,0.06223,yahoo
2024-01-01,-0.017224,yahoo
2024-02-01,0.111879,yahoo
2024-03-01,0.015096,yahoo
2024-04-01,-0.045052,yahoo
2024-05-01,-0.029085,yahoo
2024-06-01,-0.016924,yahoo
2024-07-01,0.040609,yahoo
2024-08-01,-0.014007,yahoo
2024-09-01,0.003859,yahoo
2024-10-01,0.06773,yahoo
2024-11-01,0.060216,yahoo
2024-12-01,-0.072641,yahoo
2025-01-01,0.023854,yahoo
2025-02-01,0.025683,yahoo
2025-03-01,-0.09065,yahoo
2025-04-01,-0.014872,yahoo
2025-05-01,0.054016,yahoo
2025-06-01,0.01242,yahoo
2025-07-01,0.021496,yahoo
2025-08-01,-0.000271,yahoo
2025-09-01,0.017316,yahoo
2025-10-01,0.075053,yahoo
2025-11-01,-0.02088,yahoo
2025-12-01,0.037496,yahoo
2026-01-01,0.090936,yahoo
2026-02-01,0.068042,yahoo
2026-03-01,-0.103921,yahoo
2026-04-01,0.098619,yahoo
2026-05-01,-0.040977,yahoo
2026-06-01,0.071242,yahoo
2026-07-01,-0.032901,yahoo
