date,monthly_return,source
2023-10-01,-0.079036,yahoo
2023-11-01,0.247718,yahoo
2023-12-01,0.22187,yahoo
2024-01-01,-0.059552,yahoo
2024-02-01,0.995755,yahoo
2024-03-01,-0.113797,yahoo
2024-04-01,-0.190255,yahoo
2024-05-01,0.190791,yahoo
2024-06-01,0.357617,yahoo
2024-07-01,-0.118873,yahoo
2024-08-01,-0.07831,yahoo
2024-09-01,0.076234,yahoo
2024-10-01,-0.011957,yahoo
2024-11-01,-0.049611,yahoo
2024-12-01,-0.081391,yahoo
2025-01-01,0.293369,yahoo
2025-02-01,-0.174616,yahoo
2025-03-01,-0.18908,yahoo
2025-04-01,0.067984,yahoo
2025-05-01,0.091977,yahoo
2025-06-01,0.298699,yahoo
2025-07-01,-0.125912,yahoo
2025-08-01,-0.02168,yahoo
2025-09-01,0.022992,yahoo
2025-10-01,0.200226,yahoo
2025-11-01,-0.201743,yahoo
2025-12-01,-0.193641,yahoo
2026-01-01,-0.036136,yahoo
2026-02-01,0.209662,yahoo
2026-03-01,0.186975,yahoo
2026-04-01,0.39027,yahoo
2026-05-01,0.679774,yahoo
2026-06-01,0.003623,yahoo
2026-07-01,-0.239614,yahoo
