date,monthly_return,source
2016-07-01,0.042007,yahoo
2016-08-01,-0.005777,yahoo
2016-09-01,0.00452,yahoo
2016-10-01,-0.102841,yahoo
2016-11-01,0.032526,yahoo
2016-12-01,-0.025534,yahoo
2017-01-01,0.039875,yahoo
2017-02-01,0.105314,yahoo
2017-03-01,-0.001363,yahoo
2017-04-01,0.032382,yahoo
2017-05-01,0.012619,yahoo
2017-06-01,0.048778,yahoo
2017-07-01,0.051601,yahoo
2017-08-01,0.014312,yahoo
2017-09-01,0.043284,yahoo
2017-10-01,0.079622,yahoo
2017-11-01,0.07488,yahoo
2017-12-01,0.006484,yahoo
2018-01-01,0.068083,yahoo
2018-02-01,-0.036925,yahoo
2018-03-01,-0.100719,yahoo
2018-04-01,-0.013553,yahoo
2018-05-01,0.002099,yahoo
2018-06-01,-0.027897,yahoo
2018-07-01,0.123213,yahoo
2018-08-01,-0.082839,yahoo
2018-09-01,0.030139,yahoo
2018-10-01,-0.162713,yahoo
2018-11-01,0.06261,yahoo
2018-12-01,-0.068154,yahoo
2019-01-01,0.162752,yahoo
2019-02-01,0.034371,yahoo
2019-03-01,0.045909,yahoo
2019-04-01,-0.020796,yahoo
2019-05-01,-0.059557,yahoo
2019-06-01,0.111666,yahoo
2019-07-01,-0.007002,yahoo
2019-08-01,0.006094,yahoo
2019-09-01,-0.017306,yahoo
2019-10-01,0.125825,yahoo
2019-11-01,0.019631,yahoo
2019-12-01,0.003452,yahoo
2020-01-01,0.003211,yahoo
2020-02-01,-0.127629,yahoo
2020-03-01,-0.110228,yahoo
2020-04-01,0.083636,yahoo
2020-05-01,0.002536,yahoo
2020-06-01,0.030903,yahoo
2020-07-01,-0.006574,yahoo
2020-08-01,0.018087,yahoo
2020-09-01,0.107895,yahoo
2020-10-01,0.082525,yahoo
2020-11-01,0.079124,yahoo
2020-12-01,0.038637,yahoo
2021-01-01,-0.027335,yahoo
2021-02-01,0.161331,yahoo
2021-03-01,0.048171,yahoo
2021-04-01,0.166186,yahoo
2021-05-01,0.029696,yahoo
2021-06-01,-0.04666,yahoo
2021-07-01,0.002093,yahoo
2021-08-01,0.069822,yahoo
2021-09-01,-0.08066,yahoo
2021-10-01,0.050721,yahoo
2021-11-01,-0.058102,yahoo
2021-12-01,0.056078,yahoo
2022-01-01,-0.051485,yahoo
2022-02-01,-0.142245,yahoo
2022-03-01,-0.012656,yahoo
2022-04-01,0.03811,yahoo
2022-05-01,-0.044518,yahoo
2022-06-01,-0.061949,yahoo
2022-07-01,0.176623,yahoo
2022-08-01,-0.035913,yahoo
2022-09-01,-0.113931,yahoo
2022-10-01,0.042102,yahoo
2022-11-01,0.140254,yahoo
2022-12-01,-0.063777,yahoo
2023-01-01,0.04663,yahoo
2023-02-01,-0.038271,yahoo
2023-03-01,-0.017893,yahoo
2023-04-01,-0.02487,yahoo
2023-05-01,-0.076513,yahoo
2023-06-01,0.06622,yahoo
2023-07-01,0.071071,yahoo
2023-08-01,0.023749,yahoo
2023-09-01,-0.030311,yahoo
2023-10-01,-0.047079,yahoo
2023-11-01,0.117367,yahoo
2023-12-01,0.039383,yahoo
2024-01-01,-0.013405,yahoo
2024-02-01,0.085636,yahoo
2024-03-01,0.031035,yahoo
2024-04-01,-0.026741,yahoo
2024-05-01,0.04745,yahoo
2024-06-01,-0.039281,yahoo
2024-07-01,-0.008324,yahoo
2024-08-01,0.023152,yahoo
2024-09-01,-0.004913,yahoo
2024-10-01,-0.062194,yahoo
2024-11-01,-0.005217,yahoo
2024-12-01,-0.091381,yahoo
2025-01-01,-0.007481,yahoo
2025-02-01,0.012061,yahoo
2025-03-01,-0.0532,yahoo
2025-04-01,-0.038546,yahoo
2025-05-01,0.038689,yahoo
2025-06-01,-0.012716,yahoo
2025-07-01,-0.043882,yahoo
2025-08-01,0.023127,yahoo
2025-09-01,-0.055229,yahoo
2025-10-01,0.078436,yahoo
2025-11-01,-0.014409,yahoo
2025-12-01,0.055172,yahoo
2026-01-01,0.019958,yahoo
2026-02-01,0.058434,yahoo
2026-03-01,-0.12055,yahoo
2026-04-01,-0.050672,yahoo
2026-05-01,-0.029647,yahoo
2026-06-01,0.02062,yahoo
2026-07-01,-0.020203,yahoo
