date,monthly_return,source
2016-07-01,0.175549,yahoo
2016-08-01,0.138667,yahoo
2016-09-01,0.215457,yahoo
2016-10-01,-0.007707,yahoo
2016-11-01,-0.067961,yahoo
2016-12-01,0.0,yahoo
2017-01-01,0.197917,yahoo
2017-02-01,0.234783,yahoo
2017-03-01,-0.183099,yahoo
2017-04-01,0.163793,yahoo
2017-05-01,-0.014815,yahoo
2017-06-01,-0.045113,yahoo
2017-07-01,0.377953,yahoo
2017-08-01,-0.108571,yahoo
2017-09-01,0.173077,yahoo
2017-10-01,0.016394,yahoo
2017-11-01,0.037634,yahoo
2017-12-01,-0.098446,yahoo
2018-01-01,-0.091954,yahoo
2018-02-01,-0.053165,yahoo
2018-03-01,-0.030749,yahoo
2018-04-01,-0.193103,yahoo
2018-05-01,0.239316,yahoo
2018-06-01,-0.027586,yahoo
2018-07-01,0.070922,yahoo
2018-08-01,0.046358,yahoo
2018-09-01,-0.094937,yahoo
2018-10-01,-0.078322,yahoo
2018-11-01,-0.163885,yahoo
2018-12-01,-0.210526,yahoo
2019-01-01,-0.055172,yahoo
2019-02-01,0.085158,yahoo
2019-03-01,-0.002242,yahoo
2019-04-01,0.280899,yahoo
2019-05-01,-0.3,yahoo
2019-06-01,-0.007519,yahoo
2019-07-01,0.078283,yahoo
2019-08-01,-0.206089,yahoo
2019-09-01,0.050147,yahoo
2019-10-01,-0.123596,yahoo
2019-11-01,0.012821,yahoo
2019-12-01,0.376582,yahoo
2020-01-01,-0.103448,yahoo
2020-02-01,-0.107692,yahoo
2020-03-01,-0.077586,yahoo
2020-04-01,0.722741,yahoo
2020-05-01,-0.0434,yahoo
2020-06-01,-0.100189,yahoo
2020-07-01,0.006302,yahoo
2020-08-01,0.177453,yahoo
2020-09-01,0.085106,yahoo
2020-10-01,-0.027778,yahoo
2020-11-01,0.638656,yahoo
2020-12-01,-0.018462,yahoo
2021-01-01,0.079415,yahoo
2021-02-01,0.251694,yahoo
2021-03-01,-0.098221,yahoo
2021-04-01,-0.154374,yahoo
2021-05-01,0.032454,yahoo
2021-06-01,0.078585,yahoo
2021-07-01,-0.071038,yahoo
2021-08-01,-0.087255,yahoo
2021-09-01,-0.105263,yahoo
2021-10-01,-0.019208,yahoo
2021-11-01,0.00612,yahoo
2021-12-01,0.071776,yahoo
2022-01-01,-0.14983,yahoo
2022-02-01,-0.00534,yahoo
2022-03-01,-0.057718,yahoo
2022-04-01,-0.159544,yahoo
2022-05-01,-0.008475,yahoo
2022-06-01,0.001709,yahoo
2022-07-01,0.496587,yahoo
2022-08-01,-0.020525,yahoo
2022-09-01,-0.220023,yahoo
2022-10-01,-0.322388,yahoo
2022-11-01,0.169604,yahoo
2022-12-01,-0.175141,yahoo
2023-01-01,0.344749,yahoo
2023-02-01,-0.258065,yahoo
2023-03-01,-0.089245,yahoo
2023-04-01,-0.329146,yahoo
2023-05-01,0.277154,yahoo
2023-06-01,0.008798,yahoo
2023-07-01,-0.09593,yahoo
2023-08-01,-0.163987,yahoo
2023-09-01,-0.076923,yahoo
2023-10-01,-0.170833,yahoo
2023-11-01,0.0,yahoo
2023-12-01,0.20603,yahoo
2024-01-01,0.025,yahoo
2024-02-01,0.743902,yahoo
2024-03-01,0.06993,yahoo
2024-04-01,-0.346405,yahoo
2024-05-01,0.27,yahoo
2024-06-01,-0.112861,yahoo
2024-07-01,0.076923,yahoo
2024-08-01,-0.271978,yahoo
2024-09-01,-0.086792,yahoo
2024-10-01,0.066116,yahoo
2024-11-01,-0.170543,yahoo
2024-12-01,0.014019,yahoo
2025-01-01,-0.036866,yahoo
2025-02-01,-0.23445,yahoo
2025-03-01,-0.11875,yahoo
2025-04-01,-0.007092,yahoo
2025-05-01,0.078571,yahoo
2025-06-01,0.384106,yahoo
2025-07-01,-0.004785,yahoo
2025-08-01,0.394231,yahoo
2025-09-01,0.548276,yahoo
2025-10-01,0.770601,yahoo
2025-11-01,0.345912,yahoo
2025-12-01,0.528037,yahoo
2026-01-01,0.133945,yahoo
2026-02-01,1.044229,yahoo
2026-03-01,0.50343,yahoo
2026-04-01,0.390312,yahoo
2026-05-01,0.302196,yahoo
2026-06-01,-0.30128,yahoo
2026-07-01,-0.21601,yahoo
