date,monthly_return,source
2016-07-01,0.132638,yahoo
2016-08-01,-0.001316,yahoo
2016-09-01,0.051383,yahoo
2016-10-01,-0.116541,yahoo
2016-11-01,0.093617,yahoo
2016-12-01,-0.106355,yahoo
2017-01-01,0.024673,yahoo
2017-02-01,-0.014164,yahoo
2017-03-01,0.113506,yahoo
2017-04-01,0.205161,yahoo
2017-05-01,0.131692,yahoo
2017-06-01,-0.054872,yahoo
2017-07-01,-0.061061,yahoo
2017-08-01,-0.011727,yahoo
2017-09-01,0.206041,yahoo
2017-10-01,-0.021467,yahoo
2017-11-01,-0.015539,yahoo
2017-12-01,0.03714,yahoo
2018-01-01,0.133393,yahoo
2018-02-01,-0.041074,yahoo
2018-03-01,-0.052718,yahoo
2018-04-01,-0.089565,yahoo
2018-05-01,0.129895,yahoo
2018-06-01,-0.184277,yahoo
2018-07-01,0.01658,yahoo
2018-08-01,0.087666,yahoo
2018-09-01,0.066542,yahoo
2018-10-01,-0.18717,yahoo
2018-11-01,-0.04973,yahoo
2018-12-01,-0.191126,yahoo
2019-01-01,0.135021,yahoo
2019-02-01,0.078067,yahoo
2019-03-01,0.15977,yahoo
2019-04-01,-0.090188,yahoo
2019-05-01,-0.14488,yahoo
2019-06-01,-0.049682,yahoo
2019-07-01,-0.021448,yahoo
2019-08-01,-0.058904,yahoo
2019-09-01,-0.235808,yahoo
2019-10-01,0.001905,yahoo
2019-11-01,0.058935,yahoo
2019-12-01,0.152603,yahoo
2020-01-01,-0.049844,yahoo
2020-02-01,-0.152459,yahoo
2020-03-01,-0.201161,yahoo
2020-04-01,0.03632,yahoo
2020-05-01,0.084112,yahoo
2020-06-01,0.053879,yahoo
2020-07-01,-0.030675,yahoo
2020-08-01,0.101266,yahoo
2020-09-01,-0.12069,yahoo
2020-10-01,-0.021787,yahoo
2020-11-01,0.30735,yahoo
2020-12-01,0.129472,yahoo
2021-01-01,1.126697,yahoo
2021-02-01,-0.287234,yahoo
2021-03-01,-0.161194,yahoo
2021-04-01,0.04745,yahoo
2021-05-01,0.14043,yahoo
2021-06-01,0.213506,yahoo
2021-07-01,-0.168576,yahoo
2021-08-01,0.123031,yahoo
2021-09-01,-0.147239,yahoo
2021-10-01,0.109969,yahoo
2021-11-01,-0.118518,yahoo
2021-12-01,-0.017857,yahoo
2022-01-01,-0.119786,yahoo
2022-02-01,-0.165249,yahoo
2022-03-01,0.085881,yahoo
2022-04-01,-0.233244,yahoo
2022-05-01,0.057692,yahoo
2022-06-01,-0.109091,yahoo
2022-07-01,0.137291,yahoo
2022-08-01,-0.030995,yahoo
2022-09-01,-0.208754,yahoo
2022-10-01,-0.008511,yahoo
2022-11-01,0.045064,yahoo
2022-12-01,-0.330595,yahoo
2023-01-01,0.303681,yahoo
2023-02-01,-0.087059,yahoo
2023-03-01,0.175258,yahoo
2023-04-01,-0.142544,yahoo
2023-05-01,0.368286,yahoo
2023-06-01,0.033645,yahoo
2023-07-01,-0.077758,yahoo
2023-08-01,0.090196,yahoo
2023-09-01,-0.152878,yahoo
2023-10-01,-0.239915,yahoo
2023-11-01,0.02514,yahoo
2023-12-01,-0.035422,yahoo
2024-01-01,-0.211864,yahoo
2024-02-01,-0.003584,yahoo
2024-03-01,-0.007194,yahoo
2024-04-01,0.01087,yahoo
2024-05-01,0.0,yahoo
2024-06-01,-0.111111,yahoo
2024-07-01,-0.024194,yahoo
2024-08-01,-0.028926,yahoo
2024-09-01,0.114894,yahoo
2024-10-01,-0.137405,yahoo
2024-11-01,0.137168,yahoo
2024-12-01,0.470817,yahoo
2025-01-01,0.174603,yahoo
2025-02-01,0.060811,yahoo
2025-03-01,-0.199575,yahoo
2025-04-01,-0.098143,yahoo
2025-05-01,0.164706,yahoo
2025-06-01,0.156566,yahoo
2025-07-01,-0.194323,yahoo
2025-08-01,0.03794,yahoo
2025-09-01,0.274151,yahoo
2025-10-01,0.0,yahoo
2025-11-01,-0.163934,yahoo
2025-12-01,-0.071078,yahoo
2026-01-01,-0.058048,yahoo
2026-02-01,-0.05042,yahoo
2026-03-01,-0.044248,yahoo
2026-04-01,0.666667,yahoo
2026-05-01,0.666667,yahoo
2026-06-01,0.405556,yahoo
2026-07-01,-0.301976,yahoo
