date,monthly_return,source
2016-07-01,-0.033606,yahoo
2016-08-01,0.071867,yahoo
2016-09-01,0.064301,yahoo
2016-10-01,-0.028615,yahoo
2016-11-01,-0.056033,yahoo
2016-12-01,-0.015214,yahoo
2017-01-01,0.064838,yahoo
2017-02-01,-0.005369,yahoo
2017-03-01,-0.009246,yahoo
2017-04-01,0.04469,yahoo
2017-05-01,0.03257,yahoo
2017-06-01,-0.038904,yahoo
2017-07-01,0.265515,yahoo
2017-08-01,0.00751,yahoo
2017-09-01,0.086121,yahoo
2017-10-01,-0.01514,yahoo
2017-11-01,-0.021973,yahoo
2017-12-01,-0.018317,yahoo
2018-01-01,0.054267,yahoo
2018-02-01,0.02195,yahoo
2018-03-01,-0.115519,yahoo
2018-04-01,0.124154,yahoo
2018-05-01,-0.03324,yahoo
2018-06-01,0.001814,yahoo
2018-07-01,0.017202,yahoo
2018-08-01,-0.083745,yahoo
2018-09-01,0.009714,yahoo
2018-10-01,-0.168882,yahoo
2018-11-01,-0.009365,yahoo
2018-12-01,-0.157638,yahoo
2019-01-01,0.088462,yahoo
2019-02-01,-0.058449,yahoo
2019-03-01,0.014212,yahoo
2019-04-01,0.008371,yahoo
2019-05-01,-0.338266,yahoo
2019-06-01,0.066909,yahoo
2019-07-01,-0.048228,yahoo
2019-08-01,-0.064727,yahoo
2019-09-01,-0.016368,yahoo
2019-10-01,-0.008856,yahoo
2019-11-01,0.16377,yahoo
2019-12-01,0.066397,yahoo
2020-01-01,-0.022468,yahoo
2020-02-01,-0.028974,yahoo
2020-03-01,-0.159943,yahoo
2020-04-01,0.001389,yahoo
2020-05-01,0.055682,yahoo
2020-06-01,0.125199,yahoo
2020-07-01,-0.004087,yahoo
2020-08-01,0.0433,yahoo
2020-09-01,0.016216,yahoo
2020-10-01,0.051031,yahoo
2020-11-01,0.044645,yahoo
2020-12-01,0.555795,yahoo
2021-01-01,0.086848,yahoo
2021-02-01,0.20611,yahoo
2021-03-01,-0.23252,yahoo
2021-04-01,-0.033188,yahoo
2021-05-01,-0.066847,yahoo
2021-06-01,0.038875,yahoo
2021-07-01,-0.195635,yahoo
2021-08-01,-0.042619,yahoo
2021-09-01,-0.020825,yahoo
2021-10-01,0.05522,yahoo
2021-11-01,-0.07643,yahoo
2021-12-01,-0.007007,yahoo
2022-01-01,0.073594,yahoo
2022-02-01,-0.045699,yahoo
2022-03-01,-0.132118,yahoo
2022-04-01,-0.061451,yahoo
2022-05-01,0.130305,yahoo
2022-06-01,0.059708,yahoo
2022-07-01,-0.081759,yahoo
2022-08-01,0.054185,yahoo
2022-09-01,-0.183927,yahoo
2022-10-01,-0.348285,yahoo
2022-11-01,0.41831,yahoo
2022-12-01,0.053223,yahoo
2023-01-01,0.177479,yahoo
2023-02-01,0.022349,yahoo
2023-03-01,0.096085,yahoo
2023-04-01,-0.200835,yahoo
2023-05-01,0.018572,yahoo
2023-06-01,0.114449,yahoo
2023-07-01,0.139362,yahoo
2023-08-01,-0.084364,yahoo
2023-09-01,-0.059371,yahoo
2023-10-01,-0.218459,yahoo
2023-11-01,0.130095,yahoo
2023-12-01,0.003624,yahoo
2024-01-01,-0.115711,yahoo
2024-02-01,-0.037793,yahoo
2024-03-01,0.038982,yahoo
2024-04-01,-0.017857,yahoo
2024-05-01,-0.059961,yahoo
2024-06-01,-0.110288,yahoo
2024-07-01,0.024167,yahoo
2024-08-01,-0.044597,yahoo
2024-09-01,0.244268,yahoo
2024-10-01,-0.133536,yahoo
2024-11-01,-0.067741,yahoo
2024-12-01,-0.008701,yahoo
2025-01-01,0.074606,yahoo
2025-02-01,-0.045806,yahoo
2025-03-01,0.064546,yahoo
2025-04-01,-0.045746,yahoo
2025-05-01,-0.067411,yahoo
2025-06-01,0.047131,yahoo
2025-07-01,0.024604,yahoo
2025-08-01,0.084557,yahoo
2025-09-01,0.382686,yahoo
2025-10-01,-0.08272,yahoo
2025-11-01,-0.032928,yahoo
2025-12-01,0.117803,yahoo
2026-01-01,0.172356,yahoo
2026-02-01,-0.187622,yahoo
2026-03-01,-0.104629,yahoo
2026-04-01,0.135613,yahoo
2026-05-01,0.069391,yahoo
2026-06-01,-0.155347,yahoo
2026-07-01,-0.059235,yahoo
