date,monthly_return,source
2016-07-01,0.017131,yahoo
2016-08-01,-0.232857,yahoo
2016-09-01,-0.060464,yahoo
2016-10-01,-0.055823,yahoo
2016-11-01,0.108623,yahoo
2016-12-01,0.035436,yahoo
2017-01-01,-0.158795,yahoo
2017-02-01,0.15358,yahoo
2017-03-01,-0.041086,yahoo
2017-04-01,0.03071,yahoo
2017-05-01,-0.037467,yahoo
2017-06-01,0.032808,yahoo
2017-07-01,0.021177,yahoo
2017-08-01,0.062917,yahoo
2017-09-01,0.053902,yahoo
2017-10-01,-0.032633,yahoo
2017-11-01,0.024813,yahoo
2017-12-01,-0.030226,yahoo
2018-01-01,0.02154,yahoo
2018-02-01,0.057508,yahoo
2018-03-01,-0.044562,yahoo
2018-04-01,-0.17581,yahoo
2018-05-01,0.0094,yahoo
2018-06-01,0.051691,yahoo
2018-07-01,0.061619,yahoo
2018-08-01,0.030638,yahoo
2018-09-01,0.025268,yahoo
2018-10-01,-0.185889,yahoo
2018-11-01,0.057776,yahoo
2018-12-01,-0.027684,yahoo
2019-01-01,-0.050212,yahoo
2019-02-01,0.046384,yahoo
2019-03-01,-0.076461,yahoo
2019-04-01,-0.026829,yahoo
2019-05-01,-0.02283,yahoo
2019-06-01,-0.000441,yahoo
2019-07-01,-0.020728,yahoo
2019-08-01,0.082414,yahoo
2019-09-01,0.05492,yahoo
2019-10-01,0.131335,yahoo
2019-11-01,-0.007495,yahoo
2019-12-01,0.127327,yahoo
2020-01-01,-0.019318,yahoo
2020-02-01,-0.061795,yahoo
2020-03-01,-0.056214,yahoo
2020-04-01,0.090958,yahoo
2020-05-01,-0.017925,yahoo
2020-06-01,-0.015405,yahoo
2020-07-01,-0.002381,yahoo
2020-08-01,0.060348,yahoo
2020-09-01,-0.030707,yahoo
2020-10-01,-0.030519,yahoo
2020-11-01,0.067579,yahoo
2020-12-01,-0.00593,yahoo
2021-01-01,-0.009673,yahoo
2021-02-01,-0.001628,yahoo
2021-03-01,0.029349,yahoo
2021-04-01,-0.011247,yahoo
2021-05-01,0.052868,yahoo
2021-06-01,0.016738,yahoo
2021-07-01,0.015714,yahoo
2021-08-01,-0.014881,yahoo
2021-09-01,-0.115016,yahoo
2021-10-01,-0.013013,yahoo
2021-11-01,-0.081678,yahoo
2021-12-01,0.162596,yahoo
2022-01-01,0.040738,yahoo
2022-02-01,0.058252,yahoo
2022-03-01,0.063492,yahoo
2022-04-01,0.030672,yahoo
2022-05-01,0.002391,yahoo
2022-06-01,0.020543,yahoo
2022-07-01,-0.041818,yahoo
2022-08-01,-0.086338,yahoo
2022-09-01,0.054591,yahoo
2022-10-01,0.089745,yahoo
2022-11-01,0.036272,yahoo
2022-12-01,-0.103762,yahoo
2023-01-01,0.009729,yahoo
2023-02-01,-0.050791,yahoo
2023-03-01,0.005075,yahoo
2023-04-01,-0.036647,yahoo
2023-05-01,-0.034896,yahoo
2023-06-01,-0.007604,yahoo
2023-07-01,-0.027522,yahoo
2023-08-01,-0.008683,yahoo
2023-09-01,-0.058556,yahoo
2023-10-01,-0.112164,yahoo
2023-11-01,-0.041723,yahoo
2023-12-01,0.039085,yahoo
2024-01-01,-0.047554,yahoo
2024-02-01,0.038469,yahoo
2024-03-01,0.068571,yahoo
2024-04-01,-0.189747,yahoo
2024-05-01,-0.064861,yahoo
2024-06-01,0.010708,yahoo
2024-07-01,0.145196,yahoo
2024-08-01,0.050252,yahoo
2024-09-01,0.035836,yahoo
2024-10-01,0.077889,yahoo
2024-11-01,0.061861,yahoo
2024-12-01,-0.044917,yahoo
2025-01-01,0.042256,yahoo
2025-02-01,0.011366,yahoo
2025-03-01,0.022979,yahoo
2025-04-01,-0.176914,yahoo
2025-05-01,-0.038247,yahoo
2025-06-01,-0.041218,yahoo
2025-07-01,-0.064377,yahoo
2025-08-01,0.089356,yahoo
2025-09-01,-0.044087,yahoo
2025-10-01,0.021508,yahoo
2025-11-01,0.06794,yahoo
2025-12-01,0.096341,yahoo
2026-01-01,0.020578,yahoo
2026-02-01,0.13297,yahoo
2026-03-01,-0.027577,yahoo
2026-04-01,-0.000989,yahoo
2026-05-01,-0.05628,yahoo
2026-06-01,0.007695,yahoo
2026-07-01,0.044082,yahoo
