date,monthly_return,source
2016-07-01,-0.003591,yahoo
2016-08-01,0.043114,yahoo
2016-09-01,-0.040003,yahoo
2016-10-01,-0.001177,yahoo
2016-11-01,0.09106,yahoo
2016-12-01,0.035188,yahoo
2017-01-01,0.007117,yahoo
2017-02-01,0.044352,yahoo
2017-03-01,-0.027651,yahoo
2017-04-01,-0.008819,yahoo
2017-05-01,0.000424,yahoo
2017-06-01,0.024746,yahoo
2017-07-01,0.033064,yahoo
2017-08-01,0.035378,yahoo
2017-09-01,0.011923,yahoo
2017-10-01,0.019747,yahoo
2017-11-01,0.03247,yahoo
2017-12-01,0.026993,yahoo
2018-01-01,0.081526,yahoo
2018-02-01,-0.033492,yahoo
2018-03-01,-0.037259,yahoo
2018-04-01,-0.028825,yahoo
2018-05-01,-0.011356,yahoo
2018-06-01,-0.025479,yahoo
2018-07-01,0.060113,yahoo
2018-08-01,0.054834,yahoo
2018-09-01,0.025824,yahoo
2018-10-01,-0.04124,yahoo
2018-11-01,0.063133,yahoo
2018-12-01,-0.064425,yahoo
2019-01-01,0.006661,yahoo
2019-02-01,-0.020629,yahoo
2019-03-01,-0.002037,yahoo
2019-04-01,0.07875,yahoo
2019-05-01,-0.089013,yahoo
2019-06-01,0.079779,yahoo
2019-07-01,-0.036309,yahoo
2019-08-01,-0.009833,yahoo
2019-09-01,0.022664,yahoo
2019-10-01,0.021921,yahoo
2019-11-01,0.036316,yahoo
2019-12-01,0.028143,yahoo
2020-01-01,-0.009139,yahoo
2020-02-01,-0.080604,yahoo
2020-03-01,-0.113938,yahoo
2020-04-01,0.024777,yahoo
2020-05-01,-0.0095,yahoo
2020-06-01,-0.038097,yahoo
2020-07-01,0.096745,yahoo
2020-08-01,0.113699,yahoo
2020-09-01,-0.02339,yahoo
2020-10-01,-0.051846,yahoo
2020-11-01,0.133779,yahoo
2020-12-01,0.012931,yahoo
2021-01-01,-0.017251,yahoo
2021-02-01,0.05547,yahoo
2021-03-01,0.062201,yahoo
2021-04-01,0.076252,yahoo
2021-05-01,0.0527,yahoo
2021-06-01,-0.039801,yahoo
2021-07-01,0.001331,yahoo
2021-08-01,0.026878,yahoo
2021-09-01,-0.044896,yahoo
2021-10-01,0.05155,yahoo
2021-11-01,-0.035957,yahoo
2021-12-01,0.080632,yahoo
2022-01-01,0.04689,yahoo
2022-02-01,0.026931,yahoo
2022-03-01,0.097869,yahoo
2022-04-01,-0.085234,yahoo
2022-05-01,-0.021219,yahoo
2022-06-01,-0.135958,yahoo
2022-07-01,0.101018,yahoo
2022-08-01,-0.065868,yahoo
2022-09-01,-0.049074,yahoo
2022-10-01,0.105123,yahoo
2022-11-01,0.079671,yahoo
2022-12-01,-0.030446,yahoo
2023-01-01,0.008482,yahoo
2023-02-01,-0.020352,yahoo
2023-03-01,0.011764,yahoo
2023-04-01,0.064061,yahoo
2023-05-01,-0.022736,yahoo
2023-06-01,0.062041,yahoo
2023-07-01,0.032141,yahoo
2023-08-01,0.023412,yahoo
2023-09-01,-0.027485,yahoo
2023-10-01,-0.025607,yahoo
2023-11-01,0.054698,yahoo
2023-12-01,-0.009278,yahoo
2024-01-01,0.075927,yahoo
2024-02-01,0.066868,yahoo
2024-03-01,0.027162,yahoo
2024-04-01,-0.056573,yahoo
2024-05-01,0.044539,yahoo
2024-06-01,-0.01834,yahoo
2024-07-01,0.077925,yahoo
2024-08-01,0.085336,yahoo
2024-09-01,-0.032905,yahoo
2024-10-01,-0.020293,yahoo
2024-11-01,0.071188,yahoo
2024-12-01,-0.061571,yahoo
2025-01-01,0.033953,yahoo
2025-02-01,0.096358,yahoo
2025-03-01,0.036491,yahoo
2025-04-01,0.001258,yahoo
2025-05-01,-0.054927,yahoo
2025-06-01,-0.036094,yahoo
2025-07-01,-0.028594,yahoo
2025-08-01,0.065907,yahoo
2025-09-01,-0.000477,yahoo
2025-10-01,-0.050125,yahoo
2025-11-01,0.075952,yahoo
2025-12-01,-0.02172,yahoo
2026-01-01,-0.044007,yahoo
2026-02-01,0.050819,yahoo
2026-03-01,-0.050995,yahoo
2026-04-01,-0.011686,yahoo
2026-05-01,0.001858,yahoo
2026-06-01,0.054607,yahoo
2026-07-01,-0.021983,yahoo
