date,monthly_return,source
2021-08-01,0.016478,yahoo
2021-09-01,0.003039,yahoo
2021-10-01,0.00202,yahoo
2021-11-01,0.032258,yahoo
2021-12-01,-0.027344,yahoo
2022-01-01,0.0,yahoo
2022-02-01,0.00502,yahoo
2022-03-01,0.004995,yahoo
2022-04-01,0.001988,yahoo
2022-05-01,0.001984,yahoo
2022-06-01,0.00099,yahoo
2022-07-01,0.004946,yahoo
2022-08-01,0.005906,yahoo
2022-09-01,0.004892,yahoo
2022-10-01,0.001947,yahoo
2022-11-01,0.004859,yahoo
2022-12-01,0.007737,yahoo
2023-01-01,0.010557,yahoo
2023-02-01,0.011396,yahoo
2023-03-01,0.018779,yahoo
2023-04-01,-0.308756,yahoo
2023-05-01,-0.344,yahoo
2023-06-01,1.276423,yahoo
2023-07-01,-0.069643,yahoo
2023-08-01,0.300384,yahoo
2023-09-01,-0.288561,yahoo
2023-10-01,-0.612033,yahoo
2023-11-01,0.203209,yahoo
2023-12-01,1.191111,yahoo
2024-01-01,-0.169371,yahoo
2024-02-01,-0.191697,yahoo
2024-03-01,0.060423,yahoo
2024-04-01,-0.217949,yahoo
2024-05-01,0.116576,yahoo
2024-06-01,0.673736,yahoo
2024-07-01,-0.11501,yahoo
2024-08-01,-0.279736,yahoo
2024-09-01,0.197248,yahoo
2024-10-01,-0.005109,yahoo
2024-11-01,0.831836,yahoo
2024-12-01,0.51857,yahoo
2025-01-01,-0.145362,yahoo
2025-02-01,-0.335313,yahoo
2025-03-01,-0.282697,yahoo
2025-04-01,0.083805,yahoo
2025-05-01,0.343783,yahoo
2025-06-01,-0.107309,yahoo
2025-07-01,0.122822,yahoo
2025-08-01,0.108611,yahoo
2025-09-01,0.195941,yahoo
2025-10-01,0.299005,yahoo
2025-11-01,-0.395946,yahoo
2025-12-01,-0.164057,yahoo
2026-01-01,0.163247,yahoo
2026-02-01,-0.409509,yahoo
2026-03-01,0.123377,yahoo
2026-04-01,0.305202,yahoo
2026-05-01,0.549159,yahoo
2026-06-01,-0.092624,yahoo
2026-07-01,-0.213611,yahoo
