date,monthly_return,source
2022-09-01,0.0,yahoo
2022-10-01,0.01005,yahoo
2022-11-01,0.00995,yahoo
2022-12-01,0.002956,yahoo
2023-01-01,0.00835,yahoo
2023-02-01,0.008281,yahoo
2023-03-01,0.007729,yahoo
2023-04-01,0.003835,yahoo
2023-05-01,0.005731,yahoo
2023-06-01,0.005698,yahoo
2023-07-01,0.001889,yahoo
2023-08-01,0.008483,yahoo
2023-09-01,0.004673,yahoo
2023-10-01,0.004651,yahoo
2023-11-01,0.003704,yahoo
2023-12-01,-0.001845,yahoo
2024-01-01,0.014787,yahoo
2024-02-01,0.017304,yahoo
2024-03-01,-0.010743,yahoo
2024-04-01,0.00362,yahoo
2024-05-01,0.001803,yahoo
2024-06-01,0.00117,yahoo
2024-07-01,0.005574,yahoo
2024-08-01,0.005811,yahoo
2024-09-01,0.007644,yahoo
2024-10-01,0.010939,yahoo
2024-11-01,0.009162,yahoo
2024-12-01,0.005188,yahoo
2025-01-01,0.001462,yahoo
2025-02-01,0.003264,yahoo
2025-03-01,0.044521,yahoo
2025-04-01,0.138525,yahoo
2025-05-01,-0.159107,yahoo
2025-06-01,0.023973,yahoo
2025-07-01,0.186455,yahoo
2025-08-01,-0.042283,yahoo
2025-09-01,0.0883,yahoo
2025-10-01,-0.268425,yahoo
2025-11-01,-0.137708,yahoo
2025-12-01,-0.167203,yahoo
2026-01-01,-0.095238,yahoo
2026-02-01,-0.173542,yahoo
2026-03-01,-0.173838,yahoo
2026-04-01,0.422917,yahoo
2026-05-01,-0.062958,yahoo
2026-06-01,0.01875,yahoo
2026-07-01,0.25,yahoo
