date,monthly_return,source
2016-07-01,0.024066,yahoo
2016-08-01,0.053485,yahoo
2016-09-01,-0.063462,yahoo
2016-10-01,-0.013963,yahoo
2016-11-01,0.205331,yahoo
2016-12-01,0.087768,yahoo
2017-01-01,0.121029,yahoo
2017-02-01,-0.109663,yahoo
2017-03-01,-0.065882,yahoo
2017-04-01,-0.088927,yahoo
2017-05-01,0.005984,yahoo
2017-06-01,0.039405,yahoo
2017-07-01,0.049714,yahoo
2017-08-01,-0.012266,yahoo
2017-09-01,0.212832,yahoo
2017-10-01,0.080205,yahoo
2017-11-01,-0.013428,yahoo
2017-12-01,0.135308,yahoo
2018-01-01,-0.002351,yahoo
2018-02-01,-0.028275,yahoo
2018-03-01,-0.085112,yahoo
2018-04-01,0.028359,yahoo
2018-05-01,0.060309,yahoo
2018-06-01,0.079242,yahoo
2018-07-01,0.00045,yahoo
2018-08-01,0.169518,yahoo
2018-09-01,0.047931,yahoo
2018-10-01,-0.117744,yahoo
2018-11-01,-0.121591,yahoo
2018-12-01,0.031287,yahoo
2019-01-01,0.003218,yahoo
2019-02-01,-0.033219,yahoo
2019-03-01,-0.03128,yahoo
2019-04-01,0.095401,yahoo
2019-05-01,-0.101384,yahoo
2019-06-01,0.160785,yahoo
2019-07-01,0.061015,yahoo
2019-08-01,-0.027643,yahoo
2019-09-01,0.020959,yahoo
2019-10-01,-0.078252,yahoo
2019-11-01,0.018964,yahoo
2019-12-01,0.03311,yahoo
2020-01-01,-0.156263,yahoo
2020-02-01,-0.084906,yahoo
2020-03-01,-0.262073,yahoo
2020-04-01,0.011029,yahoo
2020-05-01,0.068,yahoo
2020-06-01,-0.04188,yahoo
2020-07-01,0.113362,yahoo
2020-08-01,0.041494,yahoo
2020-09-01,-0.058842,yahoo
2020-10-01,-0.100944,yahoo
2020-11-01,0.35096,yahoo
2020-12-01,0.037802,yahoo
2021-01-01,0.068974,yahoo
2021-02-01,0.094248,yahoo
2021-03-01,0.002209,yahoo
2021-04-01,0.071617,yahoo
2021-05-01,0.093358,yahoo
2021-06-01,-0.032349,yahoo
2021-07-01,-0.081633,yahoo
2021-08-01,-0.03873,yahoo
2021-09-01,0.228974,yahoo
2021-10-01,0.017556,yahoo
2021-11-01,0.066725,yahoo
2021-12-01,0.16818,yahoo
2022-01-01,-0.026985,yahoo
2022-02-01,0.178888,yahoo
2022-03-01,0.269368,yahoo
2022-04-01,-0.06045,yahoo
2022-05-01,0.020035,yahoo
2022-06-01,-0.132024,yahoo
2022-07-01,0.113846,yahoo
2022-08-01,0.083464,yahoo
2022-09-01,-0.069689,yahoo
2022-10-01,0.104,yahoo
2022-11-01,0.018163,yahoo
2022-12-01,-0.212497,yahoo
2023-01-01,-0.005869,yahoo
2023-02-01,0.01405,yahoo
2023-03-01,-0.156014,yahoo
2023-04-01,-0.012553,yahoo
2023-05-01,-0.140682,yahoo
2023-06-01,0.128597,yahoo
2023-07-01,0.182368,yahoo
2023-08-01,-0.061038,yahoo
2023-09-01,0.112495,yahoo
2023-10-01,-0.069512,yahoo
2023-11-01,-0.058035,yahoo
2023-12-01,0.057884,yahoo
2024-01-01,-0.050189,yahoo
2024-02-01,0.068997,yahoo
2024-03-01,0.030847,yahoo
2024-04-01,-0.050955,yahoo
2024-05-01,0.009624,yahoo
2024-06-01,-0.070362,yahoo
2024-07-01,0.030626,yahoo
2024-08-01,0.087708,yahoo
2024-09-01,0.032615,yahoo
2024-10-01,-0.041608,yahoo
2024-11-01,0.090356,yahoo
2024-12-01,-0.048405,yahoo
2025-01-01,0.080755,yahoo
2025-02-01,-0.121353,yahoo
2025-03-01,-0.035423,yahoo
2025-04-01,0.002815,yahoo
2025-05-01,0.157458,yahoo
2025-06-01,0.014221,yahoo
2025-07-01,0.009022,yahoo
2025-08-01,-0.066789,yahoo
2025-09-01,0.035438,yahoo
2025-10-01,-0.07146,yahoo
2025-11-01,-0.055109,yahoo
2025-12-01,-0.017281,yahoo
2026-01-01,0.205457,yahoo
2026-02-01,0.067682,yahoo
2026-03-01,0.3044,yahoo
2026-04-01,-0.043438,yahoo
2026-05-01,-0.095411,yahoo
2026-06-01,-0.036404,yahoo
2026-07-01,0.170423,yahoo
