date,monthly_return,source
2016-07-01,-0.002537,yahoo
2016-08-01,0.032262,yahoo
2016-09-01,-0.021917,yahoo
2016-10-01,-0.061522,yahoo
2016-11-01,0.084205,yahoo
2016-12-01,-0.012901,yahoo
2017-01-01,-0.068251,yahoo
2017-02-01,0.033721,yahoo
2017-03-01,-0.009457,yahoo
2017-04-01,-0.002491,yahoo
2017-05-01,-0.027882,yahoo
2017-06-01,0.033818,yahoo
2017-07-01,0.051484,yahoo
2017-08-01,0.008664,yahoo
2017-09-01,-0.003514,yahoo
2017-10-01,-0.083584,yahoo
2017-11-01,0.064985,yahoo
2017-12-01,0.003212,yahoo
2018-01-01,0.025744,yahoo
2018-02-01,-0.030039,yahoo
2018-03-01,-0.004424,yahoo
2018-04-01,-0.052788,yahoo
2018-05-01,-0.01379,yahoo
2018-06-01,-0.036183,yahoo
2018-07-01,0.13117,yahoo
2018-08-01,0.013751,yahoo
2018-09-01,0.001826,yahoo
2018-10-01,0.023825,yahoo
2018-11-01,0.039293,yahoo
2018-12-01,-0.052735,yahoo
2019-01-01,0.047791,yahoo
2019-02-01,0.070266,yahoo
2019-03-01,-0.010597,yahoo
2019-04-01,0.119674,yahoo
2019-05-01,0.021418,yahoo
2019-06-01,0.055273,yahoo
2019-07-01,0.035304,yahoo
2019-08-01,0.048076,yahoo
2019-09-01,0.037159,yahoo
2019-10-01,-0.029656,yahoo
2019-11-01,-0.054412,yahoo
2019-12-01,-0.017749,yahoo
2020-01-01,-0.001902,yahoo
2020-02-01,-0.111577,yahoo
2020-03-01,-0.190798,yahoo
2020-04-01,-0.127899,yahoo
2020-05-01,-0.104103,yahoo
2020-06-01,0.086175,yahoo
2020-07-01,0.217086,yahoo
2020-08-01,0.018991,yahoo
2020-09-01,-0.018134,yahoo
2020-10-01,-0.092728,yahoo
2020-11-01,0.079305,yahoo
2020-12-01,0.144335,yahoo
2021-01-01,-0.037542,yahoo
2021-02-01,0.163872,yahoo
2021-03-01,0.053336,yahoo
2021-04-01,0.093026,yahoo
2021-05-01,0.080138,yahoo
2021-06-01,-0.041821,yahoo
2021-07-01,0.010804,yahoo
2021-08-01,0.046827,yahoo
2021-09-01,-0.074392,yahoo
2021-10-01,0.063211,yahoo
2021-11-01,-0.062088,yahoo
2021-12-01,0.000263,yahoo
2022-01-01,0.034232,yahoo
2022-02-01,0.042095,yahoo
2022-03-01,0.107256,yahoo
2022-04-01,-0.097823,yahoo
2022-05-01,0.042394,yahoo
2022-06-01,-0.069451,yahoo
2022-07-01,-0.181879,yahoo
2022-08-01,-0.003904,yahoo
2022-09-01,-0.076217,yahoo
2022-10-01,0.153511,yahoo
2022-11-01,0.073945,yahoo
2022-12-01,-0.077235,yahoo
2023-01-01,0.105088,yahoo
2023-02-01,0.066726,yahoo
2023-03-01,-0.071417,yahoo
2023-04-01,-0.050321,yahoo
2023-05-01,-0.093386,yahoo
2023-06-01,0.008497,yahoo
2023-07-01,0.105425,yahoo
2023-08-01,-0.016639,yahoo
2023-09-01,-0.033084,yahoo
2023-10-01,-0.025613,yahoo
2023-11-01,0.031303,yahoo
2023-12-01,0.006518,yahoo
2024-01-01,0.070945,yahoo
2024-02-01,0.028881,yahoo
2024-03-01,0.089211,yahoo
2024-04-01,-0.068293,yahoo
2024-05-01,0.016337,yahoo
2024-06-01,0.004422,yahoo
2024-07-01,0.106012,yahoo
2024-08-01,0.049074,yahoo
2024-09-01,-0.006641,yahoo
2024-10-01,0.034602,yahoo
2024-11-01,0.134914,yahoo
2024-12-01,-0.10092,yahoo
2025-01-01,-0.046277,yahoo
2025-02-01,0.078511,yahoo
2025-03-01,-0.000609,yahoo
2025-04-01,-0.057609,yahoo
2025-05-01,0.083399,yahoo
2025-06-01,-0.012598,yahoo
2025-07-01,-0.009468,yahoo
2025-08-01,0.041285,yahoo
2025-09-01,0.029297,yahoo
2025-10-01,-0.022201,yahoo
2025-11-01,0.084093,yahoo
2025-12-01,-0.025479,yahoo
2026-01-01,-0.014879,yahoo
2026-02-01,0.019206,yahoo
2026-03-01,-0.040432,yahoo
2026-04-01,0.03972,yahoo
2026-05-01,-0.037775,yahoo
2026-06-01,0.176089,yahoo
2026-07-01,-0.052447,yahoo
