date,monthly_return,source
2016-12-01,0.0,yahoo
2017-01-01,-0.142857,yahoo
2017-02-01,0.416667,yahoo
2017-03-01,0.176471,yahoo
2017-04-01,-0.1,yahoo
2017-05-01,-0.233333,yahoo
2017-06-01,0.0,yahoo
2017-07-01,0.0,yahoo
2017-08-01,0.0,yahoo
2017-09-01,0.0,yahoo
2017-10-01,-0.002899,yahoo
2017-11-01,-0.290698,yahoo
2017-12-01,0.0,yahoo
2018-01-01,0.0,yahoo
2018-02-01,-0.348361,yahoo
2018-03-01,-0.012579,yahoo
2018-04-01,0.270701,yahoo
2018-05-01,0.12782,yahoo
2018-06-01,0.0,yahoo
2018-07-01,0.288889,yahoo
2018-08-01,0.0,yahoo
2018-09-01,1.034483,yahoo
2018-10-01,-0.577966,yahoo
2018-11-01,-0.393574,yahoo
2018-12-01,0.357616,yahoo
2019-01-01,0.082927,yahoo
2019-02-01,1.072072,yahoo
2019-03-01,-0.243478,yahoo
2019-04-01,-0.367816,yahoo
2019-05-01,-0.054545,yahoo
2019-06-01,-0.086538,yahoo
2019-07-01,-0.352632,yahoo
2019-08-01,-0.186992,yahoo
2019-09-01,-0.15,yahoo
2019-10-01,-0.505882,yahoo
2019-11-01,0.52381,yahoo
2019-12-01,-0.164063,yahoo
2020-01-01,-0.130841,yahoo
2020-02-01,-0.44086,yahoo
2020-03-01,-0.545,yahoo
2020-04-01,0.267963,yahoo
2020-05-01,0.34,yahoo
2020-06-01,0.288557,yahoo
2020-07-01,1.799228,yahoo
2020-08-01,0.390345,yahoo
2020-09-01,0.239087,yahoo
2020-10-01,-0.395516,yahoo
2020-11-01,0.443709,yahoo
2020-12-01,1.665138,yahoo
2021-01-01,-0.091566,yahoo
2021-02-01,-0.093217,yahoo
2021-03-01,-0.004597,yahoo
2021-04-01,-0.095298,yahoo
2021-05-01,-0.222274,yahoo
2021-06-01,-0.00716,yahoo
2021-07-01,-0.188702,yahoo
2021-08-01,0.022222,yahoo
2021-09-01,-0.160145,yahoo
2021-10-01,0.748059,yahoo
2021-11-01,-0.122409,yahoo
2021-12-01,-0.464567,yahoo
2022-01-01,-0.294118,yahoo
2022-02-01,0.577381,yahoo
2022-03-01,0.166981,yahoo
2022-04-01,-0.475344,yahoo
2022-05-01,-0.09245,yahoo
2022-06-01,-0.334465,yahoo
2022-07-01,0.017857,yahoo
2022-08-01,0.072682,yahoo
2022-09-01,-0.257009,yahoo
2022-10-01,0.09434,yahoo
2022-11-01,-0.353448,yahoo
2022-12-01,-0.093333,yahoo
2023-01-01,0.553922,yahoo
2023-02-01,-0.129338,yahoo
2023-03-01,0.007246,yahoo
2023-04-01,0.406475,yahoo
2023-05-01,0.097187,yahoo
2023-06-01,0.0,yahoo
2023-07-01,0.400932,yahoo
2023-08-01,-0.179701,yahoo
2023-09-01,-0.227181,yahoo
2023-10-01,0.076115,yahoo
2023-11-01,0.521951,yahoo
2023-12-01,0.767628,yahoo
2024-01-01,-0.270172,yahoo
2024-02-01,1.077018,yahoo
2024-03-01,0.268541,yahoo
2024-04-01,-0.227723,yahoo
2024-05-01,-0.018925,yahoo
2024-06-01,-0.007467,yahoo
2024-07-01,0.003135,yahoo
2024-08-01,-0.331875,yahoo
2024-09-01,-0.126286,yahoo
2024-10-01,0.135974,yahoo
2024-11-01,0.352498,yahoo
2024-12-01,-0.358188,yahoo
2025-01-01,0.13355,yahoo
2025-02-01,-0.234674,yahoo
2025-03-01,-0.158949,yahoo
2025-04-01,0.215774,yahoo
2025-05-01,0.056304,yahoo
2025-06-01,0.2781,yahoo
2025-07-01,0.030825,yahoo
2025-08-01,-0.167106,yahoo
2025-09-01,0.531151,yahoo
2025-10-01,0.227586,yahoo
2025-11-01,-0.151685,yahoo
2025-12-01,-0.329801,yahoo
2026-01-01,0.169961,yahoo
2026-02-01,-0.159628,yahoo
2026-03-01,-0.144724,yahoo
2026-04-01,0.472385,yahoo
2026-05-01,0.459697,yahoo
2026-06-01,-0.204483,yahoo
2026-07-01,0.072852,yahoo
