date,monthly_return,source
2016-07-01,0.049692,yahoo
2016-08-01,0.059761,yahoo
2016-09-01,-0.035348,yahoo
2016-10-01,-0.042289,yahoo
2016-11-01,0.127972,yahoo
2016-12-01,0.02161,yahoo
2017-01-01,0.049675,yahoo
2017-02-01,0.003138,yahoo
2017-03-01,-0.0219,yahoo
2017-04-01,-0.02197,yahoo
2017-05-01,0.009467,yahoo
2017-06-01,0.067781,yahoo
2017-07-01,-0.02092,yahoo
2017-08-01,0.025934,yahoo
2017-09-01,0.078537,yahoo
2017-10-01,0.010982,yahoo
2017-11-01,0.09018,yahoo
2017-12-01,-0.023338,yahoo
2018-01-01,0.050873,yahoo
2018-02-01,0.082617,yahoo
2018-03-01,-0.026601,yahoo
2018-04-01,-0.025102,yahoo
2018-05-01,0.033105,yahoo
2018-06-01,0.006262,yahoo
2018-07-01,-0.029283,yahoo
2018-08-01,0.098102,yahoo
2018-09-01,-0.025868,yahoo
2018-10-01,0.076552,yahoo
2018-11-01,0.037328,yahoo
2018-12-01,-0.010311,yahoo
2019-01-01,-0.031044,yahoo
2019-02-01,-0.00203,yahoo
2019-03-01,-0.095267,yahoo
2019-04-01,0.087009,yahoo
2019-05-01,0.073896,yahoo
2019-06-01,0.010358,yahoo
2019-07-01,0.001597,yahoo
2019-08-01,0.117632,yahoo
2019-09-01,-0.027383,yahoo
2019-10-01,-0.02645,yahoo
2019-11-01,-0.014678,yahoo
2019-12-01,-0.009915,yahoo
2020-01-01,0.081656,yahoo
2020-02-01,-0.084243,yahoo
2020-03-01,-0.130319,yahoo
2020-04-01,0.030652,yahoo
2020-05-01,0.024634,yahoo
2020-06-01,-0.109858,yahoo
2020-07-01,0.022394,yahoo
2020-08-01,0.05831,yahoo
2020-09-01,-0.048672,yahoo
2020-10-01,-0.099157,yahoo
2020-11-01,0.161292,yahoo
2020-12-01,0.040107,yahoo
2021-01-01,-0.001703,yahoo
2021-02-01,0.098822,yahoo
2021-03-01,0.022684,yahoo
2021-04-01,-0.010968,yahoo
2021-05-01,0.083024,yahoo
2021-06-01,-0.027793,yahoo
2021-07-01,-0.002586,yahoo
2021-08-01,-0.049074,yahoo
2021-09-01,-0.041344,yahoo
2021-10-01,0.140501,yahoo
2021-11-01,-0.000136,yahoo
2021-12-01,0.036006,yahoo
2022-01-01,0.004552,yahoo
2022-02-01,0.030632,yahoo
2022-03-01,0.005623,yahoo
2022-04-01,-0.077861,yahoo
2022-05-01,-0.093508,yahoo
2022-06-01,0.029523,yahoo
2022-07-01,-0.025501,yahoo
2022-08-01,-0.0194,yahoo
2022-09-01,-0.094474,yahoo
2022-10-01,-0.021623,yahoo
2022-11-01,0.018465,yahoo
2022-12-01,-0.047252,yahoo
2023-01-01,0.050547,yahoo
2023-02-01,0.049247,yahoo
2023-03-01,0.033233,yahoo
2023-04-01,-0.030023,yahoo
2023-05-01,-0.037789,yahoo
2023-06-01,0.036587,yahoo
2023-07-01,0.073776,yahoo
2023-08-01,0.018697,yahoo
2023-09-01,-0.012137,yahoo
2023-10-01,0.066127,yahoo
2023-11-01,0.022955,yahoo
2023-12-01,-0.035538,yahoo
2024-01-01,-0.022602,yahoo
2024-02-01,0.070492,yahoo
2024-03-01,-0.022964,yahoo
2024-04-01,-0.026244,yahoo
2024-05-01,-0.031769,yahoo
2024-06-01,-0.031432,yahoo
2024-07-01,-0.0147,yahoo
2024-08-01,0.113727,yahoo
2024-09-01,0.022759,yahoo
2024-10-01,0.021346,yahoo
2024-11-01,0.056088,yahoo
2024-12-01,-0.024244,yahoo
2025-01-01,0.018473,yahoo
2025-02-01,0.072933,yahoo
2025-03-01,0.045395,yahoo
2025-04-01,0.044442,yahoo
2025-05-01,0.04302,yahoo
2025-06-01,-0.046298,yahoo
2025-07-01,0.009651,yahoo
2025-08-01,-0.042295,yahoo
2025-09-01,0.013808,yahoo
2025-10-01,-0.017395,yahoo
2025-11-01,0.060153,yahoo
2025-12-01,-0.029773,yahoo
2026-01-01,0.058518,yahoo
2026-02-01,0.105307,yahoo
2026-03-01,-0.075587,yahoo
2026-04-01,-0.025495,yahoo
2026-05-01,-0.049614,yahoo
2026-06-01,-0.192696,yahoo
2026-07-01,0.151655,yahoo
