date,monthly_return,source
2021-05-01,-0.205282,yahoo
2021-06-01,0.070855,yahoo
2021-07-01,-0.066009,yahoo
2021-08-01,0.094767,yahoo
2021-09-01,-0.121699,yahoo
2021-10-01,0.404167,yahoo
2021-11-01,-0.013838,yahoo
2021-12-01,-0.198825,yahoo
2022-01-01,-0.246543,yahoo
2022-02-01,0.003261,yahoo
2022-03-01,-0.00477,yahoo
2022-04-01,-0.406352,yahoo
2022-05-01,-0.307071,yahoo
2022-06-01,-0.397951,yahoo
2022-07-01,0.339005,yahoo
2022-08-01,0.060991,yahoo
2022-09-01,-0.034581,yahoo
2022-10-01,0.027291,yahoo
2022-11-01,-0.309736,yahoo
2022-12-01,-0.22611,yahoo
2023-01-01,0.652444,yahoo
2023-02-01,0.108584,yahoo
2023-03-01,0.042264,yahoo
2023-04-01,-0.203937,yahoo
2023-05-01,0.156349,yahoo
2023-06-01,0.150322,yahoo
2023-07-01,0.378197,yahoo
2023-08-01,-0.19278,yahoo
2023-09-01,-0.056784,yahoo
2023-10-01,0.027171,yahoo
2023-11-01,0.61722,yahoo
2023-12-01,0.394484,yahoo
2024-01-01,-0.262879,yahoo
2024-02-01,0.587832,yahoo
2024-03-01,0.302417,yahoo
2024-04-01,-0.230801,yahoo
2024-05-01,0.107831,yahoo
2024-06-01,-0.016333,yahoo
2024-07-01,0.009585,yahoo
2024-08-01,-0.182742,yahoo
2024-09-01,-0.028305,yahoo
2024-10-01,0.006062,yahoo
2024-11-01,0.652441,yahoo
2024-12-01,-0.161715,yahoo
2025-01-01,0.173298,yahoo
2025-02-01,-0.259877,yahoo
2025-03-01,-0.201234,yahoo
2025-04-01,0.178018,yahoo
2025-05-01,0.215535,yahoo
2025-06-01,0.421174,yahoo
2025-07-01,0.077805,yahoo
2025-08-01,-0.193827,yahoo
2025-09-01,0.108196,yahoo
2025-10-01,0.018638,yahoo
2025-11-01,-0.206411,yahoo
2025-12-01,-0.171102,yahoo
2026-01-01,-0.138852,yahoo
2026-02-01,-0.097001,yahoo
2026-03-01,-0.007051,yahoo
2026-04-01,0.075368,yahoo
2026-05-01,0.00671,yahoo
2026-06-01,-0.226631,yahoo
2026-07-01,0.102401,yahoo
