date,monthly_return,source
2016-07-01,0.063531,yahoo
2016-08-01,0.018907,yahoo
2016-09-01,-0.035822,yahoo
2016-10-01,-0.017963,yahoo
2016-11-01,-0.06561,yahoo
2016-12-01,0.063469,yahoo
2017-01-01,0.055336,yahoo
2017-02-01,0.078706,yahoo
2017-03-01,0.003766,yahoo
2017-04-01,0.002201,yahoo
2017-05-01,0.091948,yahoo
2017-06-01,0.094491,yahoo
2017-07-01,0.018587,yahoo
2017-08-01,0.02854,yahoo
2017-09-01,-0.054698,yahoo
2017-10-01,0.013285,yahoo
2017-11-01,0.003829,yahoo
2017-12-01,-0.096608,yahoo
2018-01-01,0.122958,yahoo
2018-02-01,-0.057833,yahoo
2018-03-01,-0.007418,yahoo
2018-04-01,-0.000437,yahoo
2018-05-01,-0.010494,yahoo
2018-06-01,0.040387,yahoo
2018-07-01,0.106392,yahoo
2018-08-01,-0.018119,yahoo
2018-09-01,0.083548,yahoo
2018-10-01,-0.067978,yahoo
2018-11-01,0.079439,yahoo
2018-12-01,-0.087257,yahoo
2019-01-01,0.095324,yahoo
2019-02-01,0.025936,yahoo
2019-03-01,0.035596,yahoo
2019-04-01,-0.021103,yahoo
2019-05-01,0.027145,yahoo
2019-06-01,0.131301,yahoo
2019-07-01,0.001514,yahoo
2019-08-01,-0.08195,yahoo
2019-09-01,-0.041162,yahoo
2019-10-01,-0.020202,yahoo
2019-11-01,0.075911,yahoo
2019-12-01,0.026191,yahoo
2020-01-01,0.079679,yahoo
2020-02-01,-0.064343,yahoo
2020-03-01,-0.150661,yahoo
2020-04-01,0.040012,yahoo
2020-05-01,0.105616,yahoo
2020-06-01,-0.10518,yahoo
2020-07-01,-0.002503,yahoo
2020-08-01,0.111158,yahoo
2020-09-01,0.072333,yahoo
2020-10-01,-0.053601,yahoo
2020-11-01,0.050682,yahoo
2020-12-01,0.083826,yahoo
2021-01-01,0.001982,yahoo
2021-02-01,0.06068,yahoo
2021-03-01,-0.005283,yahoo
2021-04-01,0.069775,yahoo
2021-05-01,-0.042444,yahoo
2021-06-01,0.007167,yahoo
2021-07-01,0.06435,yahoo
2021-08-01,0.068616,yahoo
2021-09-01,-0.08298,yahoo
2021-10-01,0.008734,yahoo
2021-11-01,-0.097021,yahoo
2021-12-01,0.112811,yahoo
2022-01-01,-0.049267,yahoo
2022-02-01,0.026914,yahoo
2022-03-01,0.020953,yahoo
2022-04-01,-0.13542,yahoo
2022-05-01,-0.028529,yahoo
2022-06-01,-0.107259,yahoo
2022-07-01,0.044328,yahoo
2022-08-01,-0.120979,yahoo
2022-09-01,-0.081895,yahoo
2022-10-01,0.035961,yahoo
2022-11-01,0.157138,yahoo
2022-12-01,0.045266,yahoo
2023-01-01,0.055221,yahoo
2023-02-01,-0.062935,yahoo
2023-03-01,0.141878,yahoo
2023-04-01,0.021668,yahoo
2023-05-01,-0.026006,yahoo
2023-06-01,0.03203,yahoo
2023-07-01,0.020421,yahoo
2023-08-01,-0.054363,yahoo
2023-09-01,-0.14049,yahoo
2023-10-01,-0.019685,yahoo
2023-11-01,0.080738,yahoo
2023-12-01,0.123234,yahoo
2024-01-01,-0.014296,yahoo
2024-02-01,0.003673,yahoo
2024-03-01,0.083974,yahoo
2024-04-01,-0.122216,yahoo
2024-05-01,0.058949,yahoo
2024-06-01,-0.074329,yahoo
2024-07-01,0.069072,yahoo
2024-08-01,0.132862,yahoo
2024-09-01,0.043602,yahoo
2024-10-01,-0.051296,yahoo
2024-11-01,-0.002102,yahoo
2024-12-01,-0.11995,yahoo
2025-01-01,0.050256,yahoo
2025-02-01,-0.063905,yahoo
2025-03-01,-0.066718,yahoo
2025-04-01,-0.031772,yahoo
2025-05-01,-0.163952,yahoo
2025-06-01,0.042179,yahoo
2025-07-01,-0.006605,yahoo
2025-08-01,-0.046541,yahoo
2025-09-01,0.017211,yahoo
2025-10-01,0.019691,yahoo
2025-11-01,0.114719,yahoo
2025-12-01,0.051713,yahoo
2026-01-01,-0.007077,yahoo
2026-02-01,0.02814,yahoo
2026-03-01,-0.145452,yahoo
2026-04-01,-0.12028,yahoo
2026-05-01,-0.026868,yahoo
2026-06-01,0.171541,yahoo
2026-07-01,-0.009761,yahoo
